e9926b976167e5b37dd9a21acfba8a2f98afea1d8834eea8c8606e3dc71dcf17,adde25b112526fe16f9befe61485f6ebb9fcb801a202883659c6af02ceab26a8,df6778c30cf53a9dbcf091d368d58b8f4865c30b665d1355a0e3c5d9f7360b94,d9f825ddc835966cb17343db908bad4eb83104b6ec141d3af55e4365ee20603b,b707546d3f9b89c09d31ee0ca0b52603a03f3f182c93dfc76db197d4b12c9e4f
"1000","25011","2","32000101","320001011"
"1000","25012","2","32000101","320001012"
"1000","25013","2","32000102","320001021"
"1000","25014","2","32000102","320001022"
"1000","91002","8","32000103","320001031"
"3000000","94002","12","32000103","320001032"
"1000","25015","2","32000103","320001033"
"1000","25021","2","32000103","320001034"
"1000","25013","2","32000104","320001041"
"1000","25014","2","32000104","320001042"
"1000","25012","2","32000105","320001051"
"1000","25015","2","32000105","320001052"
"1000","91002","8","32000106","320001061"
"3000000","94002","12","32000106","320001062"
"1000","25011","2","32000106","320001063"
"1000","25021","2","32000106","320001064"
"1000","25014","2","32000107","320001071"
"1000","25015","2","32000107","320001072"
"1000","25011","2","32000108","320001081"
"1000","25013","2","32000108","320001082"
"1000","91002","8","32000109","320001091"
"3000000","94002","12","32000109","320001092"
"1000","25012","2","32000109","320001093"
"1000","25021","2","32000109","320001094"
"3000","25011","2","32000110","320001101"
"3000","25012","2","32000110","320001102"
"3000","25013","2","32000110","320001103"
"3000","25014","2","32000110","320001104"
"3000","25015","2","32000110","320001105"
"3000","25011","2","32000111","320001111"
"3000","25012","2","32000111","320001112"
"3000","25013","2","32000111","320001113"
"3000","25014","2","32000111","320001114"
"3000","25015","2","32000111","320001115"
"3000","25011","2","32000112","320001121"
"3000","25012","2","32000112","320001122"
"3000","25013","2","32000112","320001123"
"3000","25014","2","32000112","320001124"
"3000","25015","2","32000112","320001125"
"1","21953","2","32000113","320001131"
"2000","25021","2","32000113","320001132"
