242d91b82708054d8780fe36f5122eac41d461e563ae4e1083e8351a523d0d5b,1eb2d471f9c347687b95ef002f7c94f9525025b7334ca7d2e09ae6c067e8d692,12a9815e219119aaac6ef527853064cd23e77a41f178a3ccf24331851efa9534,5d22f8927fb585a58a6fa2a7e976181413b2ac68e067cd001e47baa283d763ec,05a93577d539aea3f33a29b94197e2b7c2bc36fc53d5ede7fc5424181055ab4a,1c6efe4ec8ef91904451a174f18d3567c7db1227ef2c38d1768214a2e31fd89b,fbdb3fae10964f2bf34fe49f1ec8e088d6b38a6fcecbad8ad5afd164aea27270,4a62c13597868492f0f654fb36f7242b3cde32e10bed6b0581438f0b41a3feec,0183c3c24911ca7b9915366f9f6e75171e16fab454604fe44dbf71d121b1327d,e9973f21d5af032a07b0d6b98a19057715d45c608e6f05ab6fb1686b32ed5010,dafbed38476df17488d174b8bce01dcc7614219281767beef375d4b247cccd4b,70861cda899bd60f27a4aa117b2c0bdd67ef0c83c93159a213ab1131db2a961f,80ae3ccac229b8cf4f6e3399a9dfd3e5319af42e3243afba74a672964a886197,2666bd3aa558c4bbdd99065c235fe5c7d08f439ee0cae09e1e06707263ecfdc6,7aecd0af7f797d91c326497977e8c15fdbc6f241c39f00165e36acc836670fc0,6e1f7d18f942c5643164e9007a116c64f7642dccdea0b42f84b67f77f1284c31,bb4c5b452a45607ac5faf48c0853c58b84dcaac3c42325fa46b2765f2bc7d61b,3b76940b4cb5f0098ce5625113f3fb8abcfa17966b169092253a4d07995654a7,647f4f5c5057dbcdd98e33d6fb24919a69cddc6738511c795e8fd532b25c91ec,cd6eceeabce0c9c078a23f08ef681e6a6c14e66e6cbec6f8a7884dd6f4dc3e53,94cf0360093a312070cf6d15a0b181e1554d00a6a62a53c64e0979e4c92d3308
"512000011","0","0","901000103","0","0","0","0","2000001","最終之戰","0","51200001","0","901000106","901000105","90","0","0","100182","901000102","0"
"512000021","512000022","bgm_M06","901000202","0","0","100022","bgm_M06","2000002","新手教學戰鬥","bgm_M06","51200002","0","0","901000104","90","bgm_M06","0","100021","901000201","0"
"512000021","512000022","bgm_M06","901000202","0","0","100022","bgm_M06","2000006","新手教學戰鬥","bgm_M06","51200006","0","0","901000104","90","bgm_M06","0","100021","901000201","0"
"520030051","0","bgm_M17_03_and_M29","901000302","0","0","0","bgm_M17","2003005","ADV戰鬥","0","52003005","0","0","901000303","90","0","0","100671","901000301","0"
"520040021","0","bgm_M06","901000402","0","0","0","bgm_M06","2004002","ADV戰鬥","0","52004002","0","0","901000403","90","0","0","100011","901000401","0"
"550010041","0","bgm_M47","0","0","0","0","bgm_M47","5001004","席茲之戰","0","55001004","0","0","0","90","0","0","81000111","901000501","0"
"550010041","0","bgm_M47","901000501","0","0","0","bgm_M47","5001006","席茲之戰","0","55001006","0","0","901000502","90","0","0","81000106","901000401","0"
"550020051","0","bgm_M102","901000602","0","0","0","bgm_M102","5002005","阿爾瑪之戰","0","55002005","0","0","901000603","90","0","0","81000205","901000601","0"
"550020052","0","bgm_M102","901000602","0","0","0","bgm_M102","5002006","阿爾瑪之戰","0","55002006","0","0","901000603","90","0","0","81000206","901000601","0"
"550030061","0","bgm_M109","901000701","0","0","0","bgm_M109","5003006","加爾格之戰","0","55003006","0","901000703","901000702","90","0","0","81000305","901000601","0"
"550040051","0","bgm_M116","901000801","0","0","0","bgm_M116","5004005","泳裝戰鬥","0","55004005","0","901000803","901000802","90","0","0","100931","901000601","0"
"550050061","0","bgm_M124","901000901","0","0","0","bgm_M124","5005006","島鯨戰鬥","0","55005006","901000904","901000903","901000902","90","0","0","81000505","901000906","0"
"550110051","0","bgm_M192","901001001","0","0","0","bgm_M192","5011005","情人節頭目戰","0","55011005","0","901001003","901001002","90","0","0","81001105","901000906","0"
"550110051","0","0","901001002","0","0","0","0","5011006","情人節頭目戰","0","55011006","0","0","901001003","90","0","0","81001106","901001001","0"
