458bc1ff4d3ea83c0ec88d464248bec73c2025cb57467ce0bfe032bb0f26e21b,6006638ac555ad781600d0648eb961155121d17bfde49ae91db602fa85c772f0,384d28417097c1cec7ddfab59270dcd23468c1afaa1af3edfdff4d4e50430793,0142146024cf4ba8810d482afce97ade6f1f9052d92d35087bcc3113f17b66e2,e08541dc13785395f4a5bbf7dcd07df1598eab1f31eaf8a69749f808280d9142
"519","2021/08/02 16:00:00","27001","27003","2021/08/20 15:59:59"
"550","2022/02/01 16:00:00","27001","27004","2022/02/22 15:59:59"
"571","2022/05/02 16:00:00","27001","27005","2022/05/23 15:59:59"
"572","2022/08/01 16:00:00","27005","27006","2022/08/20 15:59:59"
"575","2023/01/20 16:00:00","27001","27007","2023/02/10 15:59:59"
"609","2023/05/11 16:00:00","27001","27008","2023/05/26 15:59:59"
"616","2023/08/01 16:00:00","27005","27009","2023/08/20 15:59:59"
"626","2023/09/01 16:00:00","27009","27010","2023/09/26 15:59:59"
"632","2024/02/07 16:00:00","27001","27011","2024/02/25 15:59:59"
"641","2024/05/01 16:00:00","27012","27013","2024/05/22 15:59:59"
"649","2024/08/15 16:00:00","27005","27014","2024/09/03 15:59:59"
"656","2024/10/01 00:00:00","27012","27015","2024/10/31 23:59:59"
"664","2025/02/01 00:00:00","27012","27016","2025/02/27 23:59:59"
