05a9311b3408870e71e6c91dbf5443b0596ae31a3b096bc20dba8225992a92df,653dded330ab23659b3f699a240bcd2ec8f72eed0dbcabb8d4217cd382b23041,153985bc0c038c533303496d9a90cce6b4cef24ef652b5129540e95232779246,07a7881ca496ce019451f80ca92b3e49750629b3540c24235d9dc3f20da47270,84f04d9b0b3d68354638c26a13d8bdda591f603a4410d84a53efb52b389bffb6,680a49637243ac07e06daf08931a30e972f14b360f5bdce0f901a9fba3afdf49,383a9c9d884b9180845b4167966acac4fa659ca77f2bbd65ebd5d172fbeee976,3ee6df5b40fc8eae19d4160ceeb48f813c35f2d8f6d9f225b231c9270240cabf,f64e658f099cefdd4485c229943af72951f3669e52e3cf6e4aefaa49b3061705,aa1de190aa690d4eb92aefe3d5fb488deb665bad7e354d31fcc99846fedfdd28
"0","vo_10011600_0101","","1010001","1","0","2","vo_10011600","0","1"
"8","0","　從明天開始","1010002","2","0","1","0","0","1"
"0","0","","1010003","3","1","4","0","1.625","1"
"10","0","就要入學聖德蕾莎女學院了！","1010004","4","0","1","0","0","1"
"0","0","","1010005","5","1","4","0","4","1"
"0","vo_10011600_0102","","1010006","6","0","2","vo_10011600","0","1"
"8","0","　為什麼","1010007","7","0","1","0","0","1"
"0","0","","1010008","8","1","4","0","1.375","1"
"9","0","事情會變成這個樣子呢？\n","1010009","9","0","1","0","0","1"
"0","0","","1010010","10","1","4","0","3.33333333333333","1"
"0","vo_10011600_0103","","1010011","11","0","2","vo_10011600","0","1"
"8","0","雖然美里老師","1010012","12","0","1","0","0","1"
"0","0","","1010013","13","1","4","0","1.75","1"
"10","0","說我一定沒問題的……","1010014","14","0","1","0","0","1"
"0","0","","1010015","15","1","4","0","3","1"
"8","0","但是我一定辦不到啊～！\n","1010016","16","0","1","0","0","1"
"0","0","","1010017","17","1","4","0","3.875","1"
"0","vo_10011600_0104","","1010018","18","0","2","vo_10011600","0","1"
"8","0","可是。","1010019","19","0","1","0","0","1"
"0","0","","1010020","20","1","4","0","2.375","1"
"8","0","可是……","1010021","21","0","1","0","0","1"
"0","0","","1010022","22","1","4","0","2.5","1"
"0","vo_10011600_0105","","1010023","23","0","2","vo_10011600","0","1"
"8","0","可是、","1010024","24","0","1","0","0","1"
"0","0","","1010025","25","1","4","0","1.375","1"
"8","0","如果、","1010026","26","0","1","0","0","1"
"0","0","","1010027","27","1","4","0","1.5","1"
"8","0","我可以在聖德蕾莎女學院好好努力。\n\n","1010028","28","0","1","0","0","1"
"0","0","","1010029","29","1","4","0","4.875","1"
"0","vo_10011600_0106","","1010030","30","0","2","vo_10011600","0","1"
"6","0","……是不是就能","1010031","31","0","1","0","0","1"
"0","0","","1010032","32","1","4","0","1.58333333333333","1"
"8","0","交到朋友呢？","1010033","33","0","1","0","0","1"
"0","0","","1010034","34","1","4","0","1.75","1"
"0","vo_10011600_0201","","1020001","1","0","2","vo_10011600","0","2"
"8","0","　一想到要用「日安」向別人打招呼，","1020002","2","0","1","0","0","2"
"0","0","","1020003","3","1","4","0","2.375","2"
"8","0","我孤單的心靈就會緊張到怦怦狂跳。\n","1020004","4","0","1","0","0","2"
"0","0","","1020005","5","1","4","0","4","2"
"0","vo_10011600_0202","","1020006","6","0","2","vo_10011600","0","2"
"8","0","不過，","1020007","7","0","1","0","0","2"
"0","0","","1020008","8","1","4","0","1.125","2"
"8","0","此時BB團團長卻突然現身！","1020009","9","0","1","0","0","2"
"0","0","","1020010","10","1","4","0","3.75","2"
"0","vo_10011600_0203","","1020011","11","0","2","vo_10011600","0","2"
"8","0","　BB團的羈絆","1020012","12","0","1","0","0","2"
"0","0","","1020013","13","1","4","0","1.875","2"
"8","0","不管走到哪裡都不會改變呢！\n","1020014","14","0","1","0","0","2"
"0","0","","1020015","15","1","4","0","3.75","2"
"0","vo_10011600_0204","","1020016","16","0","2","vo_10011600","0","2"
"8","0","然後，","1020017","17","0","1","0","0","2"
"0","0","","1020018","18","1","4","0","1","2"
"8","0","我認識了和那個人一起來到","1020019","19","0","1","0","0","2"
"0","0","","1020020","20","1","4","0","2","2"
"8","0","聖德蕾莎女學院","1020021","21","0","1","0","0","2"
"0","0","","1020022","22","1","4","0","1.125","2"
"8","0","（好朋友社）的成員們。","1020023","23","0","1","0","0","2"
"0","0","","1020024","24","1","4","0","3.5","2"
"0","vo_10011600_0205","","1020025","25","0","2","vo_10011600","0","2"
"8","0","　大家似乎都是很有個性的人，","1020026","26","0","1","0","0","2"
"0","0","","1020027","27","1","4","0","3","2"
"6","0","我很擔心自己是否能和他們融洽相處……","1020028","28","0","1","0","0","2"
"0","0","","1020029","29","1","4","0","2.83333333333333","2"
"0","vo_10011600_0301","","1030001","1","0","2","vo_10011600","0","3"
"8","0","　我搞砸了。","1030002","2","0","1","0","0","3"
"0","0","","1030003","3","1","4","0","3","3"
"0","vo_10011600_0302","","1030004","4","0","2","vo_10011600","0","3"
"8","0","　自我介紹對孤單的人來說就像眼前的巨大障礙。","1030005","5","0","1","0","0","3"
"0","0","","1030006","6","1","4","0","5.125","3"
"0","vo_10011600_0303","","1030007","7","0","2","vo_10011600","0","3"
"8","0","　我明明已經在腦海中做過很多次假想訓練，","1030008","8","0","1","0","0","3"
"0","0","","1030009","9","1","4","0","2.625","3"
"8","0","卻還是失敗了。","1030010","10","0","1","0","0","3"
"0","0","","1030011","11","1","4","0","2.75","3"
"0","vo_10011600_0304","","1030012","12","0","2","vo_10011600","0","3"
"8","0","　當所有同學盯著我看的那一瞬間，","1030013","13","0","1","0","0","3"
"0","0","","1030014","14","1","4","0","3.5","3"
"8","0","我的腦中變得一片空白，","1030015","15","0","1","0","0","3"
"0","0","","1030016","16","1","4","0","2","3"
"10","0","然後又開始脫口說出奇怪的話。\n","1030017","17","0","1","0","0","3"
"0","0","","1030018","18","1","4","0","4.5","3"
"0","vo_10011600_0305","","1030019","19","0","2","vo_10011600","0","3"
"8","0","雖然大家笑得很開心，","1030020","20","0","1","0","0","3"
"0","0","","1030021","21","1","4","0","3","3"
"8","0","不過我還是對未來感到不安……","1030022","22","0","1","0","0","3"
"0","0","","1030023","23","1","4","0","2.25","3"
"0","vo_10011600_0401","","1040001","1","0","2","vo_10011600","0","4"
"8","0","　優妮看起來","1040002","2","0","1","0","0","4"
"0","0","","1040003","3","1","4","0","1.75","4"
"8","0","是個很聰明的人。","1040004","4","0","1","0","0","4"
"0","0","","1040005","5","1","4","0","2.625","4"
"0","vo_10011600_0402","","1040006","6","0","2","vo_10011600","0","4"
"8","0","　她的用字譴詞十分艱澀，","1040007","7","0","1","0","0","4"
"0","0","","1040008","8","1","4","0","3.75","4"
"8","0","有些單字常常讓我聽不懂，","1040009","9","0","1","0","0","4"
"0","0","","1040010","10","1","4","0","3.125","4"
"8","0","以後我是不是應該隨身攜帶字典呢？\n","1040011","11","0","1","0","0","4"
"0","0","","1040012","12","1","4","0","4","4"
"0","vo_10011600_0403","","1040013","13","0","2","vo_10011600","0","4"
"8","0","　總是關在象牙之塔裡埋頭研究，","1040014","14","0","1","0","0","4"
"0","0","","1040015","15","1","4","0","3.75","4"
"8","0","平常不會從那裡踏出一步，","1040016","16","0","1","0","0","4"
"0","0","","1040017","17","1","4","0","3.25","4"
"8","0","散發出和我一樣的孤獨氣息。","1040018","18","0","1","0","0","4"
"0","0","","1040019","19","1","4","0","3.375","4"
"0","vo_10011600_0404","","1040020","20","0","2","vo_10011600","0","4"
"8","0","　「孤獨會召喚孤獨」，","1040021","21","0","1","0","0","4"
"0","0","","1040022","22","1","4","0","2.5","4"
"8","0","我","1040023","23","0","1","0","0","4"
"0","0","","1040024","24","1","4","0","1.125","4"
"8","0","不記得是誰說過這句話，","1040025","25","0","1","0","0","4"
"0","0","","1040026","26","1","4","0","2.75","4"
"8","0","但是說不定……\n","1040027","27","0","1","0","0","4"
"0","0","","1040028","28","1","4","0","2","4"
"0","vo_10011600_0405","","1040029","29","0","2","vo_10011600","0","4"
"8","0","擁有相同宿命的同伴，","1040030","30","0","1","0","0","4"
"0","0","","1040031","31","1","4","0","2.375","4"
"8","0","彼此可以成為好朋友？","1040032","32","0","1","0","0","4"
"0","0","","1040033","33","1","4","0","2.125","4"
"0","vo_10011600_0501","","1050001","1","0","2","vo_10011600","0","5"
