78286aa7a9bdcc8ffce3a12d9dcc5072e8467a840ffedce50fd147620e699694,5b3ada3d55d7d0af32f2ce42feda14a0a265ed0697dc4dc7f64e4bc09a58d2e1,b51d76afea3940b927db48a06095de11abce4b39dc581e4e561ec1c71a99738a,4dceee04a1c10e9f9c55295cfaec17d0a1886581c51900439d3fdf53da7d28b0,4cafbc1051ca9097a70fc79c0f1fed4a988c347b5f2e62b340eb1dfb5d2ddacc,452eec085b7e3e61c66fb88cd3e1cf62e0df9f2127f3009046cdc660b96c936d,74b3114802373e6df794b6e148c6dcd0749fe0d87584d5d23b0f4291208cb03e,442c9c6ea7c752f418d0ad77ad1280c8f330648dc9727b9f1af6cd5cea4412f3,fd2209a1844ea2e6421d563775556d6c3ba705d21179c304bd8232f1831dddc0,638511f1ee024b12b5faa7eba860987fe7bc42d36f723a9c341f0344a048af4b,7e52fcb86125725521a9227867b5d8c75758f37f648d246fc1367febe0bce00e,ba28776adf5ca1621e92a3b24f1902d98bb83b43ec1f76fdb8a2fbfc9f6ef138,78e206446c1b542a185f43370d8c2e149f7b7b70acb6184e0e9f95344d0f388f,cd6e6fe1878e4efbc0d7ee4ab8911a18991bc3618a6b9452cdf5cc320e38c3ad,d0ae312c742deda8bcd0142f24f6334c40509375baaac6aa804e9db2d4546ed5
"7","1","0","10118","與貪吃佩可的相遇","吉塔去到跳蚤市場，\n遇見了從城裡偷溜出來的貪吃佩可。","在藍天下的謁見","91002","跳蚤市場會場","8","5118061","40","0","2","2834"
"7","1","0","10118","與真步的相遇","吉塔等人在逛跳蚤市場之際，\n出來擺攤的真步叫住他們。","未來的騎空團\n吉祥物？","91002","跳蚤市場會場","8","5118062","40","0","2","2835"
"7","1","0","10118","與秋乃的相遇","吉塔在確認要給騎空團的委託時，\n揚聲高笑的秋乃現身。","來自大小姐的\n緊急委託","91002","蘭德索爾市中心","8","5118063","40","0","2","2837"
"18","1","0","10118","與純的相遇","吉塔等人在跳蚤市場會場\n看到略顯困擾的純。","金黃色的煩惱","91002","跳蚤市場會場","8","5118064","40","0","2","4108402"
"18","1","0","10118","與香織的相遇","在跳蚤市場一角舉行的格鬥大會──\n香織她人也在那裡……？","白熱化！格鬥大會！","91002","跳蚤市場會場","8","5118065","40","0","2","4107402"
"16","1","0","10118","與妮諾的相遇","正在準備太鼓祭典的大江戶町──\n吉塔遇見看似一臉困擾的妮諾。","祭典太鼓是大江戶之花","91002","大江戶町","8","5118066","40","1","2","9000227"
"19","1","0","10118","與鈴奈的相遇","碧卡拉看到參與活動演出的鈴奈。\n不過，鈴奈看起來好像很困擾的樣子……？","受歡迎的人\n總是姍姍來遲","91002","跳蚤市場會場","8","5118067","40","0","3","2101181"
"18","1","0","10118","與七七香的相遇","碧卡拉等人在街上散步時，\n路過的七七香一臉興奮地靠了過來……？","當巫女遇上魔法少女","91002","蘭德索爾市中心","8","5118068","40","0","3","4109402"
"18","1","0","10118","與凱留＆可可蘿的相遇","碧卡拉因為鼠耳不見了而感到絕望。同一時段，\n凱留和可可蘿撿到了有人掉在路上的東西……","老鼠耳朵再次消失","91002","跳蚤市場會場","8","5118069","40","0","3","4305402"
"18","1","0","10118","與優花梨的相遇","在郊外休息片刻的碧卡拉等人，\n遇見超級好心情的優花梨。","為這次的相遇乾杯！","91002","蘭德索爾市中心","8","5118070","40","0","3","4101402"
"18","1","0","10118","與碧的相遇","碧卡拉擔心著害怕混雜人群的碧，\n開朗地向她搭話……","陰陽合奏","91002","蘭德索爾市中心","8","5118071","40","0","3","4106402"
"7","1","0","10118","與忍的相遇","碧卡拉走過跳蚤市場會場，\n正在占卜的忍出聲喊住她。","試手氣十戰決勝負！","91002","跳蚤市場會場","8","5118072","40","1","3","2836"
"0","0","10145115","10118","序幕","0","她們的嶄新日常","0","0","0","5118600","0","0","1","0"
