a41da6870285218d20fe4021c1d38001e34b97d13bdbc8213e090969cc52500a,722d438a2666ee81f0b1c1d7a9c1ec4e6a212fed4b4253618abdbd182487f47c,84511020bb0575b5dc613e5a2182c76f16b8b3aee70f96999992fd9089d6dcc5,5cc0595e173cb938a13f16957a81438816ec473b2823d1c52aba90f285d531c7,08a6ae1a0a167b7061b761eaf24e50028b7b03f68937bf49b3d72bcb2910e8f1,73a38f40d79da0df799a7842b296569f9c5abd62c4655e464399923a81022aa6,eb1c18339f3374275d329ca0ce909fd2e330e671a2ab75ee0c1bf3dca2ee8822,cc1b0a29ec47574bf5f64a89539482b509172fba5a59ffb739a0bc3a234a9956,7a33a01496d96204c6a16df4f285d615735fba6eaba739e483c505b2286e7e37,82775201ef0f8815f9d5c3e1657b59cfa5e2c8190c5e73c79a9eaa753b0b8aef
"75000001","-100","0","102231","記憶領域第1層","1","0","bgm_M301","bgm_M301","102231"
"75000002","0","0","81002102","記憶領域第2層","1","0","bgm_M248_02","bgm_M248","81002102"
"75000003","-100","0","102241","記憶領域第3層","1","0","bgm_M301","bgm_M301","102241"
"75000004","0","0","81002502","記憶領域第4層","1","0","bgm_M268","bgm_M268","81002502"
"75000005","-100","0","102881","記憶領域第5層","1","0","bgm_M502","bgm_M502","102881"
"75000006","0","0","81004602","記憶領域第6層","1","0","bgm_M397","bgm_M397","81004602"
"75000007","-100","0","102871","記憶領域第7層","1","0","bgm_M503","bgm_M503","102871"
"75000008","0","0","81009002","記憶領域第8層","1","0","bgm_M577","bgm_M577","81009002"
"75000009","-100","0","102251","記憶領域第9層","1","0","bgm_M301","bgm_M301","102251"
"75000010","-100","0","102861","記憶領域第10層","1","0","bgm_M505","bgm_M505","102861"
"75000011","0","0","81010002","記憶領域第11層","1","0","bgm_M621","bgm_M621","81010002"
"75000012","-100","0","81000605","記憶領域第12層","1","0","bgm_M504","bgm_M504","81000605"
