52b7d6410085b8326989d65295d4b035ea9c79e4a26f60b9a8b1fee81026ae8c,fc7248b6ff847089c4d7b6389b5e9f2100aa7c05787e5d4fee9b1094adfa06ed,10b1116a44fd1da21547ad3305bb598f4a3a5f26af0d581492447080d3373d01,c4e1355b6737c4a030ade59bb205d408978f8e4a2750a6a8238910f485bd16dc,02f4154fc038aab7939bee1b1580c5f247427788f48de94fc01431bf7d185b0d,020d55bc34bc1d0e55cf00d30f5441f0d5e55242e69423e954436863d0c363bb,7569588160e1cd1d0f9b2b65e3956f5cfa690fa5b4282551d686c5317cd5039a,79fe2d92a4e4b0d4acb1afdac3ed2916da81654964000e90cb3cca750ae59242,d9a2492a0ef686d9ee2db42f555fa81fc76a1e129b0718c9c4d5046427266cdb,a19abdd94bc7702f82f321f0a3a67ce89a30f0440dfcd7ecf5bf504216814832
"15","2","3","8","10001","53003","","22","2","-1"
"1","1","3","5","10002","53003","","22","1","14"
"0","0","3","2","10003","52019","若菜的施捨","23","0","0"
"15","2","4","8","10004","53003","","22","2","-1"
"1","1","4","5","10005","53003","","22","1","14"
"0","0","4","2","10006","52019","若菜的施捨","23","0","0"
"15","2","5","8","10007","53003","","22","2","-1"
"1","1","5","5","10008","53003","","22","1","14"
"0","0","5","2","10009","52019","若菜的施捨","23","0","0"
"15","2","6","8","10010","53003","","22","2","-1"
"1","1","6","5","10011","53003","","22","1","14"
"0","0","6","2","10012","52019","若菜的施捨","23","0","0"
"15","2","7","8","10013","53003","","22","2","-1"
"1","1","7","5","10014","53003","","22","1","14"
"0","0","7","2","10015","52019","若菜的施捨","23","0","0"
"15","2","8","8","10016","53003","","22","2","-1"
"1","1","8","5","10017","53003","","22","1","14"
"0","0","8","2","10018","52019","若菜的施捨","23","0","0"
"15","2","9","8","10019","53003","","22","2","-1"
"1","1","9","5","10020","53003","","22","1","14"
"0","0","9","2","10021","52019","若菜的施捨","23","0","0"
"15","2","10","8","10022","53003","","22","2","-1"
"1","1","10","5","10023","53003","","22","1","14"
"0","0","10","2","10024","52019","若菜的施捨","23","0","0"
"15","2","11","8","10025","53003","","22","2","-1"
"1","1","11","5","10026","53003","","22","1","14"
"0","0","11","2","10027","52019","若菜的施捨","23","0","0"
"15","2","12","8","10028","53003","","22","2","-1"
"1","1","12","5","10029","53003","","22","1","14"
"0","0","12","2","10030","52019","若菜的施捨","23","0","0"
