d9a2492a0ef686d9ee2db42f555fa81fc76a1e129b0718c9c4d5046427266cdb,a19abdd94bc7702f82f321f0a3a67ce89a30f0440dfcd7ecf5bf504216814832,020d55bc34bc1d0e55cf00d30f5441f0d5e55242e69423e954436863d0c363bb,fc7248b6ff847089c4d7b6389b5e9f2100aa7c05787e5d4fee9b1094adfa06ed,7569588160e1cd1d0f9b2b65e3956f5cfa690fa5b4282551d686c5317cd5039a,02f4154fc038aab7939bee1b1580c5f247427788f48de94fc01431bf7d185b0d,52b7d6410085b8326989d65295d4b035ea9c79e4a26f60b9a8b1fee81026ae8c,79fe2d92a4e4b0d4acb1afdac3ed2916da81654964000e90cb3cca750ae59242,c4e1355b6737c4a030ade59bb205d408978f8e4a2750a6a8238910f485bd16dc,10b1116a44fd1da21547ad3305bb598f4a3a5f26af0d581492447080d3373d01
"2","-1","53003","2","","10001","15","22","8","3"
"1","14","53003","1","","10002","1","22","5","3"
"0","0","52019","0","若菜的施捨","10003","0","23","2","3"
"2","-1","53003","2","","10004","15","22","8","4"
"1","14","53003","1","","10005","1","22","5","4"
"0","0","52019","0","若菜的施捨","10006","0","23","2","4"
"2","-1","53003","2","","10007","15","22","8","5"
"1","14","53003","1","","10008","1","22","5","5"
"0","0","52019","0","若菜的施捨","10009","0","23","2","5"
"2","-1","53003","2","","10010","15","22","8","6"
"1","14","53003","1","","10011","1","22","5","6"
"0","0","52019","0","若菜的施捨","10012","0","23","2","6"
"2","-1","53003","2","","10013","15","22","8","7"
"1","14","53003","1","","10014","1","22","5","7"
"0","0","52019","0","若菜的施捨","10015","0","23","2","7"
"2","-1","53003","2","","10016","15","22","8","8"
"1","14","53003","1","","10017","1","22","5","8"
"0","0","52019","0","若菜的施捨","10018","0","23","2","8"
"2","-1","53003","2","","10019","15","22","8","9"
"1","14","53003","1","","10020","1","22","5","9"
"0","0","52019","0","若菜的施捨","10021","0","23","2","9"
"2","-1","53003","2","","10022","15","22","8","10"
"1","14","53003","1","","10023","1","22","5","10"
"0","0","52019","0","若菜的施捨","10024","0","23","2","10"
"2","-1","53003","2","","10025","15","22","8","11"
"1","14","53003","1","","10026","1","22","5","11"
"0","0","52019","0","若菜的施捨","10027","0","23","2","11"
"2","-1","53003","2","","10028","15","22","8","12"
"1","14","53003","1","","10029","1","22","5","12"
"0","0","52019","0","若菜的施捨","10030","0","23","2","12"
