589e5f548ed912c24e10d13165dbd576cb5bc786a830ae9abc4c94074483b8df,66f4674ac1e7e1e32c0dbc6f005195cb3453e12dffd31b70d97c5d7af8fd8417,6f48867a5c1313d63f4cf173d0a4181a81eeaf958472544fd9ca51cc2859a26a,cf70ff89a411658c76db36cc9efd683331e2bc0b30c800728b91680f9fc60aca,10a4ddd5d17318c3e550f358ade9c0478df57e21d8b1f333d24a4b66036d7b93,4d2da34a628243a53b11dfa3b6e2ed39e129cfe2c27d2724b572057a5a9245c0,d343e316b8c0acebe239fa3f98a957c8e6427eb21d39998c308ca0a113833442,5b1176a3d407d08db528f90a81bc87b06e997c777acb073a4a1b2f9a1aaef796,5216fa3b7cc2a2c520672f0c714afeb6aa4ad3273728629254fa4bac44977a79,8cd3c74b5270accf9e6192972a8bae656f4b93342a73837106da9b6f5eeba7d3,b715e2fca8620ed9239481454797db343dfb3411f62db714a92a77cb325cfb8e,de3216e6600962eb8322b99b794d45d0567f4445659dba6081f5c9d7dc1d129e,c7994acc2386fbdfd60f0312d5939e522d90a10b337f49945f095d9dcced40a6
"Lost Princess","1","-1","2018-10-18 15:00:00","","","20","","-1","Lost Princess","","","1"
"Connecting Happy!!","2","-1","2018-10-18 15:00:00","","","17","","-1","Connecting Happy!!","","","2"
"踏上旅程","3","-1","2018-10-18 15:00:00","","","20","","1000","踏上旅程","","","3"
"穿過森林的風","4","-1","2018-10-18 15:00:00","","","20","","1000","穿過森林的風","","","4"
"梅莎路提姆","5","-1","2018-10-18 15:00:00","","","20","","1000","梅莎路提姆","","","5"
"初音的禮物大作戰","6","-1","2018-10-18 15:00:00","","","20","","1000","初音的禮物大作戰","","","6"
"席茲","7","-1","2018-10-18 15:00:00","","","20","","1000","席茲","","","7"
"Smiley Contrast","8","-1","2018-10-18 15:00:00","","","20","","1500","Smiley Contrast","","","8"
"牛頭怪","9","-1","2018-10-18 15:00:00","","","20","","1000","牛頭怪","","","9"
"小小甜心大冒險","10","-1","2018-10-18 15:00:00","","","20","","1000","小小甜心大冒險","","","10"
"阿爾瑪","11","-1","2018-10-18 15:00:00","","","20","","1000","阿爾瑪","","","11"
"小小冒險","12","-1","2018-10-18 15:00:00","","","18","","1500","小小冒險","","","12"
"大胃王","13","-1","2018-10-18 15:00:00","","","20","","1000","大胃王","","","13"
"不給布丁就搗蛋！約定的萬聖節派對","14","-1","2018-10-18 15:00:00","","","20","","1000","不給布丁就搗蛋！約定的萬聖節派對","","","14"
"傑克南瓜布丁","15","-1","2018-10-18 15:00:00","","","17","","1000","傑克南瓜布丁","","","15"
"還要！兩人的派～對～夜～","16","-1","2018-10-18 15:00:00","","","20","","1500","還要！兩人的派～對～夜～","","","16"
"閃耀的冰晶","17","-1","2018-10-18 15:00:00","","","20","","1000","閃耀的冰晶","","","17"
"Shining Future","18","3010003","2018-11-19 15:00:00","","","20","","1500","Shining Future","","","18"
"向風起誓","19","3010003","2018-11-19 15:00:00","","","20","","1500","向風起誓","","","19"
"因為想看到你的笑容","20","3010003","2018-11-19 15:00:00","","","18","","1500","因為想看到你的笑容","","","20"
"無法坦率的心！","21","1054007","2018-11-19 15:00:00","","","18","","1500","無法坦率的心！","","","21"
"向詭譎氣氛挺身而出的鬥志","22","-1","2018-11-19 15:00:00","","","20","","1000","向詭譎氣氛挺身而出的鬥志","","","22"
"野豬雙胞胎","23","-1","2018-11-19 15:00:00","","","20","","1000","野豬雙胞胎","","","23"
"吸血鬼獵人with伊莉亞","24","-1","2018-11-19 15:00:00","","","20","","1000","吸血鬼獵人with伊莉亞","","","24"
"加爾格","25","-1","2018-11-19 15:00:00","","","20","","1000","加爾格","","","25"
"Peaceful*沖繩雜炒","26","-1","2018-11-19 15:00:00","","","20","","1500","Peaceful*沖繩雜炒","","","26"
"天蠍毒者","27","-1","2018-11-19 15:00:00","","","20","","1000","天蠍毒者","","","27"
"暮光破壞者","28","-1","2018-11-19 15:00:00","","","20","","1000","暮光破壞者","","","28"
"奧拉姆","29","-1","2018-11-19 15:00:00","","","20","","1000","奧拉姆","","","29"
"最強對吧，對吧？","30","-1","2018-11-19 15:00:00","","","20","","1500","最強對吧，對吧？","","","30"
"冰海之地","31","-1","2018-11-19 15:00:00","","","20","","1000","冰海之地","","","31"
"冰天雪地","32","-1","2018-12-19 15:00:00","","","20","","1000","冰天雪地","","","32"
"涼爽的風","33","-1","2018-12-19 15:00:00","","","20","","1000","涼爽的風","","","33"
"加爾基諾司","34","-1","2018-12-19 15:00:00","","","20","","1000","加爾基諾司","","","34"
"危險的假期！海岸邊的美食家公主","35","-1","2018-12-19 15:00:00","","","20","","1000","危險的假期！海岸邊的美食家公主","","","35"
"天塔帕斯","36","-1","2018-12-19 15:00:00","","","20","","1000","天塔帕斯","","","36"
"充滿笑容的家","37","-1","2018-12-19 15:00:00","","","20","","1500","充滿笑容的家","","","37"
"人馬座","38","-1","2018-12-19 15:00:00","","","20","","1000","人馬座","","","38"
"忘却的頌歌","39","-1","2018-12-19 15:00:00","","","20","","1000","忘却的頌歌","","","39"
"霧奇","40","-1","2018-12-19 15:00:00","","","20","","1000","霧奇","","","40"
"Ding Dong Holy Night♪","41","-1","2018-12-19 15:00:00","","","20","","1500","Ding Dong Holy Night♪","","","41"
"險峻枯原","42","-1","2019-01-18 15:00:00","","","20","","1000","險峻枯原","","","42"
"奧爾獅","43","-1","2019-01-18 15:00:00","","","20","","1000","奧爾獅","","","43"
"珠希和美冬的無人島0盧幣生活","44","-1","2019-01-18 15:00:00","","","20","","1000","珠希和美冬的無人島0盧幣生活","","","44"
"島鯨","45","-1","2019-01-18 15:00:00","","","20","","1000","島鯨","","","45"
"閃亮亮☆Happiness！","46","-1","2019-01-18 15:00:00","","","18","","1500","閃亮亮☆Happiness！","","","46"
"新的出航","47","-1","2019-01-18 15:00:00","","","20","","1000","新的出航","","","47"
"阿爾珈提","48","-1","2019-01-18 15:00:00","","","20","","1000","阿爾珈提","","","48"
"新春破曉之星大危機！","49","-1","2019-01-18 15:00:00","","","20","","1000","新春破曉之星大危機！","","","49"
"邪餅神鏡餅","50","-1","2019-01-18 15:00:00","","","20","","1000","邪餅神鏡餅","","","50"
"TwinkleStars","51","-1","2019-01-18 15:00:00","","","20","","1500","TwinkleStars","","","51"
"酷熱沙漠","52","-1","2019-02-15 15:00:00","","","20","","1000","酷熱沙漠","","","52"
"美杜莎","53","-1","2019-02-15 15:00:00","","","20","","1000","美杜莎","","","53"
"黑鐵的亡靈（Nightmare）","54","-1","2019-02-15 15:00:00","","","20","","1000","黑鐵的亡靈（Nightmare）","","","54"
"亡靈鎧甲","55","-1","2019-02-15 15:00:00","","","20","","1000","亡靈鎧甲","","","55"
"Aloofness Code","56","-1","2019-02-15 15:00:00","","","20","","1500","Aloofness Code","","","56"
"Absolute Secret","57","2008015","2019-02-15 15:00:00","","","20","","1500","Absolute Secret","","","57"
"水之里歐斯","58","-1","2019-02-15 15:00:00","","","20","","1000","水之里歐斯","","","58"
"情人節之戰！正中紅心的甜蜜戰鬥","59","-1","2019-02-15 15:00:00","","","20","","1000","情人節之戰！正中紅心的甜蜜戰鬥","","","59"
"醜陋可愛","60","-1","2019-02-15 15:00:00","","","20","","1000","醜陋可愛","","","60"
