7a42a67f478d1ed8f55e0c746589906cd704f5b85a324e7ef199fb180441dd49,263650eaf8ed7d5a3db2a801d29e60d13b4f41b8763f0bc9c9c28dbd4e3baa3d,5514d0ee77a5bc4a3d4dd0c1eea372344f9cdf7e52fa63904c7c800d27733cb2,cfef6262ce8e4757ba57ade549ebd2beccf97ff1cbe13183bb360b23d86292f4,30938ec6cbbf5372d4aaf223e0eb97a64ad2efb1ea4eb389b62ad3768531c33e,2d81c5035359a5a4de9d5be3fc6573fd8b02e69e0c97a0bb57b9b45409a66c0d,013c3b41e5a74239938e2aef978b63b7cd53cf25459d23307c83b6ebcb557ed1,783228da3365d9773174d01d8b3ba2b0dacf43984a27ef8b1dea148a2ae82a05,37f91f90114b2c749a731ed58602645012f490b4fff64ee88eacec11ba2af371
"100000","1","32000101","7008","1010","所有玩家合力打倒100,000次蠻賊三姊妹","32000101","1","1002"
"150000","2","32000102","7008","1010","所有玩家合力打倒150,000次蠻賊三姊妹","32000102","1","1002"
"200000","3","32000103","7008","1010","所有玩家合力打倒200,000次蠻賊三姊妹","32000103","1","1002"
"100000","4","32000104","7008","1010","所有玩家合力打倒100,000次芙蕾雅","32000104","1","1003"
"150000","5","32000105","7008","1010","所有玩家合力打倒150,000次芙蕾雅","32000105","1","1003"
"200000","6","32000106","7008","1010","所有玩家合力打倒200,000次芙蕾雅","32000106","1","1003"
"200000","7","32000107","7008","1010","所有玩家合力打倒200,000次阿剌克涅","32000107","0","1004"
"300000","8","32000108","7008","1010","所有玩家合力打倒300,000次阿剌克涅","32000108","0","1004"
"400000","9","32000109","7008","1010","所有玩家合力打倒400,000次阿剌克涅","32000109","0","1004"
"1","10","32000110","7007","1009","挑戰1次成群的寶石蜘蛛","32000110","1","1001"
"1","11","32000111","7007","1009","打倒1次蠻賊三姊妹","32000111","1","1002"
"1","12","32000112","7007","1009","打倒1次芙蕾雅","32000112","1","1003"
"1","13","32000113","7007","1009","打倒1次阿剌克涅","32000113","0","1004"
