42ba915909972262bf97f057dc0bfa317098bebe3696b4242b3138da43ba6bb8,a8f1300ad15fa5abc0c011f1560d93526409dfa90f6f6e03f31b6f986627e34d,8f5b9cab6ac1a2372f98430acf75fc06abf66475d3c8b7de38e236ef95bb9eb2,afe42c3f37627f09d79507491f019408d52c8e3d9ee2d20b4d024018d8bf5514,b35461591764f7adc9e5100df1863f5b365d0d2f821d2c9a08c5a5178596a7f2,126b08510dc02ab27e9970fd301769545bdf3ee10625690435a3344d49b7cc75,5c1a7b2298d12744b9dc9f802dd60c70ce6d4f897740515b8246d3a1b78e3599,13e4809658a2f4d0cb4a778d4a4389d8985f7df7ee15264f0ef2851f9d919e0f,026aeb096dbcdaecc62cdba5bfb565cca9fcc136d5e49272049cbbee3661f373,075ec5df50130f081925982769e47b2f808a3acc28444775ea4d2374403ba48f,c608df2208091303960301885e83556ada058b811708bda1e498b285ff1f0970,d5e41910ac947799b15e668a2015d15ccba5511fd22536dbf1a9f15b4c004818,6e44fd7548da22a854266d72d462ff5d9a882656bea6fd24716f73e5002d8633,0522d98aa21d2cc035e9a15f96e3c20c532a5cb571afb5ed1ffa0f1dc2c9c152,0a35214844d950e79a6d5a6503c3e6fb908c8b4ce3bc79740a9bc3ec6b917848
"924070100","92407","1","前哨冒險","90","92407010","92407020","8","6","0","924072001","96","924073001","0","25"
"924070200","92407","2","前哨冒險","90","92407020","92407030","8","6","0","924072002","96","924073002","92407010","25"
"924070300","92407","3","前哨冒險","90","92407030","0","8","6","0","924072003","96","924073003","92407020","25"
"924080100","92408","1","前哨冒險","90","92408010","92408020","25","25","0","924082001","540","924083001","0","25"
"924080200","92408","2","前哨冒險","90","92408020","92408030","25","25","0","924082002","540","924083002","92408010","25"
"924080300","92408","3","前哨冒險","90","92408030","0","25","25","0","924082003","540","924083003","92408020","25"
"924090100","92409","1","前哨冒險","90","92409010","92409020","25","25","0","924092001","540","924093001","0","25"
"924090200","92409","2","前哨冒險","90","92409020","92409030","25","25","0","924092002","540","924093002","92409010","25"
"924090300","92409","3","前哨冒險","90","92409030","0","25","25","0","924092003","540","924093003","92409020","25"
"924100100","92410","1","前哨冒險","90","92410010","92410020","25","25","0","924102001","540","924103001","0","25"
"924100200","92410","2","前哨冒險","90","92410020","92410030","25","25","0","924102002","540","924103002","92410010","25"
"924100300","92410","3","前哨冒險","90","92410030","0","25","25","0","924102003","540","924103003","92410020","25"
"924110100","92411","1","前哨冒險","90","92411010","92411020","25","25","0","924112001","540","924113001","0","25"
"924110200","92411","2","前哨冒險","90","92411020","92411030","25","25","0","924112002","540","924113002","92411010","25"
"924110300","92411","3","前哨冒險","90","92411030","0","25","25","0","924112003","540","924113003","92411020","25"
"924120100","92412","1","前哨冒險","90","92412010","92412020","25","25","0","924122001","540","924123001","0","25"
"924120200","92412","2","前哨冒險","90","92412020","92412030","25","25","0","924122002","540","924123002","92412010","25"
"924120300","92412","3","前哨冒險","90","92412030","0","25","25","0","924122003","540","924123003","92412020","25"
"924140100","92414","1","前哨冒險","90","92414010","92414020","25","25","0","924142001","540","924143001","0","25"
