24a3c737f10462cb549aa0c012e6ac4a55d55bcd2d76f2eba9b2f2295944f4f9,9441ba3e824a02afe3467ed415b9f4e1fe59747c6f6d9e528c7ff1c008eb84e7,2ccc726e34e3ac24419471d33f07e226df867d2e83732e1d34056c8d96499f2f,fb762ba1de2bc179f1a145fbf547da9dd2f17630d27a4617e61ae4dc1b3569f6,5f66171b5f44a8cbbbd8d249d32fc858f6b347f3511042dc7441f50b94dee83a,4aa9a67a28f8e012c7b8cc38f791a752cf0f96dae33b455d0632ba7664511093,5ce8d0af4bb700ad3e306e3b53f383f899f46b8b3c76498fe0e055630e5090ea
"bgm_M152","1","Lost Princess","bgm_M152","01:33","00:58","角色歌曲\n\n時間 / 01:33\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美来）\n　　　凱留（立花理香）\n作詞 / しほり\n作曲 / 田中公平\n編曲 / 根岸貴幸"
"bgm_M153","2","Connecting Happy!!","bgm_M153","01:56","01:01","角色歌曲\n\n時間 / 01:56\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美来）\n　　　凱留（立花理香）\n作詞 / 畑亜貴\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 奈良悠樹"
"bgm_M61","3","踏上旅程","bgm_M61_juke","01:48","00:00","主線冒險\n\n時間 / 01:48\n作曲 / 本田晃弘（Cygames）\n編曲 / 伊藤翼"
"bgm_M62","4","穿過森林的風","bgm_M62_juke","01:35","00:00","主線冒險\n\n時間 / 01:35\n作曲 / 本田晃弘（Cygames）\n編曲 / カワイヒデヒロ"
"bgm_M90","5","梅莎路提姆","bgm_M90_juke","01:18","00:00","戰隊競賽\n\n時間 / 01:18\n作曲 / 西木康智\n編曲 / 西木康智"
"bgm_M32","6","初音的禮物大作戰","bgm_M32_juke","01:02","00:00","故事劇情主題曲\n-「Smiley Contrast」編曲-\n\n時間 / 01:02\n作曲 / 渡部チェル\n編曲 / 加藤慶"
"bgm_M47","7","席茲","bgm_M47_juke","02:34","00:00","故事劇情頭目戰\n\n時間 / 02:34\n作曲 / 多田彰文\n編曲 / 多田彰文"
"bgm_M149","8","Smiley Contrast","bgm_M149","01:40","00:57","角色歌曲\n\n時間 / 01:40\n演唱　 / 初音（大橋彩香）\n　　　栞（小清水亜美）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル"
"bgm_M97","9","牛頭怪","bgm_M97_juke","00:59","00:00","戰隊競賽\n\n時間 / 00:59\n作曲 / 東大路憲太\n編曲 / 東大路憲太"
"bgm_M98","10","小小甜心大冒險","bgm_M98_juke","01:00","00:00","故事劇情主題曲\n-「小小冒險」編曲-\n\n時間 / 01:00\n作曲 / 池田健仁\n編曲 / 西村真吾"
"bgm_M102","11","阿爾瑪","bgm_M102_juke","02:31","00:00","故事劇情頭目戰\n\n時間 / 02:31\n作曲 / 西木康智\n編曲 / 西木康智"
