800e3d0b0cbfd686a18f7132f39b604954fd7ca41c361ccc4083c7b331289760,440f11a30e207dee14f443170cb6183f536d29d9f523224744b0cca2f34b27a7,f3a7da4578900f71b4c6c9d2bb01a9d75e3bd61098bd07434d89ce166474a417,7c7433e22fcb4708017b5932e7e32a773051eae6e8a4feb5d57e486ea185d31c,be822815df61d96355e22099e80f6b2d5ec63e0a773389499881eb198b491652,5858c2e157f58b8fc3203b72db84f3ead8a6043086b7a5fd2ad0369d93f40489,1fecc1ed52826a3fced198811a28f6cc1526cf0e952f5c48ed6bb306f858dbf9,caa88cc7183cbf4ea10c4ececeb74b2a0302d11efae1d23239ea06c394872ada,d93e216d681003c0e5c5afb6c4fe6921f4596a677cf54f86a02e6c18b9433a2c,7688722fcdc4ef4e18e898973d199f073d32e18c6e6e1c90ab54ff424cdef026,f763ac237b690c0372424e3e5839d3597af15d65afc88ca45f45fb67c1f20bcf
"1001","0","0","10011105","1","0","1","pt","2","10011","0"
"1002","0","1","10015103","1","0","2","m","2","10015","0"
"1003","0","0","10021108","1","0","3","pt","2","10021","5021700"
"1004","0","0","5027007","1","0","4","pt","3","10027","5027700"
"1005","0","0","10040105","1","0","5","pt","2","10040","5040700"
"1006","5046006","0","5046006","1","1","6","pt","1","10046","0"
"1007","5072006","0","5072006","1","3","7","pt","3","10072","0"
"1008","5080000","0","5080007","0","3","8","pt","3","10080","5080700"
"1009","0","0","0","0","0","9","pt","0","0","9004201"
"1010","5096007","0","5096007","1","3","10","pt","1","10096","5096700"
"1012","5126000","0","10126107","1","3","11","pt","2","10126","0"
"1013","5142000","0","5142007","1","1","12","pt","3","10142","5142700"
