1fecc1ed52826a3fced198811a28f6cc1526cf0e952f5c48ed6bb306f858dbf9,7688722fcdc4ef4e18e898973d199f073d32e18c6e6e1c90ab54ff424cdef026,f763ac237b690c0372424e3e5839d3597af15d65afc88ca45f45fb67c1f20bcf,d93e216d681003c0e5c5afb6c4fe6921f4596a677cf54f86a02e6c18b9433a2c,440f11a30e207dee14f443170cb6183f536d29d9f523224744b0cca2f34b27a7,7c7433e22fcb4708017b5932e7e32a773051eae6e8a4feb5d57e486ea185d31c,caa88cc7183cbf4ea10c4ececeb74b2a0302d11efae1d23239ea06c394872ada,f3a7da4578900f71b4c6c9d2bb01a9d75e3bd61098bd07434d89ce166474a417,5858c2e157f58b8fc3203b72db84f3ead8a6043086b7a5fd2ad0369d93f40489,be822815df61d96355e22099e80f6b2d5ec63e0a773389499881eb198b491652,800e3d0b0cbfd686a18f7132f39b604954fd7ca41c361ccc4083c7b331289760
"1","10011","0","2","0","10011105","pt","0","0","1","1001"
"2","10015","0","2","0","10015103","m","1","0","1","1002"
"3","10021","5021700","2","0","10021108","pt","0","0","1","1003"
"4","10027","5027700","3","0","5027007","pt","0","0","1","1004"
"5","10040","5040700","2","0","10040105","pt","0","0","1","1005"
"6","10046","0","1","5046006","5046006","pt","0","1","1","1006"
"7","10072","0","3","5072006","5072006","pt","0","3","1","1007"
"8","10080","5080700","3","5080000","5080007","pt","0","3","0","1008"
"9","0","9004201","0","0","0","pt","0","0","0","1009"
"10","10096","5096700","1","5096007","5096007","pt","0","3","1","1010"
"11","10126","0","2","5126000","10126107","pt","0","3","1","1012"
"12","10142","5142700","3","5142000","5142007","pt","0","1","1","1013"
