5975d1c35bf90180638265fbeebb13ab88d57525a3e42bdac1e9fcc689b1f910,ae6e0ad2bafeb7a4903dc125d253542a6cf3543d170b9f96808f9a1045df924f,fe8d000d8a914814179dc2b3b87b0435374fc707366175dd61a143b97c40876b,8667cd560427598c793af1fdbff695ed6fdc326b1dbc0bcff7864fd6eccafd75,84f2269cce6a644ea217c24fb1c6f2bc9583b74f9c327d9e1519cdcabe5a2d0a,b6bb19311766d6b2cca786de312490f687384f3df90032f09cb2b09deca431f2,1e94a22aa97d685355ed9e89589970fcff2518bbb767374fcda777272208919a,f3df9873e22276027f44a77f8c347b3b7fa8abf3e5f0111d24019eb400a049a2
"10050640","30050236","0","0","30050237","10050650","3000","0"
"10050659","30050413","0","0","30050414","10050670","3000","0"
"10050723","30050421","0","0","30050422","10050735","3000","30050423"
"10050818","30050424","0","0","30050425","10050360","3000","30050426"
"10060402","30060187","0","30060190","30060188","10060413","3000","30060189"
"10060480","30060191","0","0","30060192","10060492","3000","30060193"
"10060542","30060194","0","30060197","30060195","10060545","3000","30060196"
"10060591","30060208","30060212","30060211","30060209","10060606","3000","30060210"
"10070608","30070186","0","30070189","30070187","10070626","3000","30070188"
"10070914","30070198","30070202","30070201","30070199","10070926","3000","30070200"
"10071038","30070206","30070210","30070209","30070207","10071052","3000","30070208"
"10071117","30070193","0","30070196","30070194","10071131","3000","30070195"
