3b592b296a600967df3e27d8b58f6d9ae16a78deaeead19909c5afde2d7aca89,3806689a7279796c3a5ab3c42397e8708a31ab98b4f633bc74b173405ef01ed4,93a419eed606469a993833447de176b4c9d2e8fcaa4b1afcee6bc8fcaf0543af,633d03e6b204c69eb1872a43dc062bfebe5f8db9d8979735e4654cef37f6cc0a,d79e42cf6159333d0bff114339a7b6233966ed69e01cc45ba8895fe1dff87706,b11c0fbae1a530326743992d89031078ff1fa2d2450a6d62ef3e980d54e7d6e7,973f7c1cf4fa92c5f2429cb3eb57c4b80a8da98cf844893feb0259058f7fa83c,7bb9b9708a0170f7b214ec3b1a490928c7217d9e8a1d2d5a055e6e0185e5e745,4ef5f97d00460336e257c7eabb77f72468b050bcafb1d8ebaeaf6b00817b725b,db2d7b5518e994f7ff6dae4961c0519ac26c164bc15c060a3614c099052fd965,30fcee7ff5047c96f7e6e7a04921b8cfc0ce6829715b36790963d2378f1d3b2e,ead4017fbeff63fefc9dac8ef1ddd570219f5fe6de2f1c12b6b3055920638b9a,2691d8e37e0238b9f7b9ddf75f9cc52cb8cd2c063fd4e5c648fe37d3edd0314e,d4a8b8f5a2cf4d731340a4f35ae38727791cac7d6421a88e8565dd2bf7dabd66
"香織（夏日）","2.3","2019/12/02 16:00:00","110501","1","24","0","啊啊～好可惜～\n難道你的魂被奄美魔物奪走了嗎～？","4","1","10021","2030/12/17 14:59:59","24015","0"
"香織（夏日）","2.3","2019/12/02 16:00:00","110501","2","24","0","今天的舞蹈也跳得很糟糕呢～\n吃點像苦瓜的東西恢復元氣吧～！","4","1","10021","2030/12/17 14:59:59","24016","0"
"香織（夏日）","2.3","2019/12/02 16:00:00","110501","3","24","0","到處都是奄美魔物，看得我眼花瞭亂～！\n腦袋也昏昏的～！","4","1","10021","2030/12/17 14:59:59","24017","0"
"香織（夏日）","2.3","2019/12/02 16:00:00","110501","4","24","0","船到橋頭自然直、船到橋頭自然直\n下次再努力就好了～！\n到海邊游泳，讓自己煥然一新吧～！","1","1","10021","2030/12/17 14:59:59","24018","0"
"香織（夏日）","2.3","2019/12/02 16:00:00","110501","5","24","0","丟臉的一面\n被你看見了～\n泳裝？　我指的不是泳裝喔～？","5","1","10021","2030/12/17 14:59:59","24019","0"
"香織（夏日）","2.3","2019/12/02 16:00:00","110501","6","24","0","狀態絕佳～！　就按照這個步調\n取回大海的和平吧～！\n歡樂的夏天正在等著我們～！","2","3","10021","2030/12/17 14:59:59","24020","0"
"香織（夏日）","2.3","2019/12/02 16:00:00","110501","7","24","0","不管有幾隻魔物來襲，\n我都不會嚇掉魂喔～！\n哈啾！　啊……不過可能會因為剛剛的噴嚏而掉魂～？","1","3","10021","2030/12/17 14:59:59","24021","0"
"香織（夏日）","2.3","2019/12/02 16:00:00","110501","8","24","0","咿――呀――呀――啊――♪\n戰鬥結束後跳個舞蹈，\n精神百倍呀～！","2","3","10021","2030/12/17 14:59:59","24022","0"
"香織（夏日）","2.3","2019/12/02 16:00:00","110501","9","24","0","咦～？　戰鬥途中\n泳衣不知道跑去哪了～？\n喂，你有看到嗎～？\n為什麼要離開呢～？","6","3","10021","2030/12/17 14:59:59","24023","0"
"香織（夏日）","2.3","2019/12/02 16:00:00","110501","10","24","0","我還很有精神喔～！\n不管是奄美魔物還是別的，\n儘管來～吧～♪","1","3","10021","2030/12/17 14:59:59","24024","0"
"香織（夏日）","2.3","2019/12/02 16:00:00","110501","11","24","0","我的空手道可是世界最強的～！\n只要夏日陽光和蔚藍大海常伴左右，\n我們就能所向無敵喔～！","2","3","10021","2030/12/17 14:59:59","24025","0"
