45844571a74355f7539df0c2532458fb93e19ab2d9b9d7e71a8f08cb9c505700,aab496ca52b13813a69798d47868b22455ed3a26e9516986f38bc6529fb25828,b807beea00c94f84cc447e4857fa19a119eda11dc01f087b34e950002d81a77d,289c5f2c2edcb9d285d9b664128a4b5ad8707440f3f09fff84ea27352828ab13,dfcefa3073b855660d2535c2f26c4fa6b1ab04683a7ca72fc0b625ec73856ad5,81a483f53aa83d8cbcaff91218e85d250d9682c6558835d2466622964ad2d29e,4a62e30a0d0c236f22a814cba7fd8a5539f1de0c782f884696ee3f7718959e4f,86c9a787286f039accd2f2cbb5664c7edae5b9ff02eff9fcc57b6fcdcec3db49,a5d4343e2ea626aa38da91ae48b1bba3986689c7b8b95a73ef85cfab58c496fc,c7ceef8518c5c7585314f564a045bc757bc06c28ce514695379e4865ce5f0885
"-100","102231","bgm_M301","1","0","75000001","bgm_M301","記憶領域第1層","102231","0"
"0","81002102","bgm_M248_02","1","0","75000002","bgm_M248","記憶領域第2層","81002102","0"
"-100","102241","bgm_M301","1","0","75000003","bgm_M301","記憶領域第3層","102241","0"
"0","81002502","bgm_M268","1","0","75000004","bgm_M268","記憶領域第4層","81002502","0"
"-100","102881","bgm_M502","1","0","75000005","bgm_M502","記憶領域第5層","102881","0"
"0","81004602","bgm_M397","1","0","75000006","bgm_M397","記憶領域第6層","81004602","0"
"-100","102871","bgm_M503","1","0","75000007","bgm_M503","記憶領域第7層","102871","0"
"0","81009002","bgm_M577","1","0","75000008","bgm_M577","記憶領域第8層","81009002","0"
"-100","102251","bgm_M301","1","0","75000009","bgm_M301","記憶領域第9層","102251","0"
"-100","102861","bgm_M505","1","0","75000010","bgm_M505","記憶領域第10層","102861","0"
"0","81010002","bgm_M621","1","0","75000011","bgm_M621","記憶領域第11層","81010002","0"
"-100","81000605","bgm_M504","1","0","75000012","bgm_M504","記憶領域第12層","81000605","0"
