a09d1d9311036018279308c6aeb77d90a63d1062c7db1e3ad91621ad8402c8b5,f96d6d4ed52ab9c5025d24ee00e5b06238fd44e9f016b230ecf5c67b0b36b530,4128557dd393c22444e93066b89c485f734a50c16f34bbf4ac97672512116d5b,f8ca9722f05dc9bc725c0efd4399e7f5f3bfc200146659df7afa2b5a94b54166
"100101","0","1001","無法戰鬥的角色為0人以下時獲勝"
"100102","1","1001","無法戰鬥的角色為1人以下時獲勝"
"100103","2","1001","無法戰鬥的角色為2人以下時獲勝"
"100201","74001","1002","戰鬥剩餘時間為1:15以上時獲勝"
"100202","69001","1002","戰鬥剩餘時間為1:10以上時獲勝"
"100203","59001","1002","戰鬥剩餘時間為1:00以上時獲勝"
"100204","49001","1002","戰鬥剩餘時間為0:50以上時獲勝"
"100205","44001","1002","戰鬥剩餘時間為0:45以上時獲勝"
"100206","39001","1002","戰鬥剩餘時間為0:40以上時獲勝"
"100207","29001","1002","戰鬥剩餘時間為0:30以上時獲勝"
"100301","1000","1003","我方的Total HP為100%以上時獲勝"
"100302","900","1003","我方的Total HP為90%以上時獲勝"
"100303","800","1003","我方的Total HP為80%以上時獲勝"
"100304","700","1003","我方的Total HP為70%以上時獲勝"
"100305","600","1003","我方的Total HP為60%以上時獲勝"
"100306","500","1003","我方的Total HP為50%以上時獲勝"
"100307","990","1003","我方的Total HP為99%以上時獲勝"
