02443cbc9310be56918155328198c1c7a6688cf6fe49f201dfbd0b80fd44e310,d2c6a772328d1ba1c32b07546d213a6e8f930b0b975ee8deb336ea3c25e77a07,ebe6d9e83c830baec9e8814d7db0c1217530fd0a5b02dbea7a99cea7159fc6d0,7009fd2b68d012c3535fa053afd5dc9ec34e3a9db79e59497c8f99708592c65a,c7549e4744f123417030378fc2d15021d9a739cbec35ef7762df737b6f764b96,fa0cee652060f4033c22fa91f54586735d88bdd5ecf9f2627b6b452d058798c8,5c1fb00bdb33f7ad1eb97bd8de1edf13eb54005e7e8237222dcde600ff7b4abb,1cc26053182037cef1522e3eaaa34476b7cbfe51c3174243bae2d616ae689551,0ec15d15bb2274f608cd9f1517daf53526a739c8e0060198ae17a514dc2b92d8,2964b725169750f71c5bec895d079db31d9a98616a0b0ad752436c99a1c1b829,813a7504822cbf6e43ca1b9cc2fc0b0314aa90dfea708d901121bacfe8b685d1
"1","0","109901","0","愛蜜莉雅","0","0","1","1000","10153","0"
"1","0","109701","0","雷姆","0","0","2","1000","10153","0"
"1","0","109801","0","拉姆","0","0","3","1000","10153","0"
"1","0","110001","0","鈴奈","0","0","1","1000","20015","0"
"1","0","110201","0","美咲","0","0","2","1000","20015","0"
"1","0","110801","0","克蘿依","0","0","1","1000","20017","0"
"1","0","110901","0","琪愛兒","0","0","2","1000","20017","0"
"1","40","111001","0","優妮","0","0","3","1000","20017","0"
"1","0","111301","0","美美","0","0","1","1000","20018","0"
"1","0","111101","0","鏡華","0","0","2","1000","20018","0"
"1","0","111201","0","禊","0","0","3","1000","20018","0"
"1","0","106601","0","祈梨","0","0","1","1000","20019","0"
"1","0","106501","0","嘉夜","0","0","2","1000","20019","0"
"1","0","111601","0","望","0","0","3","1000","20020","0"
"1","0","111501","0","克莉絲提娜","0","0","1","1000","20020","0"
"1","0","111701","0","伊莉亞","0","0","2","1000","20020","0"
"1","0","112201","0","霞","0","0","1","1000","20022","0"
"1","0","112301","0","栞","0","0","2","1000","20022","0"
"1","0","110901","0","琪愛兒","0","0","1","1000","20023","0"
"1","0","110801","0","克蘿依","0","0","2","1000","20023","0"
"1","0","111001","0","優妮","0","0","3","1000","20023","0"
"1","0","103301","0","真陽","0","0","1","1000","20024","0"
"1","0","102601","0","鈴","0","0","2","1000","20024","0"
"1","0","105201","0","莉瑪","0","0","3","1000","20024","0"
"1","0","103801","0","栞","0","0","4","1000","20024","0"
"2","0","112901","0","璃乃","0","0","1","1000","20025","0"
"2","0","113001","0","步未","0","0","2","1000","20025","0"
"2","0","900103","0","日和","0","0","3","1000","20025","0"
"2","0","906601","0","祈梨","0","0","4","1000","20025","5042004"
"2","-40","106701","0","帆稀","-40","0","5","1000","20025","5042004"
"1","-40","113101","0","流夏","-40","0","1","1000","20026","0"
"1","0","113301","0","七七香","0","0","2","1000","20026","0"
"1","0","113201","0","杏奈","0","0","3","1000","20026","0"
"1","0","113801","0","依里","0","0","1","1000","20028","0"
"1","0","113701","0","茜里","0","0","2","1000","20028","0"
"1","0","113901","0","紡希","0","0","1","1000","20029","0"
"1","0","114001","0","怜","0","0","2","1000","20029","0"
"1","0","114101","0","茉莉","0","0","3","1000","20029","0"
"1","0","114201","0","莫妮卡","0","0","1","1000","20030","0"
"1","0","114301","0","智","0","0","2","1000","20030","0"
