0c9d7e7383940e222b0935cc71869774420106fc9024b03d25e57630b2b7e1c3,372a1a9ec9af16ba73ac70b362314dea446e2007a62251d60a5238e2104e1232,fa0adfbdb1199dce492db561e3ca15c08b26a3fb1df250784801fb117aac992a,11f6adbf59e4bffdd8c955eb5b37fba359ae67365173a78d478505b924972e2a,8b57b4b2e4f253204f8cefaaa934ef1ddf48ceef7f9b27395fdda9702bae7e8e,11566f30c7488d0d58f61883609b3022fae31a9f03ccdf6b258bd648d812ae1c,9af501cb46ffa1e9332b594682879cde2371ad21f64353e630951fb8d5ded258,2717e2dd19d1c4fa94664cadd24b159ab41d9e3c448194411967300d08cff0ae,91a078968d0bea0463b1054707e72084cca99b4dda4be2c5f1238a4de68f5d89,89875175399f66b04227092cfcb1e9f4e082772a887567a18fc73b72e6a8d769,93f00831e6d14015dc54c5a6ef26ff7844a6c9a2bb5f98cbe73c33fddd8bfdb5,02e5ec570bc6427172cdc218228071a0fd00b36b2c987299010489b8a4ec6d18,0555fd90a77070066f1ae211e6fb0ab83d1112f6d16ac2c4c6ed80499f4a55fe,d246684b80f77e94486d4cc652d61fe8af79a04224569d57f6d412b1fa888086,974300c0f41f7a317c745a3addef2d15eb2da5e56eda6fa754d47475b2c14f97,bf5c7cbdb8486b013fd0f3530920d4b1b69eec49d65e2c5b529ec7d89907be99,39b24e929002c976b6e958715fb25191968c0c1fc73c8aeabdb2a962e21e21de,e0b61b7810695277820a89f111fe95223664f75e77a3accb88ce18a179cb4013,a9c37cedce0e53798d6ab962038afce116e749b128fc252d50a11b9fddfb77f7,f38476817a285da62da3b772755a9b11a99017f45454c856f29769c37117cf0c,9e30a6bf5e8fd6aba6090faf0db1ae34c6b425659981ed19666233cb6d9427cd,a9885760d9bffb951ac9c925151f211f83511852da55b81952abf26e88263bb1
"0","122282","0","0","0","1","0","0","0","0","102281","2000","0","1","102282","0","0","0","0","0","0","0"
"0","122311","0","0","0","1","0","0","0","0","101281","1500","0","1","102311","0","0","0","0","0","0","0"
"0","122312","0","0","0","1","0","0","0","0","102311","2000","0","1","102312","0","0","0","0","0","0","0"
"0","122341","0","0","0","1","0","0","0","0","101581","1500","0","1","102341","0","0","0","0","0","0","0"
"0","122342","0","0","0","1","0","0","0","0","102341","2000","0","1","102342","0","0","0","0","0","0","0"
"0","122371","0","0","0","1","0","0","0","0","101371","1500","0","1","102371","0","0","0","0","0","0","0"
"0","122372","0","0","0","1","0","0","0","0","102371","2000","0","1","102372","0","0","0","0","0","0","0"
"0","122401","0","0","0","1","0","0","0","0","101401","2000","0","1","102401","0","0","0","0","0","0","0"
"0","122431","0","0","0","1","0","0","0","0","101431","1500","0","1","102431","0","0","0","0","0","0","0"
"0","122432","0","0","0","1","0","0","0","0","102431","2000","0","1","102432","0","0","0","0","0","0","0"
"0","122491","0","0","0","1","0","0","0","0","101521","1500","0","1","102491","0","0","0","0","0","0","0"
"0","122493","0","0","0","1","0","0","0","0","102311","1500","0","1","102493","0","0","0","0","0","0","0"
"0","122521","0","0","0","1","0","0","0","0","102251","2000","0","1","102521","0","0","0","0","0","0","0"
"0","122613","0","0","0","1","0","0","0","0","101611","2000","0","1","102613","0","0","0","0","0","0","0"
"0","122614","0","0","0","1","0","0","0","0","102612","2000","0","1","102614","0","0","0","0","0","0","0"
"0","113011","0","0","0","0","0","0","0","0","0","5000","0","2","103011","0","0","0","0","0","0","0"
"0","113012","0","0","0","0","0","0","0","0","0","7000","0","2","103012","0","0","0","0","0","0","0"
"0","113013","0","0","0","0","0","0","0","0","0","10000","0","2","103013","0","0","0","0","0","0","0"
"0","123041","0","0","0","1","0","0","0","0","103071","7000","0","3","103041","0","0","0","0","0","0","0"
"0","123042","0","0","0","1","0","0","0","0","103012","10000","0","3","103042","0","0","0","0","0","0","0"
"0","113071","0","0","0","0","0","0","0","0","0","5000","0","2","103071","0","0","0","0","0","0","0"
"0","123072","0","0","0","1","0","0","0","0","103552","10000","0","3","103072","0","0","0","0","0","0","0"
"0","113101","0","0","0","0","0","0","0","0","0","7000","0","2","103101","0","0","0","0","0","0","0"
"0","113131","0","0","0","0","0","0","0","0","0","7000","0","2","103131","0","0","0","0","0","0","0"
"0","123132","0","0","0","1","0","0","0","0","103131","10000","0","3","103132","0","0","0","0","0","0","0"
"0","123161","0","0","0","1","0","0","0","0","102162","5000","0","3","103161","0","0","0","0","0","0","0"
"0","113162","0","0","0","0","0","0","0","0","0","7000","0","2","103162","0","0","0","0","0","0","0"
"0","113191","0","0","0","0","0","0","0","0","0","5000","0","2","103191","0","0","0","0","0","0","0"
"0","123192","0","0","0","1","0","0","0","0","103191","7000","102013","3","103192","0","1","0","0","0","0","0"
"0","123193","0","0","0","1","0","0","0","0","103192","10000","0","3","103193","0","0","0","0","0","0","0"
"0","113221","0","0","0","0","0","0","0","0","0","5000","0","2","103221","0","0","0","0","0","0","0"
"0","113222","0","0","0","0","0","0","0","0","0","10000","0","2","103222","0","0","0","0","0","0","0"
"0","123251","0","0","0","1","0","0","0","0","102251","5000","0","3","103251","0","0","0","0","0","0","0"
"0","113252","0","0","0","0","0","0","0","0","0","7000","0","2","103252","0","0","0","0","0","0","0"
