c4bde1c7caa890abdb33f5b314d52b39842ee4a8498c30f8442b1c5b5de9ea87,7a658fd08fae21cc49aa7f95251bb9199567270218e47a954bb84ff07e1e632f,42483b768687c54c66aa6fbd024166c1b9869d4c052b4e56546ca0abfaba1a3d,b53567e55d546d7e4e5eae631fc814ff885171f83a1c5009fff77e3fd4429056,912848ca5c99788cfc7884c9d836ce5dc69d08ef63f6177fec96c3f8326f7013,939a40f62e74ae70bf5112b836056a7de73ca677f7f0cdbc19dedd29c83547c5,02706b6cec14d7fd045fe34fa5c7953333d9098569f18930c3a1873b6d8034ab,72099f8db0323ad4a08ef72b9adc6f29b00c662b5dce20052a599a39c217e99f,144887c10d2d8292010d7a8c5308a47a90c0974763731620d25080fa43262bb5,0e56888ccd16cd0b5ed2b27c5a3e43bf34fe219272882a18c62f1aeb5c84f0f4,c72bfe34a54055619983e028ec4c8ce7a8a9360904fccad2d1a6844c6401809c,bd9b6fd6c3d1703c4aa51b86414c2f8e595c22206a6203e821c4ff92b69a15b0
"戰鬥開始時，我方的TP提升250。","TP提升250","1","2","3","0","-1","3001","3001","0","3001","0"
"戰鬥開始時，我方的TP提升250。","TP提升250","1","2","3","0","-1","3002","3002","0","3002","0"
"戰鬥開始時，我方的TP提升250。","TP提升250","1","2","3","0","-1","3003","3003","0","3003","0"
"戰鬥開始時，我方的TP提升250。","TP提升250","1","2","3","0","-1","3004","3004","0","3004","0"
"戰鬥開始時，我方的TP提升1000。","TP提升1000","3","2","3","0","-1","3006","3006","0","3006","0"
"戰鬥開始時，我方的TP提升1000。","TP提升1000","3","2","3","0","-1","3007","3007","0","3007","0"
"戰鬥開始90秒內，使我方的物理攻擊力提升。","提升物理攻擊90秒","1","3","3","0","25200","30011","30011","3500000000000","3001","9006503"
"戰鬥開始90秒內，使敵人的物理防禦力下降","降低物理防禦90秒","1","3","3","0","72000","30012","30012","2400000000000","3001","9006504"
"戰鬥開始90秒內，每秒恢復我方的HP","每秒HP恢復90秒","1","3","3","0","39600","30021","30021","2400000000000","3002","9006506"
"戰鬥開始90秒內，每秒提升我方的TP","每秒TP提升90秒","1","3","3","0","72000","30022","30022","1200000000000","3002","9006507"
