a454512a31d3f834b03e2a378f4c2ffb40e0550b892b8966ef8f7dff6b454dd9,a347bbc7ae281f6d707844f4fdb3d1e4e4a0ac7f517f93eab465940b79a690e8,3af6691e2319c8497e78f8b24cbe3fb879fe971534d1a5464b8ab15f94adf2d6,d521392b1f7614c1d1f33bfba5da84c499f77a50c7fbbfb5f2218fb6230ca794,d5d1156fcdcee0fe47a624c1e7bff87983220f97d9e5f825ae6f3359f6cbbaea,8138c30864d5efb5a8a10fdc42ff39c4763e94eb1e52d8ebd60b3020010b0552,0410b5626b21bb3197584a0751f879080cb1db8c2ae9c1b80e8a459134cdebec,f551066ee9ac8d6eff02366217b9ff9cc63728eddca41c17224a326fff884dc8,b0fa6da292ef380f4061d8b8e413f4c7d3b824ca00ba16cbeebeb3fe623946ac,542488ecb20d998eb35cea578f99f1314f11fd032c0a4ffe5eaa356ea48257cc,7921478a45f57dd520fdbab8ef2e23106b944383e160c9d5c3cdd1590e0bf6a0,14486ff887ede5ad9e91ae2c5e6a9a3270efa28862dddd85a56894fe03750a62,05ed51b48546476f85e7a49c8ef69e5b670d5c1aef7ed6649b73dd634b99417c,9a9623639c3013f31843f51d31127c0f59f3fefc26c57d28122ef88a6ae0ba4a,ed736be0825a665fc39cdd810645bd56cafde683afd7e50bc6b9b20ba074b9b0
"90","bgm_M57","0","100113","1","1","0","100113","90110001","110001","0","701000101","bgm_M57","EASY","1"
"90","bgm_M57","0","100113","1","2","0","100113","90110002","110001","0","701000102","bgm_M57","NORMAL","1"
"90","bgm_M57","0","100113","1","3","0","100113","90110003","110001","0","701000103","bgm_M57","HARD","1"
"90","bgm_M57","0","100113","1","4","0","100113","90110004","110001","0","701000104","bgm_M57","VERY HARD","1"
"90","bgm_M57","0","100113","1","5","0","100113","90110005","110001","0","701000105","bgm_M57","EXTREME","1"
"90","bgm_M169","0","103013","1","1","0","103013","90120001","120001","0","701000201","bgm_M169","EASY","2"
"90","bgm_M169","0","103013","1","2","0","103013","90120002","120001","0","701000202","bgm_M169","NORMAL","2"
"90","bgm_M169","0","103013","1","3","0","103013","90120003","120001","0","701000203","bgm_M169","HARD","2"
"90","bgm_M169","0","103013","1","4","0","103013","90120004","120001","0","701000204","bgm_M169","VERY HARD","2"
"90","bgm_M169","0","103013","1","5","0","103013","90120005","120001","0","701000205","bgm_M169","EXTREME","2"
"90","bgm_M64","0","100113","1","1","0","100113","90130001","130001","0","701000301","bgm_M64","EASY","3"
"90","bgm_M64","0","100113","1","2","0","100113","90130002","130001","0","701000302","bgm_M64","NORMAL","3"
"90","bgm_M64","0","100113","1","3","0","100113","90130003","130001","0","701000303","bgm_M64","HARD","3"
"90","bgm_M64","0","100113","1","4","0","100113","90130004","130001","0","701000304","bgm_M64","VERY HARD","3"
"90","bgm_M64","0","100113","1","5","0","100113","90130005","130001","0","701000305","bgm_M64","EXTREME","3"
"90","bgm_M07","0","100113","1","1","0","100113","90140001","140001","0","701000401","bgm_M07","EASY","4"
"90","bgm_M07","0","100113","1","2","0","100113","90140002","140001","0","701000402","bgm_M07","NORMAL","4"
"90","bgm_M07","0","100113","1","3","0","100113","90140003","140001","0","701000403","bgm_M07","HARD","4"
"90","bgm_M07","0","100113","1","4","0","100113","90140004","140001","0","701000404","bgm_M07","VERY HARD","4"
"90","bgm_M07","0","100113","1","5","0","100113","90140005","140001","0","701000405","bgm_M07","EXTREME","4"
"90","bgm_M170","0","103013","1","1","0","103013","90150001","150001","0","701000501","bgm_M170","EASY","5"
"90","bgm_M170","0","103013","1","2","0","103013","90150002","150001","0","701000502","bgm_M170","NORMAL","5"
"90","bgm_M170","0","103013","1","3","0","103013","90150003","150001","0","701000503","bgm_M170","HARD","5"
"90","bgm_M170","0","103013","1","4","0","103013","90150004","150001","0","701000504","bgm_M170","VERY HARD","5"
"90","bgm_M170","0","103013","1","5","0","103013","90150005","150001","0","701000505","bgm_M170","EXTREME","5"
