db61d9f7a05183c7f23a9f9559dae9d04d94d861601729778ab4c96b865f019d,7b4ff2c95b070feb1659494b284963889a9d8835b38a8a15f678298a3690f80c,828bbb665eb89c53adaf3c2e6a799a06f3d99cff7464f4ce56cf5cd37ae7424e,e89ae0b19008739c7e624f079487b36e0d62ba99b7d6c3a0e5ec51c18353f00c,043832cc6183194bf040f964f199d566efe6d2a5be04695d9f6ba618330e9164,877a15acd0d6f644d4d6c509f9f72f65269a4c43a8e434bcfef53798fdd3de8a,5c2ae78e546daae3ce93c675e0408e2c348b806d49f43f15b44b62dcb3bc267c,cc465f9a5ab8b3bee99b475b340ac6d5b6ef661c27a6cbd41fed94b70cec1e1b,b6db198c84f70b67992bbacfb72ccc31600fdc487b36e603ff2b53d19def25ec,2a2a183089f64078b32582ce9420838c30c9521dfa6337d3df2e4c0993d17ba2,8980db79eb3b06faca4e0389c9d59525ea3ad28aa2e95998007835b669ce5d3a,5bb7c871715d6527063db07e321b414dc787fb67b400aad3d2c1e292a7f75798,11dceda5ada7a6f2b9907673e50e7be418fafd7e07a70eb54aa2513b33d5dba8
"2","1001","1","2018/08/22 16:00:00","bgm_M90","2018/08/15 23:00:00","1","2018/08/20 22:59:00","2018/08/19 22:59:00","0","1","8","2018/09/21 15:59:59"
"2","1002","2","2018/09/21 16:00:00","bgm_M97","2018/09/14 23:00:00","1","2018/09/19 22:59:00","2018/09/18 22:59:00","1001","1","9","2018/10/22 15:59:59"
"2","1003","1","2018/10/22 16:00:00","bgm_M104","2018/10/15 23:00:00","1","2018/10/20 22:59:00","2018/10/19 22:59:00","1002","1","10","2018/11/20 04:59:59"
"2","1004","2","2018/11/20 05:00:00","bgm_M115","2018/11/13 12:00:00","1","2018/11/18 11:59:00","2018/11/17 11:59:00","1003","1","11","2018/12/21 15:59:59"
"2","1005","1","2018/12/21 16:00:00","bgm_M119","2018/12/14 23:00:00","1","2018/12/19 22:59:00","2018/12/18 22:59:00","1004","1","12","2019/01/22 15:59:59"
"2","1006","2","2019/01/22 16:00:00","bgm_M132","2019/01/15 23:00:00","1","2019/01/20 22:59:00","2019/01/19 22:59:00","1005","1","1","2019/02/19 04:59:59"
"2","1007","1","2019/02/19 05:00:00","bgm_M139","2019/02/12 12:00:00","1","2019/02/17 11:59:00","2019/02/16 11:59:00","1006","1","2","2019/03/22 04:59:59"
"2","1008","2","2019/03/22 05:00:00","bgm_M166","2019/03/15 12:00:00","1","2019/03/20 11:59:00","2019/03/19 11:59:00","1007","1","3","2019/04/22 04:59:59"
"2","1009","1","2019/04/22 05:00:00","bgm_M175","2019/04/15 12:00:00","1","2019/04/20 11:59:00","2019/04/19 11:59:00","1008","1","4","2019/05/23 04:59:59"
"2","1010","2","2019/05/23 05:00:00","bgm_M181","2019/05/16 12:00:00","1","2019/05/21 11:59:00","2019/05/20 11:59:00","1009","1","5","2019/06/22 04:59:59"
"2","1011","1","2019/06/22 05:00:00","bgm_M186","2019/06/15 12:00:00","1","2019/06/20 11:59:00","2019/06/19 11:59:00","1010","1","6","2019/07/24 04:59:59"
"2","1012","2","2019/07/24 05:00:00","bgm_M205","2019/07/17 12:00:00","1","2019/07/22 11:59:00","2019/07/21 11:59:00","1011","1","7","2019/08/23 04:59:59"
"2","1013","1","2019/08/23 05:00:00","bgm_M90","2019/08/16 12:00:00","1","2019/08/21 11:59:00","2019/08/20 11:59:00","1012","1","8","2019/09/23 04:59:59"
"2","1014","2","2019/09/23 05:00:00","bgm_M97","2019/09/16 12:00:00","1","2019/09/21 11:59:00","2019/09/20 11:59:00","1013","1","9","2019/10/24 04:59:59"
"2","1015","1","2019/10/24 05:00:00","bgm_M104","2019/10/17 12:00:00","1","2019/10/22 11:59:00","2019/10/21 11:59:00","1014","1","10","2019/11/23 04:59:59"
"2","1016","2","2019/11/23 05:00:00","bgm_M115","2019/11/16 12:00:00","1","2019/11/21 11:59:00","2019/11/20 11:59:00","1015","1","11","2019/12/23 04:59:59"
"2","1017","1","2019/12/23 05:00:00","bgm_M119","2019/12/16 12:00:00","1","2019/12/21 11:59:00","2019/12/20 11:59:00","1016","1","12","2020/01/23 04:59:59"
"2","1018","2","2020/01/23 05:00:00","bgm_M132","2020/01/16 12:00:00","1","2020/01/21 11:59:00","2020/01/20 11:59:00","1017","1","1","2020/02/24 04:59:59"
"2","1019","1","2020/02/24 05:00:00","bgm_M139","2020/02/17 12:00:00","1","2020/02/22 11:59:00","2020/02/21 11:59:00","1018","1","2","2020/03/25 04:59:59"
"2","1020","2","2020/03/25 05:00:00","bgm_M166","2020/03/18 12:00:00","1","2020/03/23 11:59:00","2020/03/22 11:59:00","1019","1","3","2020/04/24 04:59:59"
"2","1021","1","2020/04/24 05:00:00","bgm_M175","2020/04/17 12:00:00","1","2020/04/22 11:59:00","2020/04/21 11:59:00","1020","1","4","2020/05/25 04:59:59"
"2","1022","2","2020/05/25 05:00:00","bgm_M181","2020/05/18 12:00:00","1","2020/05/23 11:59:00","2020/05/22 11:59:00","1021","1","5","2020/06/24 04:59:59"
