14579ec43cf8819a00f2b5c711a8f1f0b474ee17e2003030c72ca522010a0494,06a78c49c3c71274418277d71fee7d3032ea5490ed6a320b7bccdf4f37eabb52,b8f6c0ca2f89be52d0db423813ea037496e031a9cbde3c3132c3120b42154220,ce9b1281c6332a68fa6210195216201a04159d75afa46e66f31463dd846a4638,1b38b14da2a6ff8c49cf393f165da575ea5bcefec2a5004fae794ccea3f20737,b4697abdfef7c18617b2963bf40bcf2bca132706ddf3ad7bf565890bacd16d4c,556add5690d2c9c9897cd94103b4d41461b359addd2d9cf55f6c17f290f0bbed,51484e117796b2754f0099de49d79a6eb42b2730e2efa5c14859b03a8b4c93f3,72ffd5509b6e4ab6d29191e2b4fcd952b7046c322953ef126847d288c1d45826,961b3f887d6329b719c0ade4e364e7b79c9e03649ef9ce13b7531e0f9884d248,39a6ce3eee6582b3ea979278e713838f8ec6668595b06eab65f993ee17bc3254,01ed8b2f91deae5a2c7060d1376cfe518ae10af6b25c9e3670b3c9d5be1c8d62,58d5ed050cabc0a1b536d3ccb01a466a57896cb7b8e8b44bc9f6ee9de08c941c,50f83749caed55860bfa9bf423773d10d4f6d54ba782c54a8c2e22865d4f975f,a3a811fe16d498298ec493fd6714ef8f177c1eb64fdd71f28e17e7dd967ff6dc
"1","2024/01/23 15:59:59","1","100","96001","-1","2023/11/01 16:00:00","bgm_MC043","10010001","2024/01/16 15:59:59","-1","8","16","bgm_MC043","-1"
"2","2024/04/23 15:59:59","1","100","96002","-1","2024/01/16 16:00:00","bgm_MC043","10020001","2024/04/16 15:59:59","-1","8","16","bgm_MC043","-1"
"3","2024/07/23 15:59:59","2","100","96003","-1","2024/04/16 16:00:00","bgm_MC103","10030001","2024/07/16 15:59:59","-1","8","16","bgm_MC103","-1"
"4","2024/10/23 15:59:59","2","100","96004","-1","2024/07/16 16:00:00","bgm_MC103","10040363","2024/10/16 15:59:59","-1","8","16","bgm_MC103","-1"
"5","2025/01/23 15:59:59","2","500","96005","-1","2024/10/16 16:00:00","bgm_MC103","10050001","2025/01/16 15:59:59","-1","10","16","bgm_MC103","-1"
"6","2025/04/24 15:59:59","2","500","96006","-1","2025/01/16 16:00:00","bgm_MC103","10060001","2025/04/17 15:59:59","-1","10","16","bgm_MC103","-1"
"7","2025/07/23 15:59:59","3","1000","96007","5","2025/04/17 16:00:00","bgm_MC211","10070363","2025/07/16 15:59:59","15","10","16","bgm_MC211","15"
"8","2025/10/17 15:59:59","3","1000","96008","5","2025/07/16 16:00:00","bgm_MC211","10080001","2025/10/10 15:59:59","15","10","16","bgm_MC211","15"
"9","2026/01/17 15:59:59","3","1000","96009","5","2025/10/10 16:00:00","bgm_MC211","10090001","2026/01/10 15:59:59","15","10","16","bgm_MC211","15"
"10","2026/04/17 15:59:59","1","1000","96010","5","2026/01/10 16:00:00","bgm_MC043","10100363","2026/04/10 15:59:59","15","10","16","bgm_MC043","15"
"11","2026/07/17 15:59:59","1","1000","96011","5","2026/04/10 16:00:00","bgm_MC043","10110001","2026/07/10 15:59:59","15","10","16","bgm_MC043","15"
"12","2026/10/17 15:59:59","2","1000","96012","5","2026/07/10 16:00:00","bgm_MC103","10120001","2026/10/09 15:59:59","15","10","16","bgm_MC103","15"
