2dff53f7da7f76522db21cb5ebd1598a8f7d15feeba7e8f3430705bb27b9e5f7,f979c909ed2bfcc7b7bdba22ecb9b96b96f3837cf14c33329b137eaa0fee173a,d4c00b0e82b64faee392740588505ef42e519216cac4847200c91c07c64ddba9,3a70fda0602b9680e870f83200587e2363cd57ea3551d00c9010a282d0887267,6084d4dd50c89ff11ab09c6c7c8d929a0ee1936d7faa029c3f365ed4d5cca2d3,df86be0a590e42717acc09a0c864e4f8772a19e34d9fe45c6daa61e5527bd1e3,38952dc73e3c2f2d6ff50abfe6fd8c9a670a398721fc125f9b5162fdd220c4af,b383b38fb70238fc9553badc9589f47f909c0e076343387914917c1277029a0b,2f27d214a3e9d0dcef4010c230df21c005cec0b657d825e54cc8fc2a95bafa34,ebcc3ac163f8b8e5281d6cd4e17f96391384482f8f7ab689f14a25a7ca7e1162,3a79b2562ada2bf5526a1b877c312003e3489760f6a23e80099803bc3fb9e794
"2023/08/01 04:59:59","530100","0","0","0","2","新手衝刺登入活動","0","10","2016/09/01 15:00:00","20000"
"2099/01/01 23:59:00","530100","0","0","0","2","新手衝刺登入活動","0","10","2023/08/01 05:00:00","20001"
"2099/01/01 23:59:00","0","0","0","0","3","登入獎勵","0","15","2016/04/01 15:00:00","30000"
"2019/02/14 04:59:59","500160","1","0","0","4","半周年紀念登入活動","0","10","2019/01/30 05:00:00","40001"
"2021/08/26 04:59:59","40009","2","0","0","4","偶像大師復刻合作紀念","0","10","2021/08/09 05:00:00","40009"
"2023/06/21 04:59:59","531200","3","0","0","4","主線劇情第3部開幕紀念登入活動","0","6","2023/06/15 05:00:00","40011"
"2024/08/26 04:59:59","40013","3","0","0","4","七夕情人節快樂！","0","1","2024/08/10 05:00:00","40013"
"2099/01/01 23:59:00","40015","3","0","0","4","老玩家回歸登入獎勵","0","5","2024/12/10 05:00:00","40015"
"2019/04/19 04:59:59","500160","0","0","0","4","巴哈姆特金賞紀念登入獎勵","0","10","2019/04/04 05:00:00","49001"
"2019/07/15 04:59:00","500160","0","0","0","4","暑期繽紛登入獎","0","10","2019/07/01 05:00:00","49002"
"2019/08/01 04:59:00","500160","0","0","0","4","1周年倒數登入獎勵","0","10","2019/07/17 05:00:00","49003"
"2019/12/31 04:59:00","500160","0","0","0","4","真步真步王國開服一周年紀念","0","8","2019/12/16 05:00:00","49004"
"2020/01/21 15:59:00","500160","0","0","0","4","迎接1.5周年紀念","0","10","2020/01/10 05:00:00","49005"
"2020/04/06 04:59:59","500160","0","0","0","4","春節小禮物","0","5","2020/04/01 05:00:00","49006"
"2020/04/16 04:59:59","40006","0","0","0","4","動畫播放紀念禮物","0","10","2020/04/06 05:00:00","49007"
