78a3753c934b1d8631a3d24b2bdb4de134126b07f671cd6680ebf6b4694cb8dc,fa2331107a28553552915afba308c9f767978362a4698d70b059b314a1f1675a,0116b5a21541bb142fc7bac8a92e2739cbc7c4272724118f8135ca2f40ad94a8,874a27daa0f5cb726ee4e68ef008b02f605804037a1c1ad4cc079648956afa13,d79ac7c759e79986f297ee876dc29c1cc1a8a8e0d33fccc174ee9f3722f078e6,76f288cc76babd91d705200626c4b3032efeac800e4ab4bdd9d0ed30d1ae4628,73c8d978309b442651ef7a4022a74e2af0134cb61beaaea75cd1ae8430326bff,e84b86d45cc1a80df4a495334ef4b75bc0b22551eca945fce5b49feb68353498,7b31af671cd465aa9f25b76da1492c17b4c2c16d79eea37c3138d981bf4077e6,e26c2ebff8e2634ae66f204b2b5ae81b41d8b1c4aad515dd4032592ea7f55b7a,44c366c2feb8e84fe1d2e79823427036777178580d2cfa4edb9a9d2b8d53bb56
"530100","10","0","0","0","2016/09/01 15:00:00","2","0","新手衝刺登入活動","2023/08/01 04:59:59","20000"
"530100","10","0","0","0","2023/08/01 05:00:00","2","0","新手衝刺登入活動","2099/01/01 23:59:00","20001"
"0","15","0","0","0","2016/04/01 15:00:00","3","0","登入獎勵","2099/01/01 23:59:00","30000"
"500160","10","0","0","0","2019/01/30 05:00:00","4","1","半周年紀念登入活動","2019/02/14 04:59:59","40001"
"40009","10","0","0","0","2021/08/09 05:00:00","4","2","偶像大師復刻合作紀念","2021/08/26 04:59:59","40009"
"531200","6","0","0","0","2023/06/15 05:00:00","4","3","主線劇情第3部開幕紀念登入活動","2023/06/21 04:59:59","40011"
"40013","1","0","0","0","2024/08/10 05:00:00","4","3","七夕情人節快樂！","2024/08/26 04:59:59","40013"
"40015","5","0","0","0","2024/12/10 05:00:00","4","3","老玩家回歸登入獎勵","2099/01/01 23:59:00","40015"
"500160","10","0","0","0","2019/04/04 05:00:00","4","0","巴哈姆特金賞紀念登入獎勵","2019/04/19 04:59:59","49001"
"500160","10","0","0","0","2019/07/01 05:00:00","4","0","暑期繽紛登入獎","2019/07/15 04:59:00","49002"
"500160","10","0","0","0","2019/07/17 05:00:00","4","0","1周年倒數登入獎勵","2019/08/01 04:59:00","49003"
