39924527a18b514a31bdda84f3d820f02a375dbc9a8f3bf72963604a9f2bab6e,404f6981a6be6fe9c2cc3f625417bf433186db52f0e11d147a1cc70377cab010,04d517cbe6342bbcda680188ad4a479cccf2784f6c946ed439ffb26cbb787cd7,da676b69d579fa1f27febfa518c7c0713d1547cfc4cb6c3c59894b2a655f2905,b754ef9912f9f7f821f4187d5a3009cf83076fbaa32490bf1f13c7a84a540553
"12","150000","31000101","94002","310001011"
"2","10","31000101","22003","310001012"
"12","500000","31000102","94002","310001021"
"2","10","31000102","22003","310001022"
"12","500000","31000103","94002","310001031"
"4","5","31000103","140001","310001032"
"2","5","31000103","25001","310001033"
"12","500000","31000104","94002","310001041"
"2","10","31000104","22003","310001042"
"12","500000","31000105","94002","310001051"
"4","5","31000105","140001","310001052"
"2","5","31000105","25001","310001053"
"12","500000","31000106","94002","310001061"
"2","10","31000106","22003","310001062"
"12","500000","31000107","94002","310001071"
"4","5","31000107","140001","310001072"
"2","5","31000107","25001","310001073"
"12","500000","31000108","94002","310001081"
"2","10","31000108","22003","310001082"
"12","500000","31000109","94002","310001091"
"4","5","31000109","140001","310001092"
"2","5","31000109","25001","310001093"
"12","150000","31001101","94002","310011011"
"2","5","31001101","22003","310011012"
"12","150000","31001102","94002","310011021"
"2","5","31001102","22003","310011022"
"12","150000","31001103","94002","310011031"
"2","5","31001103","22003","310011032"
"12","150000","31001111","94002","310011111"
"2","5","31001111","22003","310011112"
"12","200000","31001112","94002","310011121"
"2","5","31001112","22003","310011122"
"12","150000","31001201","94002","310012011"
"2","5","31001201","22003","310012012"
"12","150000","31001202","94002","310012021"
"2","5","31001202","22003","310012022"
"12","150000","31001203","94002","310012031"
"2","5","31001203","22003","310012032"
"12","150000","31001211","94002","310012111"
"2","5","31001211","22003","310012112"
"12","200000","31001212","94002","310012121"
"2","5","31001212","22003","310012122"
"12","150000","31001301","94002","310013011"
"2","5","31001301","22003","310013012"
"12","150000","31001302","94002","310013021"
"2","5","31001302","22003","310013022"
"12","150000","31001303","94002","310013031"
"2","5","31001303","22003","310013032"
"12","150000","31001311","94002","310013111"
"2","5","31001311","22003","310013112"
"12","200000","31001312","94002","310013121"
"2","5","31001312","22003","310013122"
"12","150000","31001401","94002","310014011"
"2","5","31001401","22003","310014012"
"12","150000","31001402","94002","310014021"
"2","5","31001402","22003","310014022"
"12","150000","31001403","94002","310014031"
"2","5","31001403","22003","310014032"
"12","150000","31001411","94002","310014111"
"2","5","31001411","22003","310014112"
"12","200000","31001412","94002","310014121"
"2","5","31001412","22003","310014122"
"12","150000","31002101","94002","310021011"
"2","5","31002101","22003","310021012"
"12","150000","31002102","94002","310021021"
"2","5","31002102","22003","310021022"
"12","150000","31002103","94002","310021031"
"2","5","31002103","22003","310021032"
"8","50","31002104","91002","310021041"
"12","150000","31002111","94002","310021111"
"2","5","31002111","22003","310021112"
"12","200000","31002112","94002","310021121"
"2","5","31002112","22003","310021122"
"8","100","31002113","91002","310021131"
"12","150000","31003101","94002","310031011"
"2","5","31003101","22003","310031012"
"12","150000","31003102","94002","310031021"
"2","5","31003102","22003","310031022"
"12","150000","31003103","94002","310031031"
"2","5","31003103","22003","310031032"
"8","50","31003104","91002","310031041"
"12","150000","31003111","94002","310031111"
"2","5","31003111","22003","310031112"
"12","200000","31003112","94002","310031121"
"2","5","31003112","22003","310031122"
"8","100","31003113","91002","310031131"
"12","150000","31003201","94002","310032011"
"2","5","31003201","22003","310032012"
"12","150000","31003202","94002","310032021"
"2","5","31003202","22003","310032022"
"12","150000","31003203","94002","310032031"
"2","5","31003203","22003","310032032"
"8","50","31003204","91002","310032041"
"12","150000","31003211","94002","310032111"
"2","5","31003211","22003","310032112"
"12","200000","31003212","94002","310032121"
"2","5","31003212","22003","310032122"
"8","100","31003213","91002","310032131"
