5a5c0092ddfd650e24a02aa4d31b745668db98758c0c56dedbfb7c7faec60e87,71e6165e0973bfea560df819499b4c5ee8e87ec3cfb3a5bb09ec5f1843a92046,a8b8cd464a2d284fdc0e3a25667540473983885c5ce31729a677569e5a8ce3a2,55a30125ff798e64bd6a3b8fc644e34c2a334dfac348837378bd09fc5653ddc7,cc09af14555f1122a4583306c5e9dddce2affeec7cba0bf69643b259e2ac713c,ccda38834a0997da5780eeb7d40d024d96b582f91a3ae9613ca3b1988b1d73bd,6e314d699ad0fb1fa8cbaea2c558beae3647a2463041b56f8d8a56b49ebacea3,c0e9daa77ede0f338064fd7f0d7864fc720b0b2f2aebbb72cca4a77fe3f633c3,1d5951ab7e11b5f63e199869b7daccea12db1a6eea073e842293704e0aa259b5,1ee84b86858caef1e29cb3447b07d21691cd9b583a6f8a19aa87e1628b7187c8,2a5911e4bc922a4cceb3c2e4452d0d7bbf21574a85d530c85869d74c0e6595ac,759eb1938795459f7398384d108c23e0ba3c324c453bed196a15b0ba597c926b,6720874e9434cf393da3a0b71e476480f2495231987c422b2ac3a419d283cdbd,b6032b8b9d6c2bd6afd6f33e6ffe4d2c6642e9f8e681dfb8900d5785dae029ce,e79a5af77e0fbbebcc5722dd66ee096419e03fc327134f8eec376c65b2868443,8810d496702cd27710c1065efb7ae8ad2fb7bd4ea8518dca07e37449a87409f3,56a1334d7ab0af96a836dc8f406fc0d7dc5862d2b8ac1c552f8b5196cc86bfa5,54debfd0bd76a228e34ec33022b7ccfbcffcd0af47c6d63172aff4e7ffc91e5b,d109e7b6733ede3ded7fd8386cd0c0d57e932b03373004d29b80e64af2925eb2,0f75367d03d60c608a1bad844596f58010425ccadd4c361ad2127cb447310099
"0","1","0","0","100","0","0","10000","0","1","0","讓信賴度達到100吧","10153","0","0","94002","0","12","0","0"
"0","1","0","0","200","0","0","25000","0","2","0","讓信賴度達到200吧","10153","0","0","94002","0","12","0","0"
"0","1","0","0","500","0","0","50","0","3","0","讓信賴度達到500吧","10153","0","0","91002","0","8","0","0"
"0","1","0","0","800","0","0","50000","0","4","0","讓信賴度達到800吧","10153","0","0","94002","0","12","0","0"
"0","1","0","0","1000","0","0","100","0","5","0","讓信賴度達到MAX吧","10153","0","0","91002","0","8","0","0"
"0","2","0","0","100","0","0","10000","0","6","0","讓信賴度達到100吧","10153","0","0","94002","0","12","0","0"
"0","2","0","0","200","0","0","25000","0","7","0","讓信賴度達到200吧","10153","0","0","94002","0","12","0","0"
"0","2","0","0","500","0","0","50","0","8","0","讓信賴度達到500吧","10153","0","0","91002","0","8","0","0"
"0","2","0","0","800","0","0","50000","0","9","0","讓信賴度達到800吧","10153","0","0","94002","0","12","0","0"
"0","2","0","0","1000","0","0","100","0","10","0","讓信賴度達到MAX吧","10153","0","0","91002","0","8","0","0"
"0","3","0","0","100","0","0","10000","0","11","0","讓信賴度達到100吧","10153","0","0","94002","0","12","0","0"
"0","3","0","0","200","0","0","25000","0","12","0","讓信賴度達到200吧","10153","0","0","94002","0","12","0","0"
"0","3","0","0","500","0","0","50","0","13","0","讓信賴度達到500吧","10153","0","0","91002","0","8","0","0"
"0","3","0","0","800","0","0","50000","0","14","0","讓信賴度達到800吧","10153","0","0","94002","0","12","0","0"
"0","3","0","0","1000","0","0","100","0","15","0","讓信賴度達到MAX吧","10153","0","0","91002","0","8","0","0"
