759eb1938795459f7398384d108c23e0ba3c324c453bed196a15b0ba597c926b,54debfd0bd76a228e34ec33022b7ccfbcffcd0af47c6d63172aff4e7ffc91e5b,56a1334d7ab0af96a836dc8f406fc0d7dc5862d2b8ac1c552f8b5196cc86bfa5,55a30125ff798e64bd6a3b8fc644e34c2a334dfac348837378bd09fc5653ddc7,d109e7b6733ede3ded7fd8386cd0c0d57e932b03373004d29b80e64af2925eb2,cc09af14555f1122a4583306c5e9dddce2affeec7cba0bf69643b259e2ac713c,b6032b8b9d6c2bd6afd6f33e6ffe4d2c6642e9f8e681dfb8900d5785dae029ce,e79a5af77e0fbbebcc5722dd66ee096419e03fc327134f8eec376c65b2868443,ccda38834a0997da5780eeb7d40d024d96b582f91a3ae9613ca3b1988b1d73bd,0f75367d03d60c608a1bad844596f58010425ccadd4c361ad2127cb447310099,5a5c0092ddfd650e24a02aa4d31b745668db98758c0c56dedbfb7c7faec60e87,8810d496702cd27710c1065efb7ae8ad2fb7bd4ea8518dca07e37449a87409f3,6e314d699ad0fb1fa8cbaea2c558beae3647a2463041b56f8d8a56b49ebacea3,2a5911e4bc922a4cceb3c2e4452d0d7bbf21574a85d530c85869d74c0e6595ac,1ee84b86858caef1e29cb3447b07d21691cd9b583a6f8a19aa87e1628b7187c8,c0e9daa77ede0f338064fd7f0d7864fc720b0b2f2aebbb72cca4a77fe3f633c3,a8b8cd464a2d284fdc0e3a25667540473983885c5ce31729a677569e5a8ce3a2,6720874e9434cf393da3a0b71e476480f2495231987c422b2ac3a419d283cdbd,1d5951ab7e11b5f63e199869b7daccea12db1a6eea073e842293704e0aa259b5,71e6165e0973bfea560df819499b4c5ee8e87ec3cfb3a5bb09ec5f1843a92046
"讓信賴度達到100吧","12","0","0","0","100","0","0","0","0","0","94002","0","0","1","10000","0","10153","0","1"
"讓信賴度達到200吧","12","0","0","0","200","0","0","0","0","0","94002","0","0","2","25000","0","10153","0","1"
"讓信賴度達到500吧","8","0","0","0","500","0","0","0","0","0","91002","0","0","3","50","0","10153","0","1"
"讓信賴度達到800吧","12","0","0","0","800","0","0","0","0","0","94002","0","0","4","50000","0","10153","0","1"
"讓信賴度達到MAX吧","8","0","0","0","1000","0","0","0","0","0","91002","0","0","5","100","0","10153","0","1"
"讓信賴度達到100吧","12","0","0","0","100","0","0","0","0","0","94002","0","0","6","10000","0","10153","0","2"
"讓信賴度達到200吧","12","0","0","0","200","0","0","0","0","0","94002","0","0","7","25000","0","10153","0","2"
"讓信賴度達到500吧","8","0","0","0","500","0","0","0","0","0","91002","0","0","8","50","0","10153","0","2"
"讓信賴度達到800吧","12","0","0","0","800","0","0","0","0","0","94002","0","0","9","50000","0","10153","0","2"
"讓信賴度達到MAX吧","8","0","0","0","1000","0","0","0","0","0","91002","0","0","10","100","0","10153","0","2"
"讓信賴度達到100吧","12","0","0","0","100","0","0","0","0","0","94002","0","0","11","10000","0","10153","0","3"
"讓信賴度達到200吧","12","0","0","0","200","0","0","0","0","0","94002","0","0","12","25000","0","10153","0","3"
"讓信賴度達到500吧","8","0","0","0","500","0","0","0","0","0","91002","0","0","13","50","0","10153","0","3"
"讓信賴度達到800吧","12","0","0","0","800","0","0","0","0","0","94002","0","0","14","50000","0","10153","0","3"
"讓信賴度達到MAX吧","8","0","0","0","1000","0","0","0","0","0","91002","0","0","15","100","0","10153","0","3"
"讓信賴度達到100吧","12","0","0","0","100","0","0","0","0","0","94002","0","0","1001901","15000","0","20015","0","1"
"讓信賴度達到200吧","12","0","0","0","200","0","0","0","0","0","94002","0","0","1001902","37500","0","20015","0","1"
"讓信賴度達到500吧","8","0","0","0","500","0","0","0","0","0","91002","0","0","1001903","75","0","20015","0","1"
"讓信賴度達到800吧","12","0","0","0","800","0","0","0","0","0","94002","0","0","1001904","75000","0","20015","0","1"
"讓信賴度達到MAX吧","8","0","0","0","1000","0","0","0","0","0","91002","0","0","1001905","150","0","20015","0","1"
"讓信賴度達到100吧","12","0","0","0","100","0","0","0","0","0","94002","0","0","1001906","15000","0","20015","0","2"
"讓信賴度達到200吧","12","0","0","0","200","0","0","0","0","0","94002","0","0","1001907","37500","0","20015","0","2"
"讓信賴度達到500吧","8","0","0","0","500","0","0","0","0","0","91002","0","0","1001908","75","0","20015","0","2"
"讓信賴度達到800吧","12","0","0","0","800","0","0","0","0","0","94002","0","0","1001909","75000","0","20015","0","2"
"讓信賴度達到MAX吧","8","0","0","0","1000","0","0","0","0","0","91002","0","0","1001910","150","0","20015","0","2"
"讓信賴度達到100吧","12","0","0","0","100","0","0","0","0","0","94002","0","0","1002301","10000","0","20017","0","1"
"讓信賴度達到200吧","12","0","0","0","200","0","0","0","0","0","94002","0","0","1002302","25000","0","20017","0","1"
"讓信賴度達到500吧","8","0","0","0","500","0","0","0","0","0","91002","0","0","1002303","50","0","20017","0","1"
"讓信賴度達到800吧","12","0","0","0","800","0","0","0","0","0","94002","0","0","1002304","50000","0","20017","0","1"
"讓信賴度達到MAX吧","8","0","0","0","1000","0","0","0","0","0","91002","0","0","1002305","100","0","20017","0","1"
"讓信賴度達到100吧","12","0","0","0","100","0","0","0","0","0","94002","0","0","1002306","10000","0","20017","0","2"
"讓信賴度達到200吧","12","0","0","0","200","0","0","0","0","0","94002","0","0","1002307","25000","0","20017","0","2"
"讓信賴度達到500吧","8","0","0","0","500","0","0","0","0","0","91002","0","0","1002308","50","0","20017","0","2"
"讓信賴度達到800吧","12","0","0","0","800","0","0","0","0","0","94002","0","0","1002309","50000","0","20017","0","2"
"讓信賴度達到MAX吧","8","0","0","0","1000","0","0","0","0","0","91002","0","0","1002310","100","0","20017","0","2"
"讓信賴度達到100吧","12","0","0","0","100","0","0","0","0","0","94002","0","0","1002311","10000","0","20017","0","3"
"讓信賴度達到200吧","12","0","0","0","200","0","0","0","0","0","94002","0","0","1002312","25000","0","20017","0","3"
"讓信賴度達到500吧","8","0","0","0","500","0","0","0","0","0","91002","0","0","1002313","50","0","20017","0","3"
"讓信賴度達到800吧","12","0","0","0","800","0","0","0","0","0","94002","0","0","1002314","50000","0","20017","0","3"
"讓信賴度達到MAX吧","8","0","0","0","1000","0","0","0","0","0","91002","0","0","1002315","100","0","20017","0","3"
"讓信賴度達到100吧","12","0","0","0","100","0","0","0","0","0","94002","0","0","1002501","10000","0","20018","0","1"
"讓信賴度達到200吧","12","0","0","0","200","0","0","0","0","0","94002","0","0","1002502","25000","0","20018","0","1"
"讓信賴度達到500吧","8","0","0","0","500","0","0","0","0","0","91002","0","0","1002503","50","0","20018","0","1"
"讓信賴度達到800吧","12","0","0","0","800","0","0","0","0","0","94002","0","0","1002504","50000","0","20018","0","1"
"讓信賴度達到MAX吧","8","0","0","0","1000","0","0","0","0","0","91002","0","0","1002505","100","0","20018","0","1"
"讓信賴度達到100吧","12","0","0","0","100","0","0","0","0","0","94002","0","0","1002506","10000","0","20018","0","2"
"讓信賴度達到200吧","12","0","0","0","200","0","0","0","0","0","94002","0","0","1002507","25000","0","20018","0","2"
"讓信賴度達到500吧","8","0","0","0","500","0","0","0","0","0","91002","0","0","1002508","50","0","20018","0","2"
"讓信賴度達到800吧","12","0","0","0","800","0","0","0","0","0","94002","0","0","1002509","50000","0","20018","0","2"
"讓信賴度達到MAX吧","8","0","0","0","1000","0","0","0","0","0","91002","0","0","1002510","100","0","20018","0","2"
"讓信賴度達到100吧","12","0","0","0","100","0","0","0","0","0","94002","0","0","1002511","10000","0","20018","0","3"
"讓信賴度達到200吧","12","0","0","0","200","0","0","0","0","0","94002","0","0","1002512","25000","0","20018","0","3"
"讓信賴度達到500吧","8","0","0","0","500","0","0","0","0","0","91002","0","0","1002513","50","0","20018","0","3"
"讓信賴度達到800吧","12","0","0","0","800","0","0","0","0","0","94002","0","0","1002514","50000","0","20018","0","3"
