337ef629867908e2d639307cd7b4214d155b992d42f3bc6ba16e4fd5165c6614,1352c22e59bfe977995a0cb2e3e7f0d42ceb4ef88c872faff49b164d0a7bf19b,a1597129cf1993d4fe56c53a932c60541b630045e2da533849c9835eff4e4a93,ac41a63ccbfc0920bf7a480ce71f1886a04c4d65d961a7f77e586dc043ab351d,b56a0e7938977789b1b730975607a633473f636d2cc9a01e2db00a63c90a33ba,ba306892f35adfff8cdbee24e97562eaea2085b8178d7cdeec0fbb2b202117c0,2fd65c9fc7da133d35485bda3d8b3ca5bf9c4b3b14c43e3b2048d12bba95d22c
"10070","20039101","圖畫日記之1","1007001","0","0","0"
"10070","20039101","圖畫日記之2","1007002","0","1007001","0"
"10070","20039103","圖畫日記之3","1007003","0","1007002","0"
"10070","20039106","圖畫日記之4","1007004","0","1007003","0"
"10070","20039107","圖畫日記之5","1007005","0","1007004","0"
"10070","20039110","圖畫日記之6","1007006","0","1007005","0"
"10070","20039112","圖畫日記之7","1007007","0","1007006","0"
"10070","0","圖畫日記之8","1007008","0","1007007","2003901"
"10070","0","惠理子的圖畫日記","1007009","0","1007007","2003901"
"10070","0","靜流的圖畫日記","1007010","0","1007007","2003901"
"10070","20039101","圖畫日記之1(批閱)","1007011","2021/11/15 16:00:00","0","0"
"10070","20039101","圖畫日記之2(批閱)","1007012","2021/11/15 16:00:00","0","0"
"10070","20039103","圖畫日記之3(批閱)","1007013","2021/11/15 16:00:00","0","0"
"10070","20039106","圖畫日記之4(批閱)","1007014","2021/11/15 16:00:00","0","0"
"10070","20039107","圖畫日記之5(批閱)","1007015","2021/11/15 16:00:00","0","0"
"10070","20039110","圖畫日記之6(批閱)","1007016","2021/11/15 16:00:00","0","0"
"10070","20039112","圖畫日記之7(批閱)","1007017","2021/11/15 16:00:00","0","0"
"10070","0","圖畫日記之8(批閱)","1007018","2021/11/15 16:00:00","0","2003901"
"10070","0","惠理子的圖畫日記(批閱)","1007019","2021/11/15 16:00:00","0","2003901"
"10070","0","靜流的圖畫日記(批閱)","1007020","2021/11/15 16:00:00","0","2003901"
