d3f9b6d373bc70eb397759b3a1f5d7967109004f6cc3f540c20825bd14e6b480,587c4d552b8db93f703de0cffa2dcd90afdf8ee36135a8d30f901e3e8fc612e9,fb28db788fe783af179834a1d7c983e5241af7751dea4e08eb93fa7ada50b252,eef08865c58dfe95c40e8b2b588fe24afad69ac8bf79f46f4db1cd49f2603735
"0","無法戰鬥的角色為0人以下時獲勝","100101","1001"
"1","無法戰鬥的角色為1人以下時獲勝","100102","1001"
"2","無法戰鬥的角色為2人以下時獲勝","100103","1001"
"74001","戰鬥剩餘時間為1:15以上時獲勝","100201","1002"
"69001","戰鬥剩餘時間為1:10以上時獲勝","100202","1002"
"59001","戰鬥剩餘時間為1:00以上時獲勝","100203","1002"
"49001","戰鬥剩餘時間為0:50以上時獲勝","100204","1002"
"44001","戰鬥剩餘時間為0:45以上時獲勝","100205","1002"
"39001","戰鬥剩餘時間為0:40以上時獲勝","100206","1002"
"29001","戰鬥剩餘時間為0:30以上時獲勝","100207","1002"
"1000","我方的Total HP為100%以上時獲勝","100301","1003"
"900","我方的Total HP為90%以上時獲勝","100302","1003"
"800","我方的Total HP為80%以上時獲勝","100303","1003"
"700","我方的Total HP為70%以上時獲勝","100304","1003"
"600","我方的Total HP為60%以上時獲勝","100305","1003"
"500","我方的Total HP為50%以上時獲勝","100306","1003"
"990","我方的Total HP為99%以上時獲勝","100307","1003"
