fb978cace449fd5f19fb6421eb73578444954f6d286199cb2a4337055e1e2914,2c686aa754dcf95304e6096ad0be4792302545206ca01242d1050cbf9b28837c,b37790ad64afacb25eb16c80a745385806745e119f0d3b7766051d1b8a58316f,97edbfdf237e604525bc33f9cc7515c457c189e8b8ea505b88c86fc44efbb681,9f7debd3b3c02981f42e9456e8c1e5924e87e9987dae1d3db7ea89d84bcce6a0,c7b40b0bc5cda72c6b326237a1ac9866e93128d9066e07d1cb73631af2747a15,db3a8ade2e624289b7b7f5dd2215cd242c621241d216c496807b9f562de7e2fc,c10efa16088211963fa7b023e80f83da1e9ab44ac4e2834060cfed19fa5b1291,40dad4f73a40e484958688aa091eeaa4ee979b71855f87857633657d3733f195,e50167bcf74dac32ce16a8b874fac21d57921eb34d0cd933ea5896dfe9cf134a
"22","","15","2","10001","3","53003","8","2","-1"
"22","","1","1","10002","3","53003","5","1","14"
"23","若菜的施捨","0","0","10003","3","52019","2","0","0"
"22","","15","2","10004","4","53003","8","2","-1"
"22","","1","1","10005","4","53003","5","1","14"
"23","若菜的施捨","0","0","10006","4","52019","2","0","0"
"22","","15","2","10007","5","53003","8","2","-1"
"22","","1","1","10008","5","53003","5","1","14"
"23","若菜的施捨","0","0","10009","5","52019","2","0","0"
"22","","15","2","10010","6","53003","8","2","-1"
"22","","1","1","10011","6","53003","5","1","14"
"23","若菜的施捨","0","0","10012","6","52019","2","0","0"
"22","","15","2","10013","7","53003","8","2","-1"
"22","","1","1","10014","7","53003","5","1","14"
"23","若菜的施捨","0","0","10015","7","52019","2","0","0"
