b66e4555812c1997ebc3fb232d7c229e5a22487ceae704bf46a2fcef753ef9e2,49b6b11cb09637b347250428c55c910fe3f25359280455db0eb364723248bdd9,f3f86ee71d9f9804076a1afbe9cb1878502f89aff3a01ce1f1e54d05b87273fe,a664274d6e4c857c25d22cb892bef282bb2b7923ad25dbf5550ab20024ca449e,1fadc1f3dca0244191e623713bae35ada803fdfda75c4773873bacfeca0bf946,182f900a35961edada2227b613e28e5bea05523f7ca47a57230792946ca78b65,045f9d0c18155ffa47889f5e5c69ddd09c278615f8f5d28e0fc50b0e6072cbb9,fbdd173ea29305b9be4df36013342de39a7dc0b44f296a3e18e1a91561257a5a,5af3fe61fc03a495b5721a377757d41f3a81e7c4e65b2189535365fcbdecf924,d8e37a1c1787f973f13971139036be7de401330c4483f788b62d8f37f40b91c5,f70e6707363fce81dc0be1f7800944c02561b28221201ddff8543ea86cc856d8,8e703c80bae6d731c2f43c3aae2bbc616832ffcd2cde2709c772cb48be7155be,c0588853f948208f5029864e560ef07d85350aed1a0d15ada0c92425deee7b5a,8c63a7d002516ce37ce39e578dfcbf55d3308e76d91ebbc439d7cf05f93e289c,4d9a2a8195683948ed332df039dc282251a30535f84662e0d6a4cf3c5c6c2c78,7bf1842365e32b139a9b0b4cd5390b0c3955763ebb19865bd70be9155acfca42,46b51e887304cb40e891dbb66c2d888fd22092cdc8b7be4cebf89219a2409213,0b46e417f7b1ead086a323d75a5541821182170ca9e1b59bf63eb8127f45a7c7,07eea68a217eb8d197a1d0976bd2ea6360817dbec48421ab2ccdf62cd4242e1c,15aba6cd1894e0fb3cf065895b9a92c0ab627a56883484032c2e039d9a74b637,d9fc4e09a05c9a12e5be93b58269aac96a044e5927c9fe9d19392c12d34d6143
"6114","2","2","102","20201001","20201","2026/02/22 16:00:00","0","0","72001","0","打倒１次佐賀牛頭怪（NORMAL）","10102","50","0","30","0","1","30001","0","1016"
"6114","2","2","103","20201002","20202","2026/02/22 16:00:00","0","0","72001","0","打倒１次佐賀牛頭怪（HARD）","10103","100","0","30","0","1","30001","0","1016"
"6114","2","2","104","20201003","20203","2026/02/22 16:00:00","0","0","72001","0","打倒１次佐賀牛頭怪（VERY HARD）","10104","150","0","30","0","1","30001","0","1016"
"6114","2","2","105","30001","20204","2026/02/22 16:00:00","3000","3000","24030","25012","打倒５次佐賀牛頭怪（全難易度皆可）","10105","1","25011","31","2","5","30001","2","1016"
"6114","2","2","106","30001","20205","2026/02/22 16:00:00","0","0","90005","0","打倒40次佐賀牛頭怪（全難易度皆可）","10106","50","0","31","0","40","30001","0","1016"
"6114","2","2","107","30001","20206","2026/02/22 16:00:00","0","3000","25013","0","對佐賀牛頭怪造成1,000,000,000累積傷害","10107","3000","25014","32","2","1000000000","30001","0","1016"
"6114","2","2","108","30001","20207","2026/02/22 16:00:00","0","0","25021","0","對佐賀牛頭怪造成2,000,000,000累積傷害","10108","3000","0","32","0","2000000000","30001","0","1016"
"6114","2","2","109","30001","20208","2026/02/22 16:00:00","0","0","25015","0","在１場戰鬥中對佐賀牛頭怪造成30,000,000傷害","10109","3000","0","33","0","30000000","30001","0","1016"
"6114","2","2","110","30001","20209","2026/02/22 16:00:00","0","0","25021","0","在１場戰鬥中對佐賀牛頭怪造成120,000,000傷害","10110","3000","0","33","0","120000000","30001","0","1016"
"6114","2","1","101","30001","20210","2026/02/22 16:00:00","0","0","72001","0","和佐賀牛頭怪進行１場戰鬥（全難易度皆可）","10101","50","0","29","0","1","30001","0","1015"
