c0588853f948208f5029864e560ef07d85350aed1a0d15ada0c92425deee7b5a,49b6b11cb09637b347250428c55c910fe3f25359280455db0eb364723248bdd9,4d9a2a8195683948ed332df039dc282251a30535f84662e0d6a4cf3c5c6c2c78,f70e6707363fce81dc0be1f7800944c02561b28221201ddff8543ea86cc856d8,f3f86ee71d9f9804076a1afbe9cb1878502f89aff3a01ce1f1e54d05b87273fe,d8e37a1c1787f973f13971139036be7de401330c4483f788b62d8f37f40b91c5,b66e4555812c1997ebc3fb232d7c229e5a22487ceae704bf46a2fcef753ef9e2,fbdd173ea29305b9be4df36013342de39a7dc0b44f296a3e18e1a91561257a5a,182f900a35961edada2227b613e28e5bea05523f7ca47a57230792946ca78b65,7bf1842365e32b139a9b0b4cd5390b0c3955763ebb19865bd70be9155acfca42,d9fc4e09a05c9a12e5be93b58269aac96a044e5927c9fe9d19392c12d34d6143,46b51e887304cb40e891dbb66c2d888fd22092cdc8b7be4cebf89219a2409213,07eea68a217eb8d197a1d0976bd2ea6360817dbec48421ab2ccdf62cd4242e1c,0b46e417f7b1ead086a323d75a5541821182170ca9e1b59bf63eb8127f45a7c7,a664274d6e4c857c25d22cb892bef282bb2b7923ad25dbf5550ab20024ca449e,1fadc1f3dca0244191e623713bae35ada803fdfda75c4773873bacfeca0bf946,5af3fe61fc03a495b5721a377757d41f3a81e7c4e65b2189535365fcbdecf924,045f9d0c18155ffa47889f5e5c69ddd09c278615f8f5d28e0fc50b0e6072cbb9,8c63a7d002516ce37ce39e578dfcbf55d3308e76d91ebbc439d7cf05f93e289c,15aba6cd1894e0fb3cf065895b9a92c0ab627a56883484032c2e039d9a74b637,8e703c80bae6d731c2f43c3aae2bbc616832ffcd2cde2709c772cb48be7155be
"10102","2","0","0","2","72001","6114","0","20201","30","1016","0","30001","1","102","20201001","0","2026/02/22 16:00:00","50","0","打倒１次佐賀牛頭怪（NORMAL）"
"10103","2","0","0","2","72001","6114","0","20202","30","1016","0","30001","1","103","20201002","0","2026/02/22 16:00:00","100","0","打倒１次佐賀牛頭怪（HARD）"
"10104","2","0","0","2","72001","6114","0","20203","30","1016","0","30001","1","104","20201003","0","2026/02/22 16:00:00","150","0","打倒１次佐賀牛頭怪（VERY HARD）"
"10105","2","25011","25012","2","24030","6114","3000","20204","31","1016","2","30001","5","105","30001","3000","2026/02/22 16:00:00","1","2","打倒５次佐賀牛頭怪（全難易度皆可）"
"10106","2","0","0","2","90005","6114","0","20205","31","1016","0","30001","40","106","30001","0","2026/02/22 16:00:00","50","0","打倒40次佐賀牛頭怪（全難易度皆可）"
"10107","2","25014","0","2","25013","6114","0","20206","32","1016","2","30001","1000000000","107","30001","3000","2026/02/22 16:00:00","3000","0","對佐賀牛頭怪造成1,000,000,000累積傷害"
"10108","2","0","0","2","25021","6114","0","20207","32","1016","0","30001","2000000000","108","30001","0","2026/02/22 16:00:00","3000","0","對佐賀牛頭怪造成2,000,000,000累積傷害"
"10109","2","0","0","2","25015","6114","0","20208","33","1016","0","30001","30000000","109","30001","0","2026/02/22 16:00:00","3000","0","在１場戰鬥中對佐賀牛頭怪造成30,000,000傷害"
"10110","2","0","0","2","25021","6114","0","20209","33","1016","0","30001","120000000","110","30001","0","2026/02/22 16:00:00","3000","0","在１場戰鬥中對佐賀牛頭怪造成120,000,000傷害"
"10101","2","0","0","1","72001","6114","0","20210","29","1015","0","30001","1","101","30001","0","2026/02/22 16:00:00","50","0","和佐賀牛頭怪進行１場戰鬥（全難易度皆可）"
