1102b80f5ac70d97de3fe0d006f3f921e8778b1d50f0460fd7484dc096cb48b3,2748790039f5f859c2b96793262d714449852ad90b2e770181ca51210547930f,e038c865d12179374a16647840101b91cca1f875db3cce867adcc9040339147c,c4841b5b7f7a4a95c43bf29fb374ec7936bb4f407b5f35e43f0bc8a7b028542e,9b4c85eed89712f6c40994facd07466aa4accadd6b3c6f002eaf1a294b3a6840,df21c7a0c95f3f27a706cd920d5e3888f1de6552311aabdd2ba9954d3c801378,feab3de4507eb9b69c1581f765f0e0268d23fb866d5eeeee90aeb25be221a5bf,44ca15a04616a415b10d8c4ee0b336a50be77cc65ab7292b0d62e31c0203c3d4,4dd8040795dae83812f5f69e83607904782ea00d10ff9500e225670907d27521,3efb3a3a485a064a4b0b46f65b8da1320c6219419d30b4871f1f3b0dd597a056,3a718967e8ac798444f373b80cd2f21f3c27393d4cdbe1e65acfa90a532940c6
"","bgm_M199_juke","2030/12/31 15:00:00","2030/12/31 15:00:00","bgm_M199","1001","來動手製作\n充滿愛意的巧克力蛋糕吧！\n超可愛的點擊遊戲！","10000","2020-06-22 16:00:00","哥哥爭奪戰！\n誰的巧克力更好吃SHOW","1002"
"","bgm_M227_juke","2030/12/31 15:00:00","2030/12/31 15:00:00","bgm_M227","1002","大旋轉！空花！\n最棒的絕頂體驗就在這裡！\n一起往上飛翔，空中的旅行！","10000","2020-06-22 16:00:00","空花大旋轉\n飛行絕頂體驗","1003"
"","bgm_M249_juke","2030/12/31 15:00:00","2030/12/31 15:00:00","bgm_M249","1003","這就是琉球魂！\n打倒蜂擁而上的奄美魔物\n令人爽快的動作遊戲！","10000","2020-06-22 16:00:00","香織的靈魂式空手道場","1004"
"","bgm_M277_juke","2030/12/31 15:00:00","2030/12/31 15:00:00","bgm_M277","1004","戰鬥白熱化！\n龍族巢穴流的\n單挑動動腦接龍！","10000","2020-06-22 16:00:00","大激戰！龍人們的接龍競賽","1005"
"","bgm_M355_Lofi_juke","2030/12/31 15:00:00","2030/12/31 15:00:00","bgm_M355_Lofi","1005","你有辦法保護好起司嗎！？\n考驗瞬發力的\n訓練反射神經休閒小遊戲！","10000","2020-09-01 16:00:00","啾啾大恐慌！\n保衛起司大作戰！","1006"
"","bgm_M399","2030/12/31 15:00:00","2030/12/31 15:00:00","bgm_M399","1006","目標成為全壘打強打！\n掌握關鍵時機擊球的\n運動類型動作小遊戲！","10000","2021-01-06 16:00:00","猛訓打擊道！\n美里的全壘打訓練場","1007"
"","bgm_M500","2030/12/31 15:00:00","2030/12/31 15:00:00","bgm_M500","1007","慈樂之音粉絲大興奮！\n獲得演唱會加油周邊，\n成為「慈樂之音神推」為目標！","10000","2022-01-03 16:00:00","慈樂之音的夏日演唱會\n演唱會會場 周邊區 ","1008"
"","bgm_M540","2030/12/31 15:00:00","2030/12/31 15:00:00","bgm_M540","1008","Let's cooking！\n和宮子一起製作蒐集布丁，\n精通布丁之道吧！","10000","2022-04-25 16:00:00","宮子廚房　通往究極之路","1009"
"蘭德索爾猜謎連結！","bgm_M569","2022/08/21 23:59:59","2022/08/01 21:00:00","bgm_M569","1009","5人小隊合力挑戰各式各\n樣類型的謎題！\n以當上猜謎公主為目標吧！","0","2022-08-01 21:00:00","Happy Anniv.特別版　\n蘭德索爾猜謎連結！","1010"
"","bgm_M605","2030/12/31 15:00:00","2030/12/31 15:00:00","bgm_M605","1010","於沙灘上奔馳的公主！\n挑戰亂七八糟的路線的\n南島沙灘搶旗！","10000","2022-11-25 16:00:00","飛奔吧常夏！\n極限沙灘搶旗","1011"
"放學後的猜謎讀書會　{0}","bgm_MC068","2030/12/31 15:00:00","2030/12/31 15:00:00","bgm_MC068","1012","目標是全部答對！\n與凱留和鈴奈在放學後的教室中\n進行兩人獨處的猜謎讀書會！","10000","2024-01-17 16:00:00","凱留與鈴奈的\n放學後的猜謎讀書會","1012"
"行軍A-Go-Go！","bgm_MC141","2030/12/31 15:00:00","2030/12/31 15:00:00","bgm_MC141","1013","前往突破魔物橫行的街道！\n率領【王宮騎士團】\n的士兵們，挑戰訓練吧！","10000","2024-08-15 16:00:00","惠理子和真琴的\n行軍A-Go-Go！","1013"
"衝突！破壞！\n非法坦克大戰","bgm_MC199_Battle","2030/12/31 15:00:00","2030/12/31 15:00:00","bgm_MC199","1014","戰車戰鬥大會，開幕！\n用組裝起來的原創戰車，\n爭取冠軍吧！","10000","2025-03-15 16:00:00","衝突！破壞！\n非法坦克大戰","1014"
