e60baca14629de92d5239b581fe397d323b628b812afc102111494278a163ad0,6524713883f44bc03ed1092dfd4d5ec15acae4a306edd3505d3db2a0cd64325d,bf0867dcf8b455e579d8d19b7c678c6ad7675b838c81bf7740f54aecab60b086,64ca6950cddfc372ceb0a8af28ff2708e8e59cb57604f523abdb78ba424a0502,1b66bf17a99ab41242dd766c5567c51d6250159aef74ab290e71de2087768d42
"1045","1048","1025","1037","1"
"1006","1004","1003","1062","2"
"1006","1007","1003","1029","3"
"1062","1045","1047","1025","4"
"1022","1013","1043","1003","5"
"1019","1004","1006","1048","6"
"1003","1033","1062","1037","7"
"1059","1053","1056","1050","8"
"1034","1011","1001","1030","9"
"1026","1023","1063","1046","10"
"1044","1038","1020","1014","11"
"1040","1049","1017","1008","12"
"1020","1044","1023","1017","13"
"1020","1038","1017","1001","14"
"1008","1048","1030","1036","15"
"1011","1038","1044","1004","16"
"1022","1011","1043","1005","17"
"1047","1016","1046","1042","18"
"1063","1028","1014","1041","19"
"1058","1055","1052","1061","20"
"1024","1001","1025","1031","21"
"1005","1063","1024","1064","22"
"1044","1000","1040","1066","23"
"1010","1038","1000","1076","24"
"1043","1019","1003","1077","25"
"1068","1069","1070","1071","26"
"1090","1091","1092","1089","27"
"1099","1100","1098","1097","28"
"1103","1104","1102","1101","29"
"1107","1108","1106","1105","30"
"1090","1091","1089","1088","31"
