7531e4c58f0a88289b23d6e89e0a60e040526ef179c4a66132e3445a88f7eed8,7d6af8ed97869ca74dac274669addffab40bcdb589a954f5ec7f5f3e894d6e8c,50e0010f4204729bf28953d6f694cb47c0f88c19dc9f624a5cdd342231aba377,a2674bdf90f2ba71794425ba26187473a1f15e127869e6e5733468fc9ead36bb,dc09534f0e6f7906f62325ff6e39f37a849547e3eae36ad48c3c4907d1ceeb92,81b94c442069698d65b5f8685dbd0d2aee4fc538d0ec5ac229ca6054cbb8e55f,cad14c5ebce3c19a496037ccd03e525a05611aa61f3a473869c7f63df07cca39,e8389ac9561bc52a2b0a220f3c359175fd656946e53b30f8bd86e13ccd6adbac,a274ed1f7af442dc7bf9933b3c56b93a77012a47d0fa21abc7e41841da4abaaa,97b4dac05db999badfa204b4a583ccf7699fc39212d79aa507b728e5156cc1f3,4dfcf03f18b7cfc028727469460c42ed8f3f2bca1b2ad4acc9d8b1b94a187a5e,1328721c65adfa0353fd62e46089388aeba186c4ad6a19a94652a61753b75da7,c5a290f499ffae7e15aa3b51df5d2e53495f667cf8ddeb5914cc9b679764837b,2908a6f1b51b0d2143073f7e159ba37795505a8b15f6b241f374233587395cec,bdae442eb4c33df8edcd75c5e7aa36570283af6d47e3b24d4ac103844516b8a3,80868a33e30a90f3372551f188750da412f93c4ceb3d3c93d5d77f54449290b3,e66304918526be89524e1e67128dcbb0d4bd51d06cb56be2c542d57715359e72,eab6ac345ddf359879687f00ce1c0e781b116e33f3aa6916e15d33b54685d551,ae3a21e870572465f3128ef1643b871ac884da64a90b7bf00509729996d80831,77868b72e2f4ee302bbff544631ec6dd6280cad22d89e9299dd5f1efe26d943e,3c0bd7e2a917a2d66c70c76ccaa5b4ed17d83dcdf574ffd14ae01243764ab019,e41652a4b84fc339995b09b7c2ea0300b8e5fa2dd8f77ece9df530978ca87893,32dfc9b7f419be95f3b45423fbc0e096b41cf45dc2adf5274e887b3c47165218,03c99fe09d6fbf31e00ddae86ddd87239aef97c3f9c1683655b23c903b6296e2,56be9f2e48a52cec395016e6fb8bb406755d5c795967aa8d00e75593c6e2bba8,c49957d902314ce688760db5d07a9f4a8ece13f718c25a1959837b7426d4fce7,da1d72c5a23298cf8828d418115a160053c73ae02d449d206825230c6f0f9333,bb7d154c56d6a35efde6869c6edc894e99e651452428b0e3690de45e184c9c9a,dfe303f6efc35d25de99c381abe280c7de3f584dd55942fcc5d300971248edd9,f31513c400cead7d59b2e6df1837db03948de894f59e3d78224a208e8bbab803,de37e0a100109e82d69a9654cd4860032fed2239c9950dfa448f28ac6abf8e40,b3e843f3fab380139f814097912e8e84ce6b30b79073aad564adf2efa7797ea9,115ae59d111f51eddde0039ba6697716dc33bc40355b3ed242253e04dde89e85,6075b2d0f5a5dd039dae5ca936ccce52514c9c52b856fc2790c229721c383c00,1e143d824efe78b8daa906fc2d18f1435d4a913791dc862a9ffef2092db27645,bd6ee0756cd70611982a1585a390859b7615739acad14ec9fa10ac6732e234b8,466c59ce3ec290fa73b4c4d497eac0a8a97d48e29a40f8f62ae215c9759e3eb0,a025527e4cd136dcf2f1e187676aa72727d8b665720678c9419273dc25030ee1,94cb2d73a7b174e55a675e03cf1b7b4398da763d3db72c2d35ab023d887750c0
"1","0","0","0","10000","0","31001","0","0","0","0","20","0.25","0","0","2.28","2.73","0","0","0","0","0","5.67","0","0","0.3","0","15","0","0","0","100101","0","41.77","376","51.04","0","0","0"
"2","0","0","0","20000","0","31001","0","0","0","0","20","0.37","0","0","2.73","3.27","0","0","0","0","0","8.5","0","0","0.45","0","30","0","0","0","100101","0","62.65","451.2","61.24","0","0","0"
"3","0","0","0","30000","0","31001","0","0","0","0","20","0.5","0","0","3.19","3.82","0","0","0","0","0","11.34","0","0","0.6","0","100","0","0","0","100101","0","83.54","526.4","71.45","0","0","0"
"4","0","0","0","40000","0","31001","0","0","0","0","20","0.62","0","0","3.64","4.36","0","0","0","0","0","14.17","0","0","0.75","0","120","0","0","0","100101","0","104.5","601.6","81.66","0","0","0"
"5","0","0","0","50000","0","31001","0","0","0","0","20","0.75","0","0","4.1","4.91","0","0","0","0","0","17.01","0","0","0.9","0","150","0","0","0","100101","0","125.4","676.8","91.87","0","0","0"
"6","0","10","0","0","0","31001","0","0","0","0","120","1","2","0","4.79","5.73","0","0","0","0","0","22.68","0","0","1.2","0","0","0","0","0","100101","0","167.1","789.5","1847.2","0","0","0"
"1","0","0","4.68","10000","0","31002","0","0","0","0","0","0.22","0","0","1.94","2.28","0","0","0","0","0","0","0","0","0.25","0","15","0","42.15","0","100201","0","36.75","330.8","0","0","0","0"
"2","0","0","7.02","20000","0","31002","0","0","0","0","0","0.33","0","0","2.32","2.73","0","0","0","0","0","0","0","0","0.37","0","30","0","50.58","0","100201","0","55.12","396.9","0","0","0","0"
"3","0","0","9.36","30000","0","31002","0","0","0","0","0","0.44","0","0","2.71","3.19","0","0","0","0","0","0","0","0","0.5","0","100","0","59.01","0","100201","0","73.5","463","0","0","0","0"
"4","0","0","11.7","40000","0","31002","0","0","0","0","0","0.55","0","0","3.1","3.64","0","0","0","0","0","0","0","0","0.62","0","120","0","67.44","0","100201","0","91.87","529.2","0","0","0","0"
"5","0","0","14.04","50000","0","31002","0","0","0","0","0","0.66","0","0","3.49","4.1","0","0","0","0","0","0","0","0","0.75","0","150","0","75.87","0","100201","0","110.3","595.3","0","0","0","0"
"6","0","0","18.72","0","0","31002","0","0","0","0","0","0.88","0","0","34.07","4.79","0","0","0","0","30","0","0","0","1","0","0","0","548.6","0","100201","0","147","694.5","0","0","0","0"
"1","0","0","0","10000","0","31003","0","0","0","0","15","0.28","0","0","2.51","2.73","0","0","0","0","0","5.67","0","0","0.3","0","15","0","0","0","100301","0","40.62","365.6","51.04","0","0","0"
"2","0","0","0","20000","0","31003","0","0","0","0","15","0.42","0","0","3.01","3.27","0","0","0","0","0","8.5","0","0","0.45","0","30","0","0","0","100301","0","60.93","438.7","61.24","0","0","0"
"3","0","0","0","30000","0","31003","0","0","0","0","15","0.56","0","0","3.51","3.82","0","0","0","0","0","11.34","0","0","0.6","0","100","0","0","0","100301","0","81.24","511.9","71.45","0","0","0"
"4","0","0","0","40000","0","31003","0","0","0","0","15","0.7","0","0","4.01","4.36","0","0","0","0","0","14.17","0","0","0.75","0","120","0","0","0","100301","0","101.6","585","81.66","0","0","0"
