0c5387d7c2cbc4881ce5804eccc4cb629ffaa5ee46c2c14bafc6583e667f6961,971c3a92be741945adb7fe97f54507478ea85e428dd80e073eeba83cd4e896b2,d476c993fb79556999721aab9701f9fa34e4a43a05c3062de89bf1031632ff6a,01e5f5199f4e38cc704fadb5745b47b1c14d8ec13e588e001dfc3aee56f06543,5bad0547e3a054b81c71b36b6069ab77de120b2c405842e0b21ea18e57b3ae74,e95630ec7377bb3042cb723c053589ce0d877254c0efdfa3191629ae6fe06143,727376f7f77676b09962606c2c51b9e5f8a85603c1baf3095dfdcfc096144ff7,db5f0124efce21588c61e5938ce440367c94e2b83708c05b5e8a74109f0c19e8,66b2ff4303ef542cb127ee1a4eda3a1ec8a75b19e83392670c82378f07f6c16d,8744997355c7d342a3b7cd312d258b450a3f80008d86d8c2f673d926ec6d780f,58f95f2ac5307860b908a40baf11c835e88eace703a92bc0b040d80fb78ffa5b,a5f36719eca3e61c3eb33fddafa8e1d7b71383cd9cd37327c1e89117cfb4fba6,1136ba8e2d0548a39478f010566bfd58f240f79739439cd33029269bfb394d34,c2e3b98dcfd05e951737a4a38efc14c755dbb7d58e633b08539231da78177559,ce7db41b6dde5c190eb08c076374173f02fc844caa99f03d05a8561428911fae,6591350282d6f9d9c95ada4d47874ddb7d9004fdacd9890cce1d672f60e3bb5d
"bgm_M32","10001","0","0","0","1","塔爾格姆地區","0","0","2018/09/17 15:59:59","10001101","bgm_M32","2018/08/28 16:00:00","201","0","0"
"bgm_M32","10001","0","0","0","1","塔爾格姆地區","0","0","2018/09/17 15:59:59","10001201","bgm_M32","2018/08/28 16:00:00","201","0","0"
"bgm_M98_2","10002","0","0","0","1","馬席納地區","0","0","2018/10/24 15:59:59","10002101","bgm_M98","2018/10/03 16:00:00","201","0","0"
"bgm_M98_2","10002","0","0","0","1","馬席納地區","0","0","2018/10/24 15:59:59","10002201","bgm_M98","2018/10/03 16:00:00","201","0","0"
"bgm_M106","10003","0","0","0","1","蘭德索爾郊外","0","0","2018/11/20 15:59:59","10003101","bgm_M106","2018/11/01 15:59:59","201","0","0"
"bgm_M106","10003","0","0","0","1","蘭德索爾郊外","0","0","2018/11/20 15:59:59","10003201","bgm_M106","2018/11/01 15:59:59","201","0","0"
"bgm_M112","10004","0","0","0","1","塔帕斯海灘 周邊","0","0","2018/12/20 15:59:59","10004101","bgm_M112","2018/12/01 16:00:00","201","0","0"
"bgm_M112","10004","0","0","0","1","塔帕斯海灘 周邊","0","0","2018/12/20 15:59:59","10004201","bgm_M112","2018/12/01 16:00:00","201","0","0"
"bgm_M121","10005","0","0","0","1","伊爾席翁的孤島","0","0","2019/01/22 15:59:59","10005101","bgm_M121","2019/01/03 16:00:00","201","0","0"
"bgm_M121","10005","0","0","0","1","伊爾席翁的孤島","0","0","2019/01/22 15:59:59","10005201","bgm_M121","2019/01/03 16:00:00","201","0","0"
"bgm_M128","10006","0","0","0","1","王城蘭德索爾","0","0","2019/02/19 15:59:59","10006101","bgm_M128","2019/02/01 12:00:00","201","0","0"
