07e8933d7c9c29d3def717e6a0950d002ab7b09b8b2919c54bfb9f2e03703685,cfcbf4b152b6b35a337314275a38d52b94b58d9fa68696c99f1f3fb6378a4f38,0e75629af88b2ee42dfd437cc20dc8174e04c1174a72102a452cee5e3def40dc,b25e10a9ec1b685975f8aa3ad3a9f8c4b81f247f76b617d6f74027ab206f5ff0,6e676e349e2052f4a7b9be820670a52ce1f400740e464182b41e43fff1fc4d23,b157f53c5df1e8e92439572621de942e1eec691225820d5773f3e8966baf62e7,9b8ce55c84110a9724a43ccad8a893a8f092e9afda08c2ba98bfb1be79e877b6,5cc6dfc53101680e905815f6fa7040d04d3c8508e664cbab62406953d78a4ddf,def4129247d557af955fea45324eb20cd5cf71185869b8136355823cab77ae3c,b6c593de9a0d1bde0111cf9d36d1403ab6b1d907a2c1cd52ae597a755212881a,6ef578a0114b3c7f93855add8d9b2de075d1b489acdf02f0b68097bb307dac68,f9d89f5fa028bfd8d302f3e76dc1d115c54a789dddb20085415ca211789ee25f,5f897cb29159913194c570d71f5dffeb63bd081041272d995638fa6ea0592c62,da4cb984c1a457813359acc8e1b9b22c51a03ff0fa870ef1a54bbba2ed0714a4,c1ae34d2982b3dff27013d2dfa1a2037d587a78c5bece6bdffbbaf178cda3c30,0e48221aaedb2c9d2174f419ccf11616dd5bfde2c7651e0bdc3e17791c84dbe3,97f1dbe2c5264cc14a6b1753a20f6341aa9eeda71006beb39a0896e42fee67dc,fb23585684d767caea4dc67b0323579039a05ca398eeee67982ed731b46350d7,30b1b9ec3253f2d382ec5758324fa97a175f4a729f40d20d1525ed31f467b0c8,4f5286e0a3189f959cf4b18c3e7e1dd09aa1e31f85ac94250ac09ddd4e70ad2b,3a7f08f83a037f527f11e6b4fd42f27cb99ba6d788ec97c22c6553e6475beab0,9c3fcb93b6abb15b15ad5513e512e6a58ca7ccdbf67acd1f03b44df0cd4b35c0,3ee97574d04bc78bdc092b5340e5bd6740399466a0326418e28c02410400ac1b,6b7230b83ebbb3926cb884a4fe02c5718c0aadfa2250fe1edd09cc6dd268734c,b92bf648d8fb68811f30774744cdd36fe87026a82e875ddcd651f265dfe49a4a,f6898473a6d5fb340646fb97e77ab686305eb8476604a3e2a2d014214993640f,a754435ccd792e255943477f6d1fad0561e567ed165e8522ee897e799f2f3b08,d8afe1398cfac2f39011d6a2f1c8bf70e0b1578951b18a9b3a9eebe80d0e7342,9c6c5a77497e5a959b582a98ef475571fae346377cf7a6d15ed5750507b79eba,a50142b2dab234fa9b1cf3ad31c7aa4ab3225899ca8e71c590abb1073a401568,1c5a930b7d3f0ca132c06cd8828c40123edf28651c4d374158d02d2592b2b63d,1168d711896225aeabf7b99080f0c509d0493db4b914955cd4beebf79bfc50bb,87da259432c8f7d3411cc3003fa4b0c23baa291a55a89849ac53002cc4dd7576,f324ac0e37107ef50518e0e18beaea14173b66ac75f49eca0c1a7560fd16e055
"1","1059","1279","1075","0","1118","1076","0","1253","0","1058","0","1806","為了能夠進入特別的餐廳用餐，貪吃佩可組成了這個公會。主要的目的是邊走邊吃。","1078","1120","1804","1060","0","1058","0","美食殿堂","1805","0","0","1210","0","1119","0","0","1211","1155","0","1272"
"2","1002","0","1088","0","1803","1089","0","1289","0","1001","0","1225","公會長是日和，並以助人為中心活動著的公會。但真正的目的是，實現夢見相同夢境的３人所許下的「到達索爾之塔頂端」心願","1087","1802","1140","1003","0","1001","0","破曉之星","1156","0","0","1226","0","1801","0","0","1288","1224","0","1287"
"3","1049","0","1091","0","1337","1129","0","0","0","1068","0","0","由謎樣人物・拉比林斯達所一手建立，探究世界謎團的公會。經營著可麗餅店，對外偽裝成平凡的公會。也就是俗稱的祕密結社。","1171","1193","1200","1011","0","1068","0","拉比林斯","1811","0","0","0","0","1212","0","0","0","0","0","0"
"4","1042","0","1084","0","1322","1116","0","0","0","1029","0","1348","由單人偶像的望所組成，以歌舞（來與日常中產生的悲傷心情）戰鬥的偶像公會。以Live的演出為主要活動內容。","1139","1172","1173","1054","0","1029","0","慈樂之音","1248","0","0","0","0","1174","0","0","0","1344","0","0"
"5","1004","0","1111","0","1307","1112","0","0","0","1020","0","0","由感情良好的３人組所創立，實際上是非公認的公會。演著公會戲碼，實際目的只是想到處玩。","1113","1808","1229","1036","0","1020","0","小小甜心","1227","0","0","0","0","1228","0","0","0","0","0","0"
"6","1012","0","1107","0","1284","1134","0","0","0","1015","0","0","由精靈族來管理、守護森林，歷史悠久的公會。管理著只有精靈之森才採得到藥草，並守衛著森林。","1135","1167","1221","1040","0","1015","0","森林守衛","1246","0","0","0","0","1807","0","0","0","1346","0","0"
"7","1022","0","1031","0","1199","1007","0","1262","0","1044","0","1220","伊莉亞與魔族少女們所組成的公會。其名與伊莉亞當年所統領、和眾神為敵並且展開戰鬥的魔族最強軍團的名字相同。","1081","1082","1137","1006","0","1044","0","惡魔偽王國軍","1138","0","0","1241","0","1117","0","0","1240","1209","0","1271"
"8","1071","0","1005","0","1239","1115","0","0","0","1047","0","1339","身為蘭德索爾的國軍，其活動目的為保護「王宮」及皇族，以及完成所接受到的聖令。另一身為守護街上治安的警察組織的身分也十分強悍。","1136","1141","1236","1037","0","1047","0","王宮騎士團（NIGHTMARE）","1238","0","0","0","0","1143","0","0","0","1242","0","0"
"9","1025","0","1021","0","1213","1077","0","1335","0","1028","0","1232","雖然是孤兒院，但買賣的範圍也做得相當廣。身為王宮護衛時的每一天，自覺找不出其價值的咲戀，為了想幫助他人，於是帶著這樣的心情組成了公會。","1086","1085","1121","1023","0","1028","0","咲戀育幼院","1145","0","0","1275","0","1103","0","0","1308","1809","0","0"
"10","1043","0","1017","0","1160","1105","0","1310","0","1010","0","1231","保護同為【動物苑】的夥伴免於魔物們的威脅的武鬥派公會。同時也從事著「闇影」異變的調查及解決。與【王宮騎士團】的關係水火不容。","1104","1106","1157","1014","0","1010","0","哞哞自衛隊","1159","0","0","1285","0","1122","0","0","1298","1177","0","0"
