4bb3157e2608ebcc5bea12a255178fef08dfe7b8e87f74fca6969652dc79e962,e1ce03ac09e9e052b9c02ee68769bdef111aefcf31200fad77edc03a40e51146,81312e0e5ca273c06bffe3d90ece03db7c3a57e21c4684895e364f606659900f,ad8c6278e46bce8a82105204520a4be1136d432befeabd1dd878d0637b5e7de8,fac45fabd0ec14402e801ed59ae897d986bb29e0147df298d7d83eb052e48a54
"12","94002","1001","1","8000000"
"2","90005","1001","2","40"
"12","94002","1002","3","8000000"
"2","90005","1002","4","50"
"12","94002","1003","5","8000000"
"2","90005","1003","6","60"
"12","94002","1004","7","8000000"
"2","90005","1004","8","70"
"8","91002","1005","9","150"
"12","94002","1005","10","8000000"
"2","90005","1005","11","80"
"12","94002","1006","12","8000000"
"2","90005","1006","13","90"
"8","91002","1007","14","300"
"12","94002","1007","15","8000000"
"2","90005","1007","16","100"
"12","94002","2001","17","8000000"
"12","94002","2002","18","8000000"
"12","94002","2003","19","8000000"
"12","94002","2004","20","8000000"
"12","94002","2005","21","8000000"
"12","94002","2006","22","8000000"
"12","94002","2007","23","8000000"
"12","94002","2008","24","8000000"
"12","94002","2009","25","8000000"
"12","94002","2010","26","8000000"
"12","94002","2011","27","8000000"
"12","94002","2012","28","8000000"
"12","94002","2013","29","8000000"
"12","94002","2014","30","8000000"
"12","94002","2015","31","8000000"
"12","94002","7001","32","8000000"
"2","90005","7001","33","5"
"12","94002","7002","34","8000000"
"2","90005","7002","35","5"
"12","94002","7003","36","8000000"
"2","90005","7003","37","5"
"12","94002","7004","38","8000000"
"2","90005","7004","39","10"
"12","94002","7005","40","8000000"
"2","90005","7005","41","10"
"12","94002","7006","42","8000000"
"2","90005","7006","43","10"
"12","94002","7007","44","8000000"
"2","90005","7007","45","15"
"12","94002","7008","46","8000000"
"2","90005","7008","47","15"
"12","94002","7009","48","8000000"
"2","90005","7009","49","15"
"12","94002","7010","50","8000000"
"2","90005","7010","51","20"
"12","94002","7011","52","8000000"
"2","90005","7011","53","20"
"12","94002","7012","54","8000000"
"2","90005","7012","55","20"
"12","94002","7013","56","8000000"
"2","90005","7013","57","25"
"12","94002","7014","58","8000000"
"2","90005","7014","59","25"
"12","94002","7015","60","8000000"
"2","90005","7015","61","25"
"12","94002","7016","62","8000000"
"2","90005","7016","63","30"
"12","94002","7017","64","8000000"
"2","90005","7017","65","30"
"12","94002","7018","66","8000000"
"2","90005","7018","67","30"
"12","94002","7019","68","8000000"
"2","90005","7019","69","35"
"12","94002","7020","70","8000000"
"2","90005","7020","71","35"
"12","94002","7021","72","8000000"
"2","90005","7021","73","35"
"12","94002","7022","74","8000000"
"2","90005","7022","75","40"
"12","94002","8001","76","8000000"
"2","90008","8001","77","1000"
"12","94002","8002","78","8000000"
"2","90008","8002","79","1250"
"12","94002","8003","80","8000000"
"2","90008","8003","81","1500"
"12","94002","8004","82","8000000"
"2","90008","8004","83","1750"
"12","94002","8005","84","8000000"
"2","90008","8005","85","2000"
"12","94002","8006","86","8000000"
"2","90008","8006","87","2250"
"12","94002","8007","88","8000000"
"2","90008","8007","89","2500"
"2","80001","9001","90","50"
"2","80002","9002","91","50"
"2","80003","9003","92","50"
"2","80004","9004","93","50"
"2","80005","9005","94","50"
