4bb3157e2608ebcc5bea12a255178fef08dfe7b8e87f74fca6969652dc79e962,fac45fabd0ec14402e801ed59ae897d986bb29e0147df298d7d83eb052e48a54,e1ce03ac09e9e052b9c02ee68769bdef111aefcf31200fad77edc03a40e51146,81312e0e5ca273c06bffe3d90ece03db7c3a57e21c4684895e364f606659900f,ad8c6278e46bce8a82105204520a4be1136d432befeabd1dd878d0637b5e7de8
"12","8000000","94002","1001","1"
"2","40","90005","1001","2"
"12","8000000","94002","1002","3"
"2","50","90005","1002","4"
"12","8000000","94002","1003","5"
"2","60","90005","1003","6"
"12","8000000","94002","1004","7"
"2","70","90005","1004","8"
"8","150","91002","1005","9"
"12","8000000","94002","1005","10"
"2","80","90005","1005","11"
"12","8000000","94002","1006","12"
"2","90","90005","1006","13"
"8","300","91002","1007","14"
"12","8000000","94002","1007","15"
"2","100","90005","1007","16"
"12","8000000","94002","2001","17"
"12","8000000","94002","2002","18"
"12","8000000","94002","2003","19"
"12","8000000","94002","2004","20"
"12","8000000","94002","2005","21"
"12","8000000","94002","2006","22"
"12","8000000","94002","2007","23"
"12","8000000","94002","2008","24"
"12","8000000","94002","2009","25"
"12","8000000","94002","2010","26"
"12","8000000","94002","2011","27"
"12","8000000","94002","2012","28"
"12","8000000","94002","2013","29"
"12","8000000","94002","2014","30"
"12","8000000","94002","2015","31"
"12","8000000","94002","7001","32"
"2","5","90005","7001","33"
"12","8000000","94002","7002","34"
"2","5","90005","7002","35"
"12","8000000","94002","7003","36"
"2","5","90005","7003","37"
"12","8000000","94002","7004","38"
"2","10","90005","7004","39"
"12","8000000","94002","7005","40"
"2","10","90005","7005","41"
"12","8000000","94002","7006","42"
"2","10","90005","7006","43"
"12","8000000","94002","7007","44"
"2","15","90005","7007","45"
"12","8000000","94002","7008","46"
"2","15","90005","7008","47"
"12","8000000","94002","7009","48"
"2","15","90005","7009","49"
"12","8000000","94002","7010","50"
"2","20","90005","7010","51"
"12","8000000","94002","7011","52"
"2","20","90005","7011","53"
"12","8000000","94002","7012","54"
"2","20","90005","7012","55"
"12","8000000","94002","7013","56"
"2","25","90005","7013","57"
"12","8000000","94002","7014","58"
"2","25","90005","7014","59"
"12","8000000","94002","7015","60"
"2","25","90005","7015","61"
"12","8000000","94002","7016","62"
"2","30","90005","7016","63"
"12","8000000","94002","7017","64"
"2","30","90005","7017","65"
"12","8000000","94002","7018","66"
"2","30","90005","7018","67"
"12","8000000","94002","7019","68"
"2","35","90005","7019","69"
"12","8000000","94002","7020","70"
"2","35","90005","7020","71"
"12","8000000","94002","7021","72"
"2","35","90005","7021","73"
"12","8000000","94002","7022","74"
"2","40","90005","7022","75"
"12","8000000","94002","8001","76"
"2","1000","90008","8001","77"
"12","8000000","94002","8002","78"
"2","1250","90008","8002","79"
"12","8000000","94002","8003","80"
"2","1500","90008","8003","81"
"12","8000000","94002","8004","82"
"2","1750","90008","8004","83"
"12","8000000","94002","8005","84"
"2","2000","90008","8005","85"
"12","8000000","94002","8006","86"
"2","2250","90008","8006","87"
"12","8000000","94002","8007","88"
"2","2500","90008","8007","89"
"2","50","80001","9001","90"
"2","50","80002","9002","91"
"2","50","80003","9003","92"
"2","50","80004","9004","93"
"2","50","80005","9005","94"
"2","50","80006","9006","95"
"2","50","80007","9007","96"
"2","50","80008","9008","97"
"2","50","80009","9009","98"
"2","50","80010","9010","99"
