4b9605753954808e6dfd760a61e2c66939d96ee3be9f7c51b5f2579633f02398,c3a7a5819de94c1bcf1ea119fcfb09fdb48ce22f70dcd88053c3568847f9e7af,5bc48e3168b30450708135745802a06f50658e95468e59670763956174471a12,d42f6ab43f04b8ceb4ade97bd20d614a1bf010e7a60bb9bae4a6e6d24f8a855b,f94299e6d389d56eb4c6594b9b257a0d2d256a4b8c2389b2c5edacd2a63a657a,5c87532f79f951a1fcae408233452824f8e888d03f9d67c9a5334889004a7037,6ff395917749e21488cf2e61dada554d976fc8f5db98867a598139d6f082e22c,281b9258c7dc62b69814797766994501a8ec7eb02ba084f1cbdafce60f7f7195,14bdbea16b76ebeb20bdb1b7d7d1668b690d59d67316f8f1d0ce25c974686fc0,3288bf62435481be9f731fff01f7d5d728fefacf6fc8b2ca86dc196640783331,b4c0b2a70e0c7ceeb185a736894a235a0f599b1f2bd1687cbac1481f36767890,805bc65a953a3a2cad75eb80d68962b92029e6c755f4d8e6a58b833a428a3d25,e7a1c90c2b85dfb224057479ac03dadbd7d225268fb486b10ca83bed8862ca24,8656b42bb8f0396d61ec07e48f85a87333f6251d9ebefaf0f4bfb0fc3d0e0c1d,368206db2a72aac963abe0628e015e3faa9be2ede2b59f88dd93ce486a4619bd,39ac890921797dac2da75ec9bc434728a7e911280942b78fac02b88f057b2c57,4e005f2c004dba7a5b8d20b3bb650956d973bc5d05f5a2f0df1a9937748bc18e,72afdc0bb388beedead14b1511d4636c41e25e3327818f4c606997081b3aae09,6cc2aa5448f034028d52201551c48e0df8a187c3614e2ac19e96d52977703249,8df971cd8435276a0e272e2a775787ab908cf7835144e76a891f280460245ebc,3530ac2302685fa74ebf124b3f028030b5a6d0a5cb00f454175fd7886b07860b,1f2c082fcad949befcf67733cdf076bec3482faedc79e9849b2f4e3db2517b02,6300f93e8585bdbb5f37f29a745d40ceaabdf3e7d4eb4055efaf81a9bd33c098,e0ec9d84d94fe1a6e1bfeb0f79924f6a603ce3f7694b58b4e6ab3ae1c40e3628,4d2eb99151da9dde0c921348e343a5ae2594a7390116dbf62b559776952c7784,79099ba8894c662d9f83c6bc471aa46b8b033798ff18e04b7aa16d87241b8ecb,dd18420ad3c1224f660b869969de9a52171d80c60849d223ed1d9ef580d4413f,122e9020751bbcd3f0115baf549ea10355cbd1bd86d9eb48d734fff57a8ed09c,44c5573ccc7bc23ba6c7af8a6a1eb4480fce72ccf53086b0ce02bc5f3a8a4ebe,c82e353ba9f1488477db842bb198e897d2856d031cbe5327e8dcc720240085df,114851e49ffc2198d2acdfdc214a039cc65d3c00fe822b471985d8f471ca4e45,a988c9908f2b5b02d6d5d41ffb568e2e9b24212e692566d70dd609c5945a2e76,22ad194424769148039601bc1d0d9bc2200950d46df945ead170eeaf54fb1d46,b1ca992e48a26afa8a163f8a3795ea92ef6a0aae53b345bfd782ccfc3beca336
"1076","0","1805","1078","1376","0","1060","1383","1210","1391","0","1058","0","1058","1279","為了能夠進入特別的餐廳用餐，貪吃佩可組成了這個公會。主要的目的是邊走邊吃。","0","1806","1059","1120","1075","1155","1119","1","1118","0","1272","1253","0","美食殿堂","1804","0","1211","0"
"1089","0","1156","1087","1364","0","1003","0","1226","0","0","1001","0","1001","1357","公會長是日和，並以助人為中心活動著的公會。但真正的目的是，實現夢見相同夢境的３人所許下的「到達索爾之塔頂端」心願","0","1225","1002","1802","1088","1224","1801","2","1803","0","1287","1289","0","破曉之星","1140","0","1288","0"
"1129","0","1811","1171","0","0","1011","0","0","0","0","1068","0","1068","0","由謎樣人物・拉比林斯達所一手建立，探究世界謎團的公會。經營著可麗餅店，對外偽裝成平凡的公會。也就是俗稱的祕密結社。","0","1379","1049","1193","1091","1365","1212","3","1337","0","0","0","0","拉比林斯","1200","0","0","0"
"1116","0","1248","1139","0","0","1054","0","0","0","0","1029","0","1029","0","由單人偶像的望所組成，以歌舞（來與日常中產生的悲傷心情）戰鬥的偶像公會。以Live的演出為主要活動內容。","0","1348","1042","1172","1084","1344","1174","4","1322","0","0","0","0","慈樂之音","1173","0","0","0"
"1112","0","1227","1113","0","0","1036","0","0","0","0","1020","0","1020","0","由感情良好的３人組所創立，實際上是非公認的公會。演著公會戲碼，實際目的只是想到處玩。","0","0","1004","1808","1111","1390","1228","5","1307","0","0","0","0","小小甜心","1229","0","0","0"
"1134","0","1246","1135","0","0","1040","0","0","0","0","1015","0","1015","0","由精靈族來管理、守護森林，歷史悠久的公會。管理著只有精靈之森才採得到藥草，並守衛著森林。","0","0","1012","1167","1107","1346","1807","6","1284","0","0","0","0","森林守衛","1221","0","0","0"
"1007","0","1138","1081","0","0","1006","0","1241","0","0","1044","0","1044","0","伊莉亞與魔族少女們所組成的公會。其名與伊莉亞當年所統領、和眾神為敵並且展開戰鬥的魔族最強軍團的名字相同。","0","1220","1022","1082","1031","1209","1117","7","1199","0","1271","1262","0","惡魔偽王國軍","1137","0","1240","0"
"1115","0","1238","1136","0","0","1037","0","0","0","0","1047","0","1047","0","身為蘭德索爾的國軍，其活動目的為保護「王宮」及皇族，以及完成所接受到的聖令。另一身為守護街上治安的警察組織的身分也十分強悍。","0","1339","1071","1141","1005","1242","1143","8","1239","0","0","0","0","王宮騎士團（NIGHTMARE）","1236","0","0","0"
"1077","0","1145","1086","0","0","1023","0","1275","0","0","1028","0","1028","0","雖然是孤兒院，但買賣的範圍也做得相當廣。身為王宮護衛時的每一天，自覺找不出其價值的咲戀，為了想幫助他人，於是帶著這樣的心情組成了公會。","0","1232","1025","1085","1021","1809","1103","9","1213","0","0","1335","0","咲戀育幼院","1121","0","1308","0"
"1105","0","1159","1104","0","0","1014","0","1285","0","0","1010","0","1010","0","保護同為【動物苑】的夥伴免於魔物們的威脅的武鬥派公會。同時也從事著「闇影」異變的調查及解決。與【王宮騎士團】的關係水火不容。","0","1231","1043","1106","1017","1177","1122","10","1160","0","1374","1310","0","哞哞自衛隊","1157","0","1298","0"
