38b6482975b0fbe2d74dd2f7a2dd11a039f677aaa481fc8229d74d0ed8a4c443,d59900f1a37840732cfb14e469f4118375557bf6fceb023de595b7b90c5e9560,8ab223d8a4689556695b3b0cd39c1f68029875bb657a05dee66cb9d835e9223e,82ce5df36d4c04d09e453098f158e530f13231f360c8a03866ecdc57e42b965f,2d7b1182b2107bb5841e9ee2824d256e732ae5db1e3a59bb2473b5aa0930ec73,b216c7adb86b277d21ff8301bd0f779615f7c8c5a5c6c0cfe651640d2797a5ed,fa764f31ac58639665473287fb615e04c3d9fb962e53cd5979bfaafbe692de82,e7efd32c8d984396acb4c26bc03c943151036ebc667d48e99e11c20a7c546d09,e0bb401d23241c1c55d5ce8ff8716ad034a1c34f5277fa2050abbacb491c3e07,2dbfa98ee4db94f580bb0481c2e44149de08737e91c8640a8c0713fb9871e478,cf4e48ccca7a8bec147aabfb4efd34416c6b7f614d90d739c3696f00f8d75730,4945a89487d127433ee252c5c866e98377ed7fe630c72369d6fd56c5d42bdf53,7e827b5e02156f151e1ee9bf4e15acf661e16a829016ba84b609f6bdd870939d,33042680d92311ec0134563ccb1d465654ff7b042e0f38aec6f139499e644764,5ae492fd73fce8dedc403c096b834d70375810e95ade754c183f1345ab23e57d,449506d6c1eb78f7481604056fd430a72b035c23b9136efed1ddfb6b8d3e5a25,1868da30a0025d1bcdb102db7e23ba98b65604d32b08ffd5ae80f171af08ad64,f0ed8354e498f509320dfc7264724a7d6da3081e2491212118318fe9e4dcb2da
"5","1","0","2","91002","22003","0","8","150","94002","20","1","2","20003","150000","5","12","0"
"2","2","0","2","91002","22003","0","8","145","94002","15","6","2","20003","100000","9","12","0"
"5","3","0","2","91002","22002","0","8","140","94002","11","10","2","20003","80000","19","12","0"
"5","4","0","2","91002","22002","0","8","130","94002","10","20","2","20003","80000","29","12","0"
"4","5","0","2","91002","22002","0","8","120","94002","9","30","2","20003","70000","39","12","0"
"4","6","0","2","91002","22002","0","8","110","94002","8","40","2","20003","70000","49","12","0"
"3","7","0","2","91002","22002","0","8","100","94002","7","50","2","20003","60000","99","12","0"
"2","8","0","2","91002","22002","0","8","80","94002","2","100","2","20003","40000","499","12","0"
"1","9","0","2","91002","22002","0","8","50","94002","7","500","2","20002","20000","999","12","0"
"3","10","0","2","91002","22001","0","8","20","94002","4","1000","2","20002","16000","4999","12","0"
"2","11","0","2","91002","22001","0","8","15","94002","3","5000","2","20002","9000","9999","12","0"
"1","12","0","2","91002","22001","0","8","10","94002","8","10000","2","20001","4000","11999","12","0"
"1","13","0","2","91002","22001","0","8","5","94002","7","12000","2","20001","3000","13999","12","0"
"1","14","0","2","91002","22001","0","8","4","94002","6","14000","2","20001","2000","14999","12","0"
"1","15","0","2","91002","22001","0","8","3","94002","5","15000","2","20001","1800","30000","12","0"
