90bf051b01f8b9c716c64997cfef606b802e98a8e1a488b622408bc9ada4f00d,9e90a61e334c5b47bb2094d055d05a302d73b225d4973cb201e8336a50a8b39d,2385416580ef3dc574ca0ee2f0040dc4df5f308b66d3d0575c5fc9bf551b4c5f,26ccf38d7a532aa6a5f95f9a5e71963b67aa20f6e37b78d14067aa47c6883cc8,5f820c1cf8ceea50eca7bf4dcf181c19e07a3fb865ce7d4a9ed7c38c9403133a,cee9dd54e2ca52c32318b9308605e2e45d1f2fc67195e2d89774f0df7895399d,251fb1a7e66d4fb3b3aa39983d1e05be2a6482bd2cdecf1e9d8bb28086eb7a09,b43b1884831da99ac21921b1eb8f67a2830b5331951de3ab31fcf145e08124b3,cbf7011f3eac56cd3bb51da67132d6739242d033b79c1375b269b5bd80c15baf,f5f0d05bc5c107de809fe1667d6cd7d325a1aaf7eae42fef6690f43a9be1cfe5,39af458385682d642f17843670970b5a52800d2f1865a2ddf1a71a8e8a14ba88,e2205a1d2ca1aff772f9fde6027e922017604d7bfd36b9b266acbc754551d601,482fc9f6c0e77cf7d43a1f8176b61b7f571a93fba7e8313de989fca0c9a6717c
"2030/04/19 15:00:00","-6","5032","0","0","0","2018/08/28 16:00:00","1","0","10001","20001","2020/07/02 16:00:00","0"
"2030/04/19 15:00:00","-3","8135","0","0","0","2018/10/03 16:00:00","1","0","10002","20002","2020/08/03 16:00:00","0"
"2030/04/19 15:00:00","-8","201","0","0","0","2018/11/01 15:59:59","1","0","10003","20003","2020/09/04 16:00:00","0"
"2030/04/19 15:00:00","-5","3394","0","0","0","2018/12/01 16:00:00","1,2","0","10004","20004","2020/09/30 16:00:00","0"
"2030/04/19 15:00:00","-3","3060","0","0","0","2019/01/03 16:00:00","1,4","0","10005","20005","2020/11/02 16:00:00","0"
"2030/04/19 15:00:00","-5","1412","0","0","0","2019/02/01 12:00:00","1","0","10006","20006","2020/12/04 15:00:00","0"
"2030/04/19 15:00:00","-2","3481","0","0","0","2019/03/06 16:00:00","1,5","0","10007","20007","2021/01/20 16:00:00","0"
"2030/04/19 15:00:00","-3","3490","0","0","0","2019/04/03 16:00:00","1","0","10008","20008","2021/02/09 16:00:00","0"
"2030/04/19 15:00:00","0","5402","0","0","0","2019/05/02 16:00:00","1,6","0","10009","20009","2021/03/25 16:00:00","0"
"2030/04/19 15:00:00","-5","2192","0","0","0","2019/06/03 16:00:00","1,7","0","10010","20010","2021/04/21 16:00:00","0"
"2030/04/19 15:00:00","0","5034","0","0","0","2019/07/01 16:00:00","1,8","0","10011","20011","2021/05/26 16:00:00","0"
"2030/04/19 15:00:00","-5","402","0","0","0","2019/07/17 16:00:00","1","0","10012","20012","2021/06/25 16:00:00","0"
"2030/04/19 15:00:00","-5","22","0","0","0","2019/08/01 16:00:00","1,9","0","10013","20013","2021/07/26 16:00:00","0"
"2030/04/19 15:00:00","-8","2174","0","0","0","2019/09/03 16:00:00","1","0","10015","20014","2021/08/26 16:00:00","0"
"2030/04/19 15:00:00","3","2222","0","0","0","2019/11/01 16:00:00","1,10","0","10019","20015","2021/09/24 16:00:00","0"
"2030/04/19 15:00:00","0","6040","0","0","0","2019/12/02 16:00:00","1,11","0","10021","20016","2021/10/26 16:00:00","0"
"2030/04/19 15:00:00","-4","6481","0","0","0","2020/01/02 16:00:00","1","0","10023","20017","2021/11/25 15:00:00","0"
"2030/04/19 15:00:00","0","8134","0","0","0","2020/02/04 16:00:00","1,12","0","10025","20018","2021/12/24 16:00:00","0"
"2030/04/19 15:00:00","-2","3420","0","0","0","2020/03/02 16:00:00","1","0","10027","20019","2022/01/26 16:00:00","0"
"2030/04/19 15:00:00","-5","5283","0","0","0","2020/04/01 16:00:00","1,13","0","10029","20020","2022/02/22 16:00:00","0"
"2030/04/19 15:00:00","-4","1311","0","0","0","2020/05/05 16:00:00","1,14","0","10031","20021","2022/03/25 16:00:00","0"
"2030/04/19 15:00:00","-7","6055","0","0","0","2020/06/03 16:00:00","1,15","0","10033","20022","2022/04/25 16:00:00","0"
"2030/04/19 15:00:00","-5","2022","0","0","0","2020/07/02 16:00:00","1","0","10038","20023","2022/05/25 16:00:00","0"
"2030/04/19 15:00:00","-10","6011","0","0","0","2020/08/03 16:00:00","1","0","10040","20024","2022/06/24 16:00:00","0"
"2030/04/19 15:00:00","-5","5221","0","0","0","2020/09/04 16:00:00","1,16","0","10042","20025","2022/07/26 16:00:00","0"
"2030/04/19 15:00:00","10","3040","0","0","0","2020/11/02 16:00:00","1,17","0","10044","20026","2022/08/26 16:00:00","0"
"2030/04/19 15:00:00","10","6120","0","0","0","2020/12/04 16:00:00","1,18","0","10046","20027","2022/09/23 16:00:00","0"
"2030/04/19 15:00:00","-5","5033","0","0","0","2020/12/31 16:00:00","1","0","10048","20028","2022/10/26 16:00:00","0"
"2030/04/19 15:00:00","0","5151","0","0","0","2021/02/01 16:00:00","1,19","0","10050","20029","2022/11/25 16:00:00","0"
"2030/04/19 15:00:00","-8","6056","0","0","0","2021/03/02 16:00:00","1","0","10052","20030","2022/12/25 16:00:00","0"
"2030/04/19 15:00:00","0","3351","0","0","0","2021/04/01 16:00:00","1,20","0","10054","20031","2023/01/24 16:00:00","0"
"2030/04/19 15:00:00","0","2191","0","0","0","2021/05/04 16:00:00","1,21","0","10056","20032","2023/02/23 16:00:00","0"
"2030/04/19 15:00:00","0","1122","0","0","0","2021/06/02 16:00:00","1,22","0","10058","20033","2023/03/24 16:00:00","0"
"2030/04/19 15:00:00","0","1123","0","0","20033","2021/06/12 16:00:00","1,22","0","10059","20034","2023/03/24 16:00:00","0"
"2030/04/19 15:00:00","12","2194","0","0","0","2021/07/05 16:00:00","1,23","0","10061","20035","2023/04/25 16:00:00","0"
"2030/04/19 15:00:00","0","5010","0","0","0","2021/08/02 16:00:00","1","0","10064","20036","2023/05/26 16:00:00","0"
"2030/04/19 15:00:00","0","144","0","0","0","2021/09/01 16:00:00","1","0","10066","20037","2023/06/26 16:00:00","0"
"2030/04/19 15:00:00","0","121","0","0","0","2021/10/01 16:00:00","1,24","0","10068","20038","2023/07/26 16:00:00","0"
"2030/04/19 15:00:00","0","394","0","0","0","2021/11/01 16:00:00","1","0","10070","20039","2023/08/25 16:00:00","0"
"2030/04/19 15:00:00","0","1082","0","0","0","2021/12/02 16:00:00","1,25","0","10072","20040","2023/09/25 16:00:00","0"
"2030/04/19 15:00:00","0","181","0","0","0","2022/01/03 16:00:00","1","0","10074","20041","2023/10/25 16:00:00","0"
"2030/04/19 15:00:00","0","5084","0","0","0","2022/02/01 16:00:00","1,26","0","10076","20042","2023/11/24 16:00:00","0"
"2030/04/19 15:00:00","0","6054","0","0","0","2022/03/01 16:00:00","1","0","10078","20043","2023/12/26 16:00:00","0"
"2030/04/19 15:00:00","0","6381","0","0","0","2022/04/01 16:00:00","1,27","0","10080","20044","2024/01/26 16:00:00","0"
"2030/04/19 15:00:00","0","2193","0","0","0","2022/05/02 16:00:00","1,28","0","10082","20045","2024/02/23 16:00:00","0"
"2030/04/19 15:00:00","0","8163","0","0","0","2022/06/01 16:00:00","1","0","10084","20046","2024/03/26 16:00:00","0"
"2030/04/19 15:00:00","0","8164","0","0","20046","2022/06/08 16:00:00","1,29","0","10085","20047","2024/03/26 16:00:00","0"
"2030/04/19 15:00:00","0","2201","0","0","0","2022/07/01 16:00:00","1","0","10088","20048","2024/04/25 16:00:00","0"
"2030/04/19 15:00:00","0","430","0","0","0","2022/08/01 16:00:00","1","0","10090","20049","2024/05/26 16:00:00","0"
"2030/04/19 15:00:00","0","351","0","0","0","2022/09/01 16:00:00","1","0","10092","20050","2024/07/26 16:00:00","0"
