081f5f3ef4c45a4527f8863ff438e11c07c2118d9ba0688b36277f66b28661fd,3905fa48983c144427877ad03a96429b06fc11c42bb959e4fc2c085742af8039,306a24d412fe8390d4af4647456b7c0407d7cf18434c467657ceddf0fa8df4f4,504e4aa5bee2fa14473972a064b34e93d7d888620b57512eb996cfc41da771f9,01c8e5d20f3a88130c33c10c89a90937f7551f87f2731e69ea2aefb17f2b1393,53249b5910597e7c9b214d8ca21e2251e4f4542f836454a5e22c5d60806a2ed9,fece88e4f96ec5c942acf8496a88e7a1730b42c038e752d0bed9dc6dfdf03b04,99691f0bd8877411eadf501d6b7fac985e5900d5c3beef387dc71b31328b6b9f,967ebdc6d4711c2387c069e2aaf79b563ea580ac10f614d3dc5c0592bf5d04e5,0ae5ef8f6b29cf253e32ff626b0289214b49e9e4c752c9b0f235d1583d52472c,144b80c8a5a4c529c8b89c96c4cc61302455eef17f88ef9542ed204e45b6a02a,ad55e4d0b2ea3ad06003acc4911604b6f321454f027b4a10aeb740ea25e164a8,b025f7ab3d5b64ee4ad829229335d084cd6c00cf41eb88440e193d534710a6fa,d941f9066c4e19be98cda6b20787a89e72d049bbb19859fb1b49349d02391f5f
"1.5","1","110","0","160","0","0.029","105","1","101","1","1","在海邊與夥伴享受夏日的夏海魔法師。以想改變自己的堅定決心，將障礙物無效化並持續奔跑。","122601"
"2.5","3","105","1","120","0","0.014","111","0","102","2","2","比太陽還耀眼的夏海活力女孩。能以與生俱來的身體能力，靈活地應對、跑過各種路線。","122401"
"2.5","2","110","0","350","1","0.017","105","0","103","3","3","在海灘上閃耀的夏海劍士。有著日復一日鍛鍊出來的雙腿，即使長距離也能速度不減地跑到最後。","122501"
"1.5","3","110","1","130","0","0.016","105","0","104","4","4","最喜歡美味海產的海岸公主。能解放「皇家裝備」的力量，不把障礙物放在眼裡地往前邁進。","107501"
"2.5","1","110","0","160","0","0.014","105","1","105","5","5","在海邊也要照顧主人的白色沙灘巫女。以精靈之力使自身加速，用比任何人都快的速度朝終點前進。","107601"
"3.5","2","120","0","255","1","0.029","103","0","106","6","6","對穿泳裝感到害羞的傲嬌貓女。以擅長的魔法妨礙對戰對手跑步，使自己處在有利的情況。","107801"
"3.5","1","120","0","160","0","0.013","103","1","107","7","7","優雅地在沙灘上奔馳，盛夏的真步公主。優雅優雅地以高雅的身姿跳過障礙物。","110601"
"2.5","2","110","0","350","1","0.014","103","0","108","8","8","守護沙灘和平的盛夏狼女。以獸人強健的體力在競賽後半進行衝刺。","110401"
"1.5","3","105","1","130","0","0.012","100","0","109","9","9","在海灘上賣力舞動的盛夏南國少女。即使在競賽的喧囂中精神也不會受擾亂，能展現驚人的中後段加速。","110501"
"2.5","1","105","0","200","0","0.014","103","1","110","10","10","察覺海灘事件徵兆的盛夏名偵探。以高度的推理力與魔法，確實地擾亂對戰對手奔跑。","115701"
"2.5","2","105","0","350","1","0.071","103","0","111","11","11","再次脫下鎧甲的灼熱騎士團長。以實戰中培養出的判斷力，能在一瞬間展開護盾使障礙物無效。","113601"
"1.5","3","120","1","130","0","0.014","103","0","112","12","12","在海邊隨心所欲的怕水貓女。在海灘上現身的美少女義賊，將奪取對戰對手的速度。","107901"
"1.5","2","110","0","200","0","0.022","105","1","113","13","13","即使度假還是效率第一的海之傭兵。就算是競賽也尋求最高效率，無論什麼狀況都能毫無破綻地奔跑。","108001"
"2.5","1","110","0","160","0","0.031","108","1","114","14","14","非常適合盛夏太陽，海邊的咲戀媽媽。多才又靈巧，無論什麼障礙物都能優雅地越過。","110301"
"0.5","1","110","1","130","0","0.036","105","0","115","15","15","於海邊喚來暴風雨的夏日女僕。平時已習慣多災多難，因此即使遇到一點困境也不會動搖。","107701"
"3.5","2","110","0","350","1","0.048","95","0","116","16","16","享受風雅夏日的若夏大姐頭。運用瀟灑的身姿，將始、繼、終的刀法與UB融合，一口氣加速。","113101"
"1.5","3","105","1","130","0","0.043","105","0","117","17","17","接觸到夏日悸動的宅宅魔法少女。操縱多彩的魔法，持續使其他跑者的速度逐漸變慢。","113301"
