0096504951f6e2ad199f0e7fdbd8d81306521a7364842f515c9940163ab333e3,74497d34ca586e8686a9dff6ae68e8846f25ee5a3fbcc8f19caf87ff4ba5dec8,e4081961a719ea1f33f1f569d2cd07a422c8b8a3b182ebed73ff47e8a993fb0c,ae7eca1ff22535ce5dc5fb27443902028ea42b7d36ae9d9bf259aa41e2bfb112
"1","1","1000","170"
"2","1","3000","175"
"3","1","5000","180"
"4","1","7000","185"
"5","1","9000","190"
"6","1","11000","195"
"7","1","13000","200"
"8","1","15000","205"
"9","1","17000","210"
"10","1","19000","215"
"11","1","21000","220"
"12","1","23000","225"
"13","1","25000","230"
"14","1","27000","232"
"15","1","29000","234"
"16","1","31000","236"
"17","1","33000","238"
"18","1","35000","240"
"19","1","37000","242"
"20","1","39000","244"
"21","1","41000","246"
"22","1","43000","248"
"23","1","9999999","250"
"24","2","1000","170"
"25","2","3000","175"
"26","2","5000","180"
"27","2","7000","185"
"28","2","9000","190"
"29","2","11000","195"
"30","2","13000","200"
"31","2","15000","205"
"32","2","17000","210"
"33","2","19000","215"
"34","2","21000","220"
"35","2","23000","225"
"36","2","25000","230"
"37","2","27000","232"
"38","2","29000","234"
"39","2","31000","236"
"40","2","33000","238"
"41","2","35000","240"
"42","2","37000","242"
"43","2","39000","244"
"44","2","41000","246"
"45","2","43000","248"
"46","2","9999999","250"
"47","3","1000","170"
"48","3","3000","175"
"49","3","5000","180"
"50","3","7000","185"
"51","3","9000","190"
"52","3","11000","195"
"53","3","13000","200"
"54","3","15000","205"
"55","3","17000","210"
"56","3","19000","215"
"57","3","21000","220"
"58","3","23000","225"
"59","3","25000","230"
"60","3","27000","232"
"61","3","29000","234"
"62","3","31000","236"
"63","3","33000","238"
"64","3","35000","240"
"65","3","37000","242"
"66","3","39000","244"
"67","3","41000","246"
"68","3","43000","248"
"69","3","9999999","250"
