66fcf182f635d04a7888125f29c40d8ef31ec5f6eb5fd4523ed6213688d081fc,972c9a8db3cc8ccb66a071f036b8b8557a320c45f074513d3531c2995713d113,164f15ad0cdb5ee6d95bc6083f302b772d8e7679a35f4cdd4f048b12bc136065,cfddcbdac60f4697b8bbf5f71292b817a7d4e383d1069131c9bd872f0e54e7cf,402670853bd6bce49d4be7d07f1b6b8aac49667ffbe8ac5fa4e479da09b175c5,a8cd7cb54f5b676939eaa7159e0c473e9290fe55515c7b0cc547d3f379506280,3cb28d92b94c97940d67b2da7d338691c888f597aa7146a6193bfbf6fe3bf9eb,1dc9ab87234d8ddf3c4a775bf434e194ced29bdf841237e6cf718db56e40ee85,143fca883c451a8cc297d5f34388a01df5cc77cbfa467286b760632016668ee3,47227b2693044c4af5e3a636c2e8b3db154f0c7b2b724ea46cdda715928c34aa,fab60457a6f4a058be11c86772239a4babf5b5b7f1d297fb9bd6b79f55c426ed,ae80820902fc37212d9d6f0e1ad625a67cd13f1251145dfcab344d1e2b498bd2,58d156d5659d52c62a5d36444f6a4cbf4f368095753e75c6eccf0b3ed94a31c3
"5032","0","0","20001","0","2018/08/28 16:00:00","2020/07/02 16:00:00","0","10001","1","0","2030/04/19 15:00:00","-6"
"8135","0","0","20002","0","2018/10/03 16:00:00","2020/08/03 16:00:00","0","10002","1","0","2030/04/19 15:00:00","-3"
"201","0","0","20003","0","2018/11/01 15:59:59","2020/09/04 16:00:00","0","10003","1","0","2030/04/19 15:00:00","-8"
"3394","0","0","20004","0","2018/12/01 16:00:00","2020/09/30 16:00:00","0","10004","1,2","0","2030/04/19 15:00:00","-5"
"3060","0","0","20005","0","2019/01/03 16:00:00","2020/11/02 16:00:00","0","10005","1,4","0","2030/04/19 15:00:00","-3"
"1412","0","0","20006","0","2019/02/01 12:00:00","2020/12/04 15:00:00","0","10006","1","0","2030/04/19 15:00:00","-5"
"3481","0","0","20007","0","2019/03/06 16:00:00","2021/01/20 16:00:00","0","10007","1,5","0","2030/04/19 15:00:00","-2"
"3490","0","0","20008","0","2019/04/03 16:00:00","2021/02/09 16:00:00","0","10008","1","0","2030/04/19 15:00:00","-3"
"5402","0","0","20009","0","2019/05/02 16:00:00","2021/03/25 16:00:00","0","10009","1,6","0","2030/04/19 15:00:00","0"
"2192","0","0","20010","0","2019/06/03 16:00:00","2021/04/21 16:00:00","0","10010","1,7","0","2030/04/19 15:00:00","-5"
