47227b2693044c4af5e3a636c2e8b3db154f0c7b2b724ea46cdda715928c34aa,a8cd7cb54f5b676939eaa7159e0c473e9290fe55515c7b0cc547d3f379506280,ae80820902fc37212d9d6f0e1ad625a67cd13f1251145dfcab344d1e2b498bd2,164f15ad0cdb5ee6d95bc6083f302b772d8e7679a35f4cdd4f048b12bc136065,402670853bd6bce49d4be7d07f1b6b8aac49667ffbe8ac5fa4e479da09b175c5,143fca883c451a8cc297d5f34388a01df5cc77cbfa467286b760632016668ee3,1dc9ab87234d8ddf3c4a775bf434e194ced29bdf841237e6cf718db56e40ee85,cfddcbdac60f4697b8bbf5f71292b817a7d4e383d1069131c9bd872f0e54e7cf,3cb28d92b94c97940d67b2da7d338691c888f597aa7146a6193bfbf6fe3bf9eb,58d156d5659d52c62a5d36444f6a4cbf4f368095753e75c6eccf0b3ed94a31c3,fab60457a6f4a058be11c86772239a4babf5b5b7f1d297fb9bd6b79f55c426ed,972c9a8db3cc8ccb66a071f036b8b8557a320c45f074513d3531c2995713d113,66fcf182f635d04a7888125f29c40d8ef31ec5f6eb5fd4523ed6213688d081fc
"1","2018/08/28 16:00:00","2030/04/19 15:00:00","0","0","10001","0","20001","2020/07/02 16:00:00","-6","0","0","5032"
"1","2018/10/03 16:00:00","2030/04/19 15:00:00","0","0","10002","0","20002","2020/08/03 16:00:00","-3","0","0","8135"
"1","2018/11/01 15:59:59","2030/04/19 15:00:00","0","0","10003","0","20003","2020/09/04 16:00:00","-8","0","0","201"
"1,2","2018/12/01 16:00:00","2030/04/19 15:00:00","0","0","10004","0","20004","2020/09/30 16:00:00","-5","0","0","3394"
"1,4","2019/01/03 16:00:00","2030/04/19 15:00:00","0","0","10005","0","20005","2020/11/02 16:00:00","-3","0","0","3060"
"1","2019/02/01 12:00:00","2030/04/19 15:00:00","0","0","10006","0","20006","2020/12/04 15:00:00","-5","0","0","1412"
"1,5","2019/03/06 16:00:00","2030/04/19 15:00:00","0","0","10007","0","20007","2021/01/20 16:00:00","-2","0","0","3481"
"1","2019/04/03 16:00:00","2030/04/19 15:00:00","0","0","10008","0","20008","2021/02/09 16:00:00","-3","0","0","3490"
"1,6","2019/05/02 16:00:00","2030/04/19 15:00:00","0","0","10009","0","20009","2021/03/25 16:00:00","0","0","0","5402"
"1,7","2019/06/03 16:00:00","2030/04/19 15:00:00","0","0","10010","0","20010","2021/04/21 16:00:00","-5","0","0","2192"
"1,8","2019/07/01 16:00:00","2030/04/19 15:00:00","0","0","10011","0","20011","2021/05/26 16:00:00","0","0","0","5034"
"1","2019/07/17 16:00:00","2030/04/19 15:00:00","0","0","10012","0","20012","2021/06/25 16:00:00","-5","0","0","402"
"1,9","2019/08/01 16:00:00","2030/04/19 15:00:00","0","0","10013","0","20013","2021/07/26 16:00:00","-5","0","0","22"
"1","2019/09/03 16:00:00","2030/04/19 15:00:00","0","0","10015","0","20014","2021/08/26 16:00:00","-8","0","0","2174"
"1,10","2019/11/01 16:00:00","2030/04/19 15:00:00","0","0","10019","0","20015","2021/09/24 16:00:00","3","0","0","2222"
"1,11","2019/12/02 16:00:00","2030/04/19 15:00:00","0","0","10021","0","20016","2021/10/26 16:00:00","0","0","0","6040"
"1","2020/01/02 16:00:00","2030/04/19 15:00:00","0","0","10023","0","20017","2021/11/25 15:00:00","-4","0","0","6481"
"1,12","2020/02/04 16:00:00","2030/04/19 15:00:00","0","0","10025","0","20018","2021/12/24 16:00:00","0","0","0","8134"
"1","2020/03/02 16:00:00","2030/04/19 15:00:00","0","0","10027","0","20019","2022/01/26 16:00:00","-2","0","0","3420"
"1,13","2020/04/01 16:00:00","2030/04/19 15:00:00","0","0","10029","0","20020","2022/02/22 16:00:00","-5","0","0","5283"
"1,14","2020/05/05 16:00:00","2030/04/19 15:00:00","0","0","10031","0","20021","2022/03/25 16:00:00","-4","0","0","1311"
"1,15","2020/06/03 16:00:00","2030/04/19 15:00:00","0","0","10033","0","20022","2022/04/25 16:00:00","-7","0","0","6055"
"1","2020/07/02 16:00:00","2030/04/19 15:00:00","0","0","10038","0","20023","2022/05/25 16:00:00","-5","0","0","2022"
"1","2020/08/03 16:00:00","2030/04/19 15:00:00","0","0","10040","0","20024","2022/06/24 16:00:00","-10","0","0","6011"
"1,16","2020/09/04 16:00:00","2030/04/19 15:00:00","0","0","10042","0","20025","2022/07/26 16:00:00","-5","0","0","5221"
"1,17","2020/11/02 16:00:00","2030/04/19 15:00:00","0","0","10044","0","20026","2022/08/26 16:00:00","10","0","0","3040"
"1,18","2020/12/04 16:00:00","2030/04/19 15:00:00","0","0","10046","0","20027","2022/09/23 16:00:00","10","0","0","6120"
"1","2020/12/31 16:00:00","2030/04/19 15:00:00","0","0","10048","0","20028","2022/10/26 16:00:00","-5","0","0","5033"
"1,19","2021/02/01 16:00:00","2030/04/19 15:00:00","0","0","10050","0","20029","2022/11/25 16:00:00","0","0","0","5151"
