ec7fb79685705f215700358c7772e80afa1f946b6fe10aa19557a8d3edffcb1d,adfe950502a7d47f2b844199fe0c2224e97548ff7e638cd534c994676c61c418,2f5595b395aee642d5fca6b6f0108dbbf0687b7c6e209f36dc7f02c791762241,933e57ded364781e67bfc681ded08ed7f8c671d5a5f4c423b25f9f230a0e44b9,9b9c2b953c819bb19de0e882db4da83ed605e302d8ac86c4f6b5b363b01493ff
"12","92407010","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","1","火屬性獎勵特大幅度提升"
"boss_def_lower_limit","92407010","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","2","提升物理防禦力（不可降低）"
"boss_magic_def_lower_limit","92407010","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","3","提升魔法防禦力（不可降低）"
"17","92407010","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","4","賦予TP上升的上限"
"9","92407010","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","5","降低HP吸收"
"12","92407020","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","6","火屬性獎勵特大幅度提升"
"boss_def_lower_limit","92407020","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","7","提升物理防禦力（不可降低）"
"boss_magic_def_lower_limit","92407020","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","8","提升魔法防禦力（不可降低）"
"17","92407020","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","9","賦予TP上升的上限"
"9","92407020","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","10","降低HP吸收"
"12","92407030","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","11","火屬性獎勵特大幅度提升"
"boss_def_lower_limit","92407030","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","12","提升物理防禦力（不可降低）"
"boss_magic_def_lower_limit","92407030","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","13","提升魔法防禦力（不可降低）"
"17","92407030","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","14","賦予TP上升的上限"
"9","92407030","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","15","降低HP吸收"
"12","92407110","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","16","火屬性獎勵特大幅度提升"
"18","92407110","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","17","傷害值衰減"
"boss_def_lower_limit","92407110","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","18","提升物理防禦力（不可降低）"
"boss_magic_def_lower_limit","92407110","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","19","提升魔法防禦力（不可降低）"
"17","92407110","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","20","賦予TP上升的上限"
"9","92407110","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","21","降低HP吸收"
"boss_tp_down_cut","92407110","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","22","減少降低TP"
"12","92407120","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","23","火屬性獎勵特大幅度提升"
"18","92407120","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","24","傷害值衰減"
"boss_def_lower_limit","92407120","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","25","提升物理防禦力（不可降低）"
"boss_magic_def_lower_limit","92407120","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","26","提升魔法防禦力（不可降低）"
"17","92407120","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","27","賦予TP上升的上限"
"9","92407120","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","28","降低HP吸收"
"boss_tp_down_cut","92407120","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","29","減少降低TP"
"12","92407130","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","30","火屬性獎勵特大幅度提升"
"18","92407130","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","31","傷害值衰減"
"boss_def_lower_limit","92407130","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","32","提升物理防禦力（不可降低）"
"boss_magic_def_lower_limit","92407130","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","33","提升魔法防禦力（不可降低）"
"17","92407130","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","34","賦予TP上升的上限"
"9","92407130","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","35","降低HP吸收"
"boss_tp_down_cut","92407130","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","36","減少降低TP"
"12","92407140","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","37","火屬性獎勵特大幅度提升"
"18","92407140","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","38","傷害值衰減"
"boss_def_lower_limit","92407140","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","39","提升物理防禦力（不可降低）"
"boss_magic_def_lower_limit","92407140","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","40","提升魔法防禦力（不可降低）"
"17","92407140","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","41","賦予TP上升的上限"
"9","92407140","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","42","降低HP吸收"
"boss_tp_down_cut","92407140","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","43","減少降低TP"
"12","92407210","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","44","火屬性獎勵特大幅度提升"
"18","92407210","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","45","傷害值衰減"
"boss_def_lower_limit","92407210","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","46","提升物理防禦力（不可降低）"
"boss_magic_def_lower_limit","92407210","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","47","提升魔法防禦力（不可降低）"
