6d83d4df702e0610caf38ee09b8285048410969892789346c5e33a9b7d7c9844,c0dda1d7caa55bb84ae4f47073235eb5bd099d8d595f4d8144d230959b397190,1fe9d6719a463471025928c7ca2770c303bd23aaed85c786c8462ca15770c115,e48b05ccb9f9c30d1dbf2bcaaed46e2051825f9e7d0629564d34777b100fdda9,73398a56b3a6e54110b467f565febf803732c1549b72bdcf497244116a078ef5,83b66980a939f4edd0b84f5cbde190cadbd241425de503b32fc9aee3f109f280,432205bad21ea95ca944bcb9c2f6a37846514499221b8ca8368a2ee2cb4069f7,3383f8c0b2a39b154e7094b53269a8be4ad9e15698472dda3c5b6a67628c48f7,6c91413a4b4e872e4b7a37af651edf5430663d1720841c3f2e4e5c4826abd74b,a3f0602348a64187350b9a3ed57b433533a9c764ca65721cd96d432e277786a2,3066ffdc2c9ceea5321c1069f8f47998bbb332f4ea5c76102596dc8b11d253d4,785f8f5af2dc3dbece58c80350dd03429cdcf35d42089564f07ea38e90daf2e8
"0.05","0.025","25","306","0","29","0","1","0","33","0","0"
"0.05","0.025","24","297","0","28","0","2","0","32","0","0"
"0.05","0.025","23","288","0","27","0","3","0","31","0","0"
"0.05","0.025","22","279","0","26","0","4","0","30","0","0"
"0.05","0.025","21","270","0","25","0","5","0","29","0","0"
"0.05","0.025","20","261","0","24","0","6","0","28","0","0"
"0.05","0.025","19","252","0","23","0","7","0","27","0","0"
"0.05","0.025","18","243","0","22","0","8","0","26","0","0"
"0.05","0.025","17","234","0","21","0","9","0","25","0","0"
"0.05","0.025","16","225","0","20","0","10","0","24","0","0"
"0.05","0.025","15","216","0","19","0","11","0","23","0","0"
"0.05","0.025","14","207","0","18","0","12","0","22","0","0"
"0.05","0.025","13","198","0","17","0","13","0","21","0","0"
"0.05","0.025","12","189","0","16","0","14","0","20","0","0"
"0.05","0.025","11","180","0","15","0","15","0","19","0","0"
"0.05","0.025","10","171","0","14","0","16","0","18","0","0"
"0.05","0.025","9","161","0","13","0","17","0","17","0","0"
"0.05","0.025","8","152","0","12","0","18","0","16","0","0"
"0.05","0.025","7","143","0","11","0","19","0","15","0","0"
"0.05","0.025","6","134","0","10","0","20","0","14","0","0"
"0.05","0.025","5","125","0","9","0","21","0","13","0","0"
"0.05","0.025","4","116","0","8","0","22","0","12","0","0"
"0.05","0.025","3","107","0","7","0","23","0","11","0","0"
"0.05","0.025","2","101","0","6","0","24","0","10","0","0"
"0","0","0","1","0","0","0","25","0","0","0","0"
