785f8f5af2dc3dbece58c80350dd03429cdcf35d42089564f07ea38e90daf2e8,6d83d4df702e0610caf38ee09b8285048410969892789346c5e33a9b7d7c9844,3066ffdc2c9ceea5321c1069f8f47998bbb332f4ea5c76102596dc8b11d253d4,1fe9d6719a463471025928c7ca2770c303bd23aaed85c786c8462ca15770c115,73398a56b3a6e54110b467f565febf803732c1549b72bdcf497244116a078ef5,432205bad21ea95ca944bcb9c2f6a37846514499221b8ca8368a2ee2cb4069f7,6c91413a4b4e872e4b7a37af651edf5430663d1720841c3f2e4e5c4826abd74b,3383f8c0b2a39b154e7094b53269a8be4ad9e15698472dda3c5b6a67628c48f7,e48b05ccb9f9c30d1dbf2bcaaed46e2051825f9e7d0629564d34777b100fdda9,83b66980a939f4edd0b84f5cbde190cadbd241425de503b32fc9aee3f109f280,c0dda1d7caa55bb84ae4f47073235eb5bd099d8d595f4d8144d230959b397190,a3f0602348a64187350b9a3ed57b433533a9c764ca65721cd96d432e277786a2
"0","0.05","0","25","0","0","0","1","306","29","0.025","33"
"0","0.05","0","24","0","0","0","2","297","28","0.025","32"
"0","0.05","0","23","0","0","0","3","288","27","0.025","31"
"0","0.05","0","22","0","0","0","4","279","26","0.025","30"
"0","0.05","0","21","0","0","0","5","270","25","0.025","29"
"0","0.05","0","20","0","0","0","6","261","24","0.025","28"
"0","0.05","0","19","0","0","0","7","252","23","0.025","27"
"0","0.05","0","18","0","0","0","8","243","22","0.025","26"
"0","0.05","0","17","0","0","0","9","234","21","0.025","25"
"0","0.05","0","16","0","0","0","10","225","20","0.025","24"
"0","0.05","0","15","0","0","0","11","216","19","0.025","23"
"0","0.05","0","14","0","0","0","12","207","18","0.025","22"
"0","0.05","0","13","0","0","0","13","198","17","0.025","21"
"0","0.05","0","12","0","0","0","14","189","16","0.025","20"
"0","0.05","0","11","0","0","0","15","180","15","0.025","19"
"0","0.05","0","10","0","0","0","16","171","14","0.025","18"
"0","0.05","0","9","0","0","0","17","161","13","0.025","17"
"0","0.05","0","8","0","0","0","18","152","12","0.025","16"
"0","0.05","0","7","0","0","0","19","143","11","0.025","15"
"0","0.05","0","6","0","0","0","20","134","10","0.025","14"
"0","0.05","0","5","0","0","0","21","125","9","0.025","13"
"0","0.05","0","4","0","0","0","22","116","8","0.025","12"
"0","0.05","0","3","0","0","0","23","107","7","0.025","11"
"0","0.05","0","2","0","0","0","24","101","6","0.025","10"
"0","0","0","0","0","0","0","25","1","0","0","0"
