859758d6d0646b0f297ce870a43fc2dcbe0d2a1b9c7b466af6775b69fba2bed6,8ebe6b1858ee7f41e44e3af6ddc7958bce881252294a8a0a197c1ab081f5eb03,1e9efbc7dd796c9b609f5ea7e8f1a1d935d18e530fb47a24ffefc5c20df3b520,d2a929c527ca19399933aad7741b0a56560d0e990e1348c14b28e23d9626509e,ef6b8c039661a647b697901c9153476a890853c31adb2e6323d134f965dec4ef,497504de156e2eebeba6fc3521e93ea49a0fd59dc6621d64a380b52532b8f10a,145604914d7b6ac00f4a918d147d9c5a73ca0dd2492154439a3d05206fbf207e,172713e640377695c2170106f2cda3581c425b0f71ee3e3cf8662b656d6bbdf5,07a7292d177dcdeb8bb36c25b45f9ad88a65e9ce7d15601052a77b388c5ca8c2,c520b599e3870165942c87b7f39d7b83da0e03cb4330f6bc2f5c0a3d5ba1018a,5a1eb6d3503ede684e3dacbffd2190b70a05ea036dd39738179d58bf68bde45c,e6959fc548705de6c8d76575c89d67af3145d62295ca5a8a530b5531029c191e,238882dba26e6ac0724d3912f51881ca3c556760465346f7817f6e6fc9f91547,c6a54604efd512ba8185ea543da5f88cbbf85e8f4610dd2fcf31446912b15157,b27c117020ac45541112da40937efddceca621076db7b15b17c819600077c70d,7cd93bfbf4b2fa8f3f7983ce465d3565f730a60f3df2a31ec59ef98b6dfe7f07,4db4fa704d23c6c99e949d32b51e8f8129f8a85e0ddefb720915e9ed1de031ab
"51001","1","貪吃佩可的\n吃飽飽雙倍飯糰","10","0","下次投擲的骰子增加為2個。擲出來的數字加總為前進格數。","52001","貪吃佩可的吃飽飽雙倍飯糰","2","1","獲得500里程。","0","1","2","貪吃佩可用心捏製的特大飯糰。\n米飯似乎體現了生命的能量。\n在一般人能吃飽的兩倍量的米飯裡，包進了最高級的內餡，\n是一道很有【美食殿堂】風格的料理。","1","500"
"51002","2","可可蘿的\n好好休息沙拉","10","0","下次投擲的骰子一定會丟出「1」。並且跳過下次的回合數計算。","52002","可可蘿的好好休息沙拉","30001","3","獲得500里程。","0","1","2","可可蘿為大家用心製作的沙拉。\n營養均衡且飽足感十足，\n除了味道外也很注重外觀。\n能夠提供冒險所需活力，一道充滿愛的料理。","1","500"
"51003","1","凱留的\n絕妙五星漢堡","10","0","下次投擲的骰子一定會丟出「5」。","52003","凱留的絕妙五星漢堡","20004","2","獲得1個未鑑定的平凡寶物。","0","1","1","夾入凱留自己想吃的食材的漢堡。\n麵包與肉類的香氣令人食指大動。\n由非魔物的素材製作，凱留相信這是一道\n在冒險途中吃會有點太豪華的料理。","1","500"
"51004","3","莉莉的踏實\n邁進柏餅","10","0","在投擲3次骰子之前，投擲的骰子一定會丟出「4」。","52004","莉莉的踏實邁進柏餅","20001","2","獲得800里程。","0","3","4","在莉莉製作的柏餅中……做成功的、\n經過新挑選的柏餅。除了使用最高級的素材，\n還因為做失敗的柏餅被莉莉自己吃掉了，\n所以光看單價變成了非常貴的高級品。","1","500"
"51005","3","可璃亞的\n多彩多姿便當","11","0","讓隨機活動出現。","52005","可璃亞的多彩多姿便當","1","4","下次擲骰的時候，多前進1格。","0","0","1","可璃亞一大早就起床準備好的冒險用的便當。\n雖然裡面的配菜都非常好吃，但是因為\n她不告訴大家裡面裝了什麼，所以那變成\n打開蓋子時的驚喜了。","3","500"
"51006","1","普蕾西亞的貪吃鬼\n噗噗肉包","10","0","下次投擲的骰子只會丟出「4、5、6」。","52006","普蕾西亞的貪吃鬼噗噗肉包","20002","2","獲得800里程。","0","1","4","塞滿了普蕾西亞精心挑選的內餡的肉包。\n根據她的希望，這肉包的尺寸變成\n一般肉包的數倍大。味道跟量都滿分，一定會讓人\n很幸福喔♪以上是負責料理的可璃亞說的話。","1","500"
"51007","1","嘉夜與祈梨的\n食慾加倍沙威瑪","10","0","下次投擲的骰子一定會丟出「3」，再下一次投擲的骰子一定會丟出「6」。","52007","嘉夜與祈梨的食慾加倍沙威瑪","1","7","獲得1張抽獎券。","0","2","3","嘉夜跟祈梨讓人拿來當便當的沙威瑪。\n有著祈梨常去的店的強悍風味，可以讓\n身為幫派成員的幹勁變成三倍，組成搭檔會變成六倍，\n似乎會湧現出可以實現下剋上的力量……的樣子。","1","500"
"51008","2","珠希的彩虹\n招財鯛魚燒","10","0","下次於里程格停下來之際，\n所獲得的里程將提升200%。","52008","珠希的彩虹招財鯛魚燒","200","5","獲得500里程。","1","0","2","珠希他們帶進「吉歐‧提格尼亞」的鯛魚燒得概念，\n跟當地的文化融合之後誕生的經過大幅度改造的甜點。\n它那發出彩虹光輝的甜味，\n據說比蘭德索爾的鯛魚燒還甜好幾倍。","2","500"
"51009","2","克蘿茜的\n全力馬鈴薯沙拉","10","1","[FF7C4E,D62146]【不可被覆蓋】[-]下次投擲的骰子一定會丟出「8」，再下一次投擲的骰子一定會丟出「1」。","52009","克蘿茜的全力馬鈴薯沙拉","1","7","獲得1個未鑑定的平凡寶物。","0","2","1","克蘿茜用全力製作的馬鈴薯沙拉。\n她本來是要做鹹味薄餅，但是因為不小心\n把材料捏扁了，經過修正軌道後完成的料理。\n先不論製作的經緯，它吃起來非常美味。","1","500"
"51010","3","綾音與胡桃的\n戶外野餐組","10","0","地圖上的「里程格」、「寶物格」、「商店格」的\nRANK提升1。\n效果將持續到停在對象格上2次之後為止。","52010","綾音與胡桃的戶外野餐組","1","6","獲得500里程。","2","0","2","綾音跟胡桃準備的特別的野餐籃。\n裡面的塞滿了跟夥伴們一起冒險的希望的美味料理們，\n能讓人覺得路上發生的各種事情，\n都像是高了1個Rank的活動一樣。","2","500"
