04719bc52d7fa9a1bad12df3c834224ede0b2f57d18dbf9bad5279ae77dfa651,a615a22cf511c75732915b635fc5dbd8ec8e7d2bc12d819f96b03c37aec840d0,c7c311160087fcc1a16f70e2d7f22f23bcda240fd4f2a18ef6742d746f752d08,3e8eba6e721954c445f6237613d6ed8e64f6b07ab37ea94a00b03d72cbd34dd7,4ce22ecb5e67da56e7b1de00d0242aefb7581fd2b648d7280920583b2a8c147c,98c98716850b1992e413ceba4fa74f84af74c9411e04d19c1800ddd8082e4a8c,cec5a3b0d6763f5654a3e1770b936b6af1509b726517940e838f6e0ac81310bc,6c56d128d50e591c2a3f83a7f88d38ba6f3f4086006f71de9c4c5445cfb59432,82bc5da61d4403c041c3fe862bd51299747c764abaec646c94274526718cb45c,9dd5cc98e98ad94d2ae7050da76a2befe72f3ecc66cacf034334d58a03c1666e,02a1ee2c55848eec2d748368e28576854ab08917fc969c2d56b9a7c207ab7466,f6443db7f2ac9309c9bda5544a73dd2e853a6af40796421f0eb5f58ffb8f0245
"2022/01/03 12:00:00","91002","0","100201","年輕與低燒","優衣的病歷　其一","20041106","0","8","20","10074","1007401"
"2022/01/03 12:00:00","91002","1007401","100201","感受內心的激烈鼓動","優衣的病歷　其二","20041112","0","8","20","10074","1007402"
"2022/01/05 05:00:00","91002","1007402","100201","心煩意亂的病名是","優衣的病歷　其三","20041115","0","8","30","10074","1007403"
"2022/01/03 12:00:00","91002","0","111001","預料之外的訪客","優妮的病歷　其一","20041106","0","8","20","10074","1007404"
"2022/01/03 12:00:00","91002","1007404","111001","服藥的時間","優妮的病歷　其二","20041112","0","8","20","10074","1007405"
"2022/01/06 05:00:00","91002","1007405","111001","致親愛的你","優妮的病歷　其三","20041115","0","8","30","10074","1007406"
"2022/01/03 12:00:00","91002","0","102501","奇妙的外來患者","鈴莓的病歷　其一","20041108","0","8","20","10074","1007407"
"2022/01/03 12:00:00","91002","1007407","102501","可怕的病症","鈴莓的病歷　其二","20041114","0","8","20","10074","1007408"
"2022/01/07 05:00:00","91002","1007408","102501","現代醫學的極限","鈴莓的病歷　其三","20041115","0","8","30","10074","1007409"
"2022/01/03 12:00:00","91002","0","104401","統御黑夜之人的苦難","伊莉亞的病歷　其一","20041108","0","8","20","10074","1007410"
"2022/01/03 12:00:00","91002","1007410","104401","美麗計畫","伊莉亞的病歷　其二","20041114","0","8","20","10074","1007411"
"2022/01/08 05:00:00","91002","1007411","104401","華麗課程","伊莉亞的病歷　其三","20041115","0","8","30","10074","1007412"
"2022/01/03 12:00:00","91002","0","100901","不可視之敵","杏奈的病歷　其一","20041110","0","8","20","10074","1007413"
"2022/01/03 12:00:00","91002","1007413","100901","被封印的魔法","杏奈的病歷　其二","0","2004101","8","20","10074","1007414"
"2022/01/09 05:00:00","91002","1007414","100901","獨眼惡魔的特別治療","杏奈的病歷　其三","0","2004101","8","30","10074","1007415"
"2022/01/03 12:00:00","91002","0","103101","骷髏驚喜","忍的病歷　其一","20041110","0","8","20","10074","1007416"
"2022/01/05 05:00:00","91002","1007416","103101","向迷惘少女伸出援手","忍的病歷　其二","0","2004101","8","30","10074","1007417"
