1c5ea8b145e1e0fe6056a061e71c7e7725b4cda96a70f59343613ac7d47ccf22,d05cddb881c84d93f21c5d7c856c101aab4b3df82febe27ecce68277c9b07bee,ef33597b0ffd3ab39cb610c5f6833ae6400dd3e1edf61d12726efa9330c7168e,22ee8d4eeb0f280d7cf6dfe6f706e204df34ead05a8fe7c04de7ddab5a159e14,d41af1bb7004c05570cebe93e42440734782125347fc1efc270cb8c50977f7f2,b77fa6ab090cef1ae016d0076ee27ffab89bfb4aac130de4ea157370f1958e88,f7dae23af2c2d12c25ca382863f2f274e77eb6c421c9f000f491c7b3f8734ed8,f5f8a7217bc48353495c70cd457d0abaf6e8111c1f1306312f69fbe5da3c9296,87f87160383c919f24d75c335c0c74cb0776908ad8f466c3a97f8b19f9f17244,725cb01b843f8fe3d4d4201df89e63ba4f2e3a374d1fc738047c72933a27e549,afa1ee67289b0ffb171662707435a0764e03d4426750ded5af47fad416639592,6015ae798ca0c071da6aaae5e78195b0c97ad35c069b11f0930b5e7fb6a055be,b849f45ee859f70f2c0d7c24502fde500f70a9e081f9ce25e97a2bfb46894d4e,beba7feed6216382159f5d7b48ee6a530a3a6ea4f5c421447b2ee6d416670624,ad4c03a615aeb5975d9498a0a334b9ad165303830dec49bf3a24550af6e4c0a8,f9e2ccdf71339a5d74c0dbaaf8f932f2298dafafccca1e0e36ea64dc56835e74,b1e80bfcf584dd58b7e171f63a2bae089e69a4ecd295c71e4ff0213fc32d7e52,1a074d9402198e364658fca5fedeea2ad91a905576a7dc121f7c2ba81f53c794,5224fe22c3e656430d27e516a6780e6feec3fc6ad87484b18debe631d576b37c,65e2d78d2e76202f09c5feb02c2d4994a36e02d296679dc1ab7100f220231216,9596cb78fe138b8bcfc8012254c784c8eb7bda4d259e37e0ba3741672e812ccc
"1","2026/02/22 16:00:00","1016","0","102","打倒１次佐賀牛頭怪（NORMAL）","2","0","30","0","2","20201","20201001","6114","10102","30001","50","0","0","72001","0"
"1","2026/02/22 16:00:00","1016","0","103","打倒１次佐賀牛頭怪（HARD）","2","0","30","0","2","20202","20201002","6114","10103","30001","100","0","0","72001","0"
"1","2026/02/22 16:00:00","1016","0","104","打倒１次佐賀牛頭怪（VERY HARD）","2","0","30","0","2","20203","20201003","6114","10104","30001","150","0","0","72001","0"
"5","2026/02/22 16:00:00","1016","25012","105","打倒５次佐賀牛頭怪（全難易度皆可）","2","3000","31","25011","2","20204","30001","6114","10105","30001","1","3000","2","24030","2"
"40","2026/02/22 16:00:00","1016","0","106","打倒40次佐賀牛頭怪（全難易度皆可）","2","0","31","0","2","20205","30001","6114","10106","30001","50","0","0","90005","0"
"1000000000","2026/02/22 16:00:00","1016","0","107","對佐賀牛頭怪造成1,000,000,000累積傷害","2","0","32","25014","2","20206","30001","6114","10107","30001","3000","3000","2","25013","0"
"2000000000","2026/02/22 16:00:00","1016","0","108","對佐賀牛頭怪造成2,000,000,000累積傷害","2","0","32","0","2","20207","30001","6114","10108","30001","3000","0","0","25021","0"
"30000000","2026/02/22 16:00:00","1016","0","109","在１場戰鬥中對佐賀牛頭怪造成30,000,000傷害","2","0","33","0","2","20208","30001","6114","10109","30001","3000","0","0","25015","0"
"120000000","2026/02/22 16:00:00","1016","0","110","在１場戰鬥中對佐賀牛頭怪造成120,000,000傷害","2","0","33","0","2","20209","30001","6114","10110","30001","3000","0","0","25021","0"
"1","2026/02/22 16:00:00","1015","0","101","和佐賀牛頭怪進行１場戰鬥（全難易度皆可）","1","0","29","0","2","20210","30001","6114","10101","30001","50","0","0","72001","0"
