b77fa6ab090cef1ae016d0076ee27ffab89bfb4aac130de4ea157370f1958e88,beba7feed6216382159f5d7b48ee6a530a3a6ea4f5c421447b2ee6d416670624,b849f45ee859f70f2c0d7c24502fde500f70a9e081f9ce25e97a2bfb46894d4e,6015ae798ca0c071da6aaae5e78195b0c97ad35c069b11f0930b5e7fb6a055be,1c5ea8b145e1e0fe6056a061e71c7e7725b4cda96a70f59343613ac7d47ccf22,ef33597b0ffd3ab39cb610c5f6833ae6400dd3e1edf61d12726efa9330c7168e,5224fe22c3e656430d27e516a6780e6feec3fc6ad87484b18debe631d576b37c,afa1ee67289b0ffb171662707435a0764e03d4426750ded5af47fad416639592,65e2d78d2e76202f09c5feb02c2d4994a36e02d296679dc1ab7100f220231216,d05cddb881c84d93f21c5d7c856c101aab4b3df82febe27ecce68277c9b07bee,b1e80bfcf584dd58b7e171f63a2bae089e69a4ecd295c71e4ff0213fc32d7e52,f9e2ccdf71339a5d74c0dbaaf8f932f2298dafafccca1e0e36ea64dc56835e74,87f87160383c919f24d75c335c0c74cb0776908ad8f466c3a97f8b19f9f17244,9596cb78fe138b8bcfc8012254c784c8eb7bda4d259e37e0ba3741672e812ccc,1a074d9402198e364658fca5fedeea2ad91a905576a7dc121f7c2ba81f53c794,f7dae23af2c2d12c25ca382863f2f274e77eb6c421c9f000f491c7b3f8734ed8,ad4c03a615aeb5975d9498a0a334b9ad165303830dec49bf3a24550af6e4c0a8,725cb01b843f8fe3d4d4201df89e63ba4f2e3a374d1fc738047c72933a27e549,d41af1bb7004c05570cebe93e42440734782125347fc1efc270cb8c50977f7f2,f5f8a7217bc48353495c70cd457d0abaf6e8111c1f1306312f69fbe5da3c9296,22ee8d4eeb0f280d7cf6dfe6f706e204df34ead05a8fe7c04de7ddab5a159e14
"打倒１次佐賀牛頭怪（NORMAL）","6114","20201001","20201","1","1016","0","2","72001","2026/02/22 16:00:00","50","30001","30","0","0","2","10102","0","102","0","0"
"打倒１次佐賀牛頭怪（HARD）","6114","20201002","20202","1","1016","0","2","72001","2026/02/22 16:00:00","100","30001","30","0","0","2","10103","0","103","0","0"
"打倒１次佐賀牛頭怪（VERY HARD）","6114","20201003","20203","1","1016","0","2","72001","2026/02/22 16:00:00","150","30001","30","0","0","2","10104","0","104","0","0"
"打倒５次佐賀牛頭怪（全難易度皆可）","6114","30001","20204","5","1016","2","2","24030","2026/02/22 16:00:00","1","30001","31","2","3000","2","10105","25011","105","3000","25012"
"打倒40次佐賀牛頭怪（全難易度皆可）","6114","30001","20205","40","1016","0","2","90005","2026/02/22 16:00:00","50","30001","31","0","0","2","10106","0","106","0","0"
"對佐賀牛頭怪造成1,000,000,000累積傷害","6114","30001","20206","1000000000","1016","2","2","25013","2026/02/22 16:00:00","3000","30001","32","0","3000","2","10107","25014","107","0","0"
"對佐賀牛頭怪造成2,000,000,000累積傷害","6114","30001","20207","2000000000","1016","0","2","25021","2026/02/22 16:00:00","3000","30001","32","0","0","2","10108","0","108","0","0"
"在１場戰鬥中對佐賀牛頭怪造成30,000,000傷害","6114","30001","20208","30000000","1016","0","2","25015","2026/02/22 16:00:00","3000","30001","33","0","0","2","10109","0","109","0","0"
"在１場戰鬥中對佐賀牛頭怪造成120,000,000傷害","6114","30001","20209","120000000","1016","0","2","25021","2026/02/22 16:00:00","3000","30001","33","0","0","2","10110","0","110","0","0"
"和佐賀牛頭怪進行１場戰鬥（全難易度皆可）","6114","30001","20210","1","1015","0","2","72001","2026/02/22 16:00:00","50","30001","29","0","0","1","10101","0","101","0","0"
