bf4a32942471240eb6845ecc2e463098152f158251a41eb78a5c625928f5fe8d,7c2b40804e0959b94a5d84a30f67934143a78c5f065a93b1e93a3406b9be954a,1311092b5b8aa1274b1e75769807465fc00e6e338f3974194bef58de62a0fa13,75d58e0bbc1323998486532c9c2e7cea8c8f7e6c15a2b0b17c9ec72563903b10,ddff980a907a81b4210661485c44ead45f77d6a72de1e56359e498625fadd6d6,58c35e46f8065dc4fe676f83ea79cd374bbd0c567a1de8b21dadd3b883b1d767,18beae7d53c98f54df39934bc348a781416acc54b55f7bb0e1da19ba4d1ade5c,3dca30bee7aba25cfede1e08f22fda8344b8debd916836044f466ce399372b89,17b4bf623638ad5b9e30ca8d908f41de6bd88a0757a12b51eba6ba55b9a4efc4,73094aebe98bec6eb533356c10faee0a04de295a05cd6b4d7e3e3e890266f4a8,14df60799b4715da3a147566f8441a1c639e3f6b2b3382dd28d696806cbadeb6,2ddbb700d5681988b378b08077816d166e59d9d0480689644a130972d99cdf02,3028b90378ff7bc0a91980589d2b6e061a5507f51a5c794168d8184c6a27c9d4,7d84ad4e09612a69a104e1485931487cf455dc411c07ad24e440349159cadb3f
"190801","1","0","0","53","2018/01/31 12:00:00","花凜","-416.5","如果完成任務的話，\n就能夠獲得獎勵哦！\n請加油吧","2","3.414","1","53003","2030/01/01 14:59:59"
"190801","2","0","0","53","2018/01/31 12:00:00","花凜","-416.5","將任務完成，\n並獲得獎勵吧！","2","3.099","1","53004","2030/01/01 14:59:59"
"190801","3","0","0","54","2018/01/31 12:00:00","花凜","-416.5","似乎有能夠\n領取的獎勵了。\n請確認看看","2","2.801","1","54003","2030/01/01 14:59:59"
"190801","4","0","0","54","2018/01/31 12:00:00","花凜","-416.5","能夠領取獎勵了！\n請檢查看看","2","0","2","54004","2030/01/01 14:59:59"
"190801","1","0","0","55","2018/01/31 12:00:00","花凜","-363","這裡是公會管理協會！\n如果您持有討伐證的話，\n就能夠交換獎勵哦","2","5.506","1","55003","2030/01/01 14:59:59"
"190801","2","0","0","55","2018/01/31 12:00:00","花凜","-363","辛苦了！\n在這裡，能夠以討伐證\n來換取獎勵哦！","1","1.216","2","55004","2030/01/01 14:59:59"
"190801","3","0","0","56","2018/01/31 12:00:00","花凜","-363","辛苦了\n別忘記使用討伐證\n來進行交換哦！","1","1.539","2","56003","2030/01/01 14:59:59"
"190801","4","0","0","56","2018/01/31 12:00:00","花凜","-363","結束了呢─\n討伐證就是努力的證明！\n拿來換取獎勵吧！","1","1.875","2","56004","2030/01/01 14:59:59"
"190801","5","0","0","57","2018/01/31 12:00:00","花凜","-416.5","參加活動辛苦了！\n各位活躍的樣子\n我們始終非常感謝","1","0","1","57003","2030/01/01 14:59:59"
"190801","1","10043","0","53","2020/10/19 16:00:00","花凜","-416.5","如果完成任務的話，\n就能夠獲得獎勵哦！\n請加油吧","2","3.414","1","10043001","2020/10/28 15:59:59"
