3dca30bee7aba25cfede1e08f22fda8344b8debd916836044f466ce399372b89,58c35e46f8065dc4fe676f83ea79cd374bbd0c567a1de8b21dadd3b883b1d767,3028b90378ff7bc0a91980589d2b6e061a5507f51a5c794168d8184c6a27c9d4,75d58e0bbc1323998486532c9c2e7cea8c8f7e6c15a2b0b17c9ec72563903b10,18beae7d53c98f54df39934bc348a781416acc54b55f7bb0e1da19ba4d1ade5c,ddff980a907a81b4210661485c44ead45f77d6a72de1e56359e498625fadd6d6,bf4a32942471240eb6845ecc2e463098152f158251a41eb78a5c625928f5fe8d,73094aebe98bec6eb533356c10faee0a04de295a05cd6b4d7e3e3e890266f4a8,2ddbb700d5681988b378b08077816d166e59d9d0480689644a130972d99cdf02,7d84ad4e09612a69a104e1485931487cf455dc411c07ad24e440349159cadb3f,14df60799b4715da3a147566f8441a1c639e3f6b2b3382dd28d696806cbadeb6,17b4bf623638ad5b9e30ca8d908f41de6bd88a0757a12b51eba6ba55b9a4efc4,1311092b5b8aa1274b1e75769807465fc00e6e338f3974194bef58de62a0fa13,7c2b40804e0959b94a5d84a30f67934143a78c5f065a93b1e93a3406b9be954a
"-416.5","2018/01/31 12:00:00","53003","0","花凜","53","190801","2","1","2030/01/01 14:59:59","3.414","如果完成任務的話，\n就能夠獲得獎勵哦！\n請加油吧","0","1"
"-416.5","2018/01/31 12:00:00","53004","0","花凜","53","190801","2","1","2030/01/01 14:59:59","3.099","將任務完成，\n並獲得獎勵吧！","0","2"
"-416.5","2018/01/31 12:00:00","54003","0","花凜","54","190801","2","1","2030/01/01 14:59:59","2.801","似乎有能夠\n領取的獎勵了。\n請確認看看","0","3"
"-416.5","2018/01/31 12:00:00","54004","0","花凜","54","190801","2","2","2030/01/01 14:59:59","0","能夠領取獎勵了！\n請檢查看看","0","4"
"-363","2018/01/31 12:00:00","55003","0","花凜","55","190801","2","1","2030/01/01 14:59:59","5.506","這裡是公會管理協會！\n如果您持有討伐證的話，\n就能夠交換獎勵哦","0","1"
"-363","2018/01/31 12:00:00","55004","0","花凜","55","190801","1","2","2030/01/01 14:59:59","1.216","辛苦了！\n在這裡，能夠以討伐證\n來換取獎勵哦！","0","2"
"-363","2018/01/31 12:00:00","56003","0","花凜","56","190801","1","2","2030/01/01 14:59:59","1.539","辛苦了\n別忘記使用討伐證\n來進行交換哦！","0","3"
"-363","2018/01/31 12:00:00","56004","0","花凜","56","190801","1","2","2030/01/01 14:59:59","1.875","結束了呢─\n討伐證就是努力的證明！\n拿來換取獎勵吧！","0","4"
"-416.5","2018/01/31 12:00:00","57003","0","花凜","57","190801","1","1","2030/01/01 14:59:59","0","參加活動辛苦了！\n各位活躍的樣子\n我們始終非常感謝","0","5"
"-416.5","2020/10/19 16:00:00","10043001","0","花凜","53","190801","2","1","2020/10/28 15:59:59","3.414","如果完成任務的話，\n就能夠獲得獎勵哦！\n請加油吧","10043","1"
