6b85d5b19091ce32e774171dcbb002e6b596f2c70c057005c309d8b944d83233,1d6aadffcdb3e8450f25d7295266424835248e82a6b369d721c299957b544c34,91addef0c3d2f9c4d0f40d398fccd46495f0be46cb228f68f2196374f3e76edc,dbffdfc85a794bd3b482cb997522e0350de01e4509507c56264821f4d5cd7097,870a6f63e9c8e195384a8e8a38c1f3c6224948075301eacdcdb0f8adb406711e,eb654743db912deedcdf6906a2982e64c7e6e989f3c2407bdcb588e415bea033,69b3aca9891d0ce56a3fb0274f062ac2e0851a7a2cf73ffb18331994d08f2289,7021638592a6fb21325e9239090f153f9e5604f05dfe2c64e9788b79290ed814,350d1c80e61ad0c6ed2987a4d6a0703442a960b4f0e820835c2842c3ca9546ab
"1.6","0","1","0","0","610201101","50","1",""
"1.8","0","1","200","0","610201151","-75","1",""
"1.6","0","1","0","0","610201201","50","1",""
"1.6","0","1","0","0","610201202","50","1",""
"1.6","0","1","0","0","610201203","50","1",""
"1.65","0","1","200","0","610201251","-75","1",""
"1.8","0","1","200","0","610201252","-75","1",""
"1.8","0","1","200","0","610201253","-75","1",""
"1.6","0","1","0","0","610201301","50","1",""
"1.6","0","1","0","0","610201302","50","1",""
"1.6","0","1","0","0","610201303","50","1",""
"1.65","0","1","200","0","610201351","-75","1",""
"1.8","0","1","200","0","610201352","-75","1",""
"1.8","0","1","200","0","610201353","-75","1",""
"1","0","0","0","1","610201401","0","2",""
"1","0","0","0","1","610201402","0","3",""
"1","0","0","0","1","610201403","0","4",""
"0.78","-200","0","0","0","610201451","0","2",""
"0.78","-140","0","0","0","610201452","0","3",""
"0.78","-60","0","0","0","610201453","0","4",""
"1","0","0","0","1","610201501","0","2",""
"1","0","0","0","1","610201502","0","3",""
"1","0","0","0","1","610201503","0","4",""
"0.78","-200","0","0","0","610201551","0","2",""
"0.78","-140","0","0","0","610201552","0","3",""
"0.78","-60","0","0","0","610201553","0","4",""
"1.7","0","1","190","0","610202101","-45","1",""
"1.4","0","1","190","0","610202201","-55","1",""
"1.7","0","1","190","0","610202202","-45","1",""
"1.7","0","1","190","0","610202203","-45","1",""
"1.4","0","1","190","0","610202301","-55","1",""
"1.7","0","1","190","0","610202302","-45","1",""
"1.7","0","1","190","0","610202303","-45","1",""
"1","-200","0","0","0","610202401","0","2",""
"1","-140","0","0","0","610202402","0","3",""
"1","-60","0","0","0","610202403","0","4",""
"1","-60","0","0","0","610202404","0","5",""
"1","-200","0","0","0","610202501","0","2",""
"1","-140","0","0","0","610202502","0","3",""
"1","-60","0","0","0","610202503","0","4",""
"1","-60","0","0","0","610202504","0","5",""
