ee66c36fad049620834103fc947c257d980af05a5b4465a8a19e86f80c93dd99,49cb367620b5a0faab29debfc1903ccfb4c9bcdd4fc4452b8e202a3e79ed03a1,f1936358846df8b4eda2c6908d42200ad1b202b59362877aca16448586d5865a,c4e363e1dc110586d4162655fa86464a55d89ae2507374f92c2f760b89eb99a4,c48e915903abc313cc46cdd99316473c3dfb73ad6d904ac54bd317e45324f236,34b6c21b92407a78210e2d6b74dae8d49b6afeda4db00945d57669d4db908ae3,322e34c5721e5193eba346af0f518d1607db794878745dc1a2daaeb5413a1b3e,492eb1bd3c2e0798c0fbebbd6b57b2562c2066f1e09763c46f477ee7c53f7fb6,fea32eb4a07866f7d33b0e90ae5fc8305bd821548f1ce3d25935f0cd38c95d0b,b8cf575b300f8f69b1e9d4e232280016aeb4d672a176eaf39d90bae233bde44b,52c3abbc2b0e7b1ee13f0c020b66b5567966330e31b712e1ad04c5278ac9ad40,a9e82c2880a050fd943a29d8cf615ee827765b7c5b4e96e4a5c076612e010498,56735b786fedcf5cd73178c5322f6a0ea347e8647156a4ac6f120c2b8859d65b,702c9dc6cb253e064b545f3b3f8ce8d2cceffbfd08c608d0514ad0c982a062e5
"-416.5","如果完成任務的話，\n就能夠獲得獎勵哦！\n請加油吧","53003","2030/01/01 14:59:59","0","花凜","1","0","1","2","190801","53","3.414","2018/01/31 12:00:00"
"-416.5","將任務完成，\n並獲得獎勵吧！","53004","2030/01/01 14:59:59","0","花凜","1","0","2","2","190801","53","3.099","2018/01/31 12:00:00"
"-416.5","似乎有能夠\n領取的獎勵了。\n請確認看看","54003","2030/01/01 14:59:59","0","花凜","1","0","3","2","190801","54","2.801","2018/01/31 12:00:00"
"-416.5","能夠領取獎勵了！\n請檢查看看","54004","2030/01/01 14:59:59","0","花凜","2","0","4","2","190801","54","0","2018/01/31 12:00:00"
"-363","這裡是公會管理協會！\n如果您持有討伐證的話，\n就能夠交換獎勵哦","55003","2030/01/01 14:59:59","0","花凜","1","0","1","2","190801","55","5.506","2018/01/31 12:00:00"
"-363","辛苦了！\n在這裡，能夠以討伐證\n來換取獎勵哦！","55004","2030/01/01 14:59:59","0","花凜","2","0","2","1","190801","55","1.216","2018/01/31 12:00:00"
"-363","辛苦了\n別忘記使用討伐證\n來進行交換哦！","56003","2030/01/01 14:59:59","0","花凜","2","0","3","1","190801","56","1.539","2018/01/31 12:00:00"
"-363","結束了呢─\n討伐證就是努力的證明！\n拿來換取獎勵吧！","56004","2030/01/01 14:59:59","0","花凜","2","0","4","1","190801","56","1.875","2018/01/31 12:00:00"
"-416.5","參加活動辛苦了！\n各位活躍的樣子\n我們始終非常感謝","57003","2030/01/01 14:59:59","0","花凜","1","0","5","1","190801","57","0","2018/01/31 12:00:00"
"-416.5","如果完成任務的話，\n就能夠獲得獎勵哦！\n請加油吧","10043001","2020/10/28 15:59:59","10043","花凜","1","0","1","2","190801","53","3.414","2020/10/19 16:00:00"
