d17161b68ff3d4fb2eaafed30b871fae8583c0ddb285962d1aa34a589b46a658,03dd04b5141018e60c59e1ae4ee0551b4e4c1652c323f5813d81b2248c8464b8,b19f70665518a29a7debe56d269af5e1a849f0a3bc7afe0422ce508798ed44ea,b66c4cd6a2a8f64d970daf3a345d10cc8751c76c18924db022551112f78069e1,56124bb2dd7cc40f5a862886e65c90c4d05be0715d74f84d9bf90d63e4827405
"101","#D23232","90009","單手劍","red"
"102","#D23232","90009","雙手劍","red"
"103","#D23232","90009","短劍","red"
"104","#D23232","90009","槍","red"
"105","#D23232","90009","斧","red"
"106","#D23232","90009","弓","red"
"107","#D23232","90009","拳","red"
"108","#D23232","90009","盾","red"
"109","#D23232","90009","杖","red"
"110","#D23232","90009","書本","red"
"201","#476FD8","90010","衣服","blue"
"202","#476FD8","90010","鎧甲","blue"
"203","#476FD8","90010","白長袍","blue"
"204","#476FD8","90010","黑長袍","blue"
"301","#E5681E","90011","戒指","yellow"
"302","#E5681E","90011","手鐲","yellow"
"303","#E5681E","90011","項鍊","yellow"
"304","#E5681E","90011","寶珠","yellow"
"305","#E5681E","90011","耳環","yellow"
