508ac565669867f84b346c4be0cbeb6cbe6ce8ce2c6882d732c9b024468ac1cd,7566529b8f2e39dcd1a065becb8dbcc86ead9c5a63c97f8cd0565bec334ee77f,69dfce25442b32cb3664e7fc45b4e69aa316f4c4dd92cdc783e180fefcaeb556,0403b593a9a5f9ffb8729b7439da6794b5d69569d5f23aa70dce322e69937ca0,7022568a1df12fb71e8b5db8cfdf1040c24ffe4158f2a6ae784b16631b0f4d1a,12cb385589a7715559f69eb9ee209d122d00811dd615ea21bd455a357a7dedb3,530f32db29bdc8280b5d5d3706ffd19d3d73b6db47782cfe9082bb0acf834c14
"300900","-10","100721","0.8","0.8","31001","0"
"302300","-40","100722","0.7","0.7","31002","0"
"302400","-40","100261","0.8","0.8","31003","0"
"302500","-20","100283","0.9","0.9","31004","0"
"301700","-10","101611","0.9","0.9","31005","0"
"310100","-40","102174","0.7","0.7","31006","0"
"399800","-60","102751","0.3","0.3","31007","-80"
"314901","20","103001","0.9","0.9","31008","-20"
"318405","-110","103232","0.7","0.7","31009","30"
"320100","-10","103371","1","1","31010","0"
