cb0d0ce449990fb9f84cc80ea08104d5a81e61f83fd83f4c231b85ec15170f93,eca4a8df89c6d740ff9e306e800f74abecf5b9299b75b80f02f7fef4a51f209c,37ff5187a5b1cfebf912e815446db1d0faa121eb58dcfbf454d06f7ac0e8c583,02eed6e836769f80068fb782937bbfd10efc3988d172760f0c27ae0dca414532,e0311e79c5f57e53b0814a3ec511c6242fae2dfd1374b823b8862b0cd40f58a0,a82217dce17bd9987f5bd410e9f008364accc6b9ce3850ec2f3282e4728c822a,85531e4b5259cf74e99840620c356c46e4a4090e0957b32200ba5c268976a2e1,38da3ae2ce22f5bc0fb913c09098ae0ac8cf6d2fc4872d070442e6dd880fdab1,3c78607e7b11e7d8eeefa4d6a1873cbe881bc029b39a88accae3652b5eae31cf,38dca979aeb5d65eea21b7a74127915e00822643be59c3df50f9c981462fded6,33ca84ade476d86aec1ea16892a7a611255a3d740d434fb9e676d3a7cff8df22,c041326965c4497223068e70a448aa22b3261e95c97c4c2bea8c282c2010167f,fac7c671c9a3d5a77494b9df5327822356a8c5cbf83318a060a9a5cbbaa746e6,63f7b8bdad614c342d982b44bbef846e4c960ae0523ca21c620e70d0d92ed0f2,52da622ac76059a87f1e664721b866b12498e50d1f0123b20677854736ceb569,0d5acc8c33af145f0bfa79d82ec1586104bc24f2347b83cbcc4981dcad934370,b44c43af6f1ebe40ee791b60ce62dd7827ea8a441c485e2b91c14335f3131219,fb73ac74f975ae809f997baa20b3a8b24e47c6ece9b190d9664f3e1ca1ff1249
"94002","0","0","0","0","1","12","0","0","32000","0","0","0","0","20000","分數累積獲得 32000 分","0","0"
"94002","0","0","0","0","2","12","0","0","64000","0","0","0","0","30000","分數累積獲得 64000 分","0","0"
"94002","0","0","0","0","3","12","0","0","96000","0","0","0","0","40000","分數累積獲得 96000 分","0","0"
"94002","0","0","0","0","4","12","0","0","128000","0","0","0","0","50000","分數累積獲得 128000 分","0","0"
"91002","0","0","0","0","5","8","0","0","160000","0","0","0","0","25","分數累積獲得 160000 分","0","0"
"11001071","0","0","0","0","6","15","0","0","192000","0","0","0","0","1","分數累積獲得 192000 分","0","0"
"23001","0","0","0","0","7","2","0","0","224000","0","0","0","0","20","分數累積獲得 224000 分","0","0"
"91002","0","0","0","0","8","8","0","0","256000","0","0","0","0","50","分數累積獲得 256000 分","0","0"
"94002","0","0","0","0","9","12","0","0","288000","0","0","0","0","70000","分數累積獲得 288000 分","0","0"
"94002","0","0","0","0","10","12","0","0","320000","0","0","0","0","80000","分數累積獲得 320000 分","0","0"
"91002","0","0","0","0","11","8","0","0","352000","0","0","0","0","75","分數累積獲得 352000 分","0","0"
"94002","0","0","0","0","12","12","0","0","384000","0","0","0","0","100000","分數累積獲得 384000 分","0","0"
"23001","0","0","0","0","13","2","0","0","416000","0","0","0","0","45","分數累積獲得 416000 分","0","0"
"91002","0","0","0","0","14","8","0","0","448000","0","0","0","0","100","分數累積獲得 448000 分","0","0"
"11001072","0","0","0","0","15","15","0","0","480000","0","0","0","0","1","分數累積獲得 480000 分","0","0"
