a317548d67f852428be4361a6b76c5b1fd37ab9b235be559e7cea4c5ba920c03,9d37d0bb6240be0d0bc1f16b157e9e388729203eeb7a14742d00ef23881ba86d,49ca46230aa005565f6331f665d5c97171de0a4ec1051152ccaaeb85b170c156,f0af9b95179e78960fe987bc1eaf5c18d0992a06fbd317589c79d096a65444c5
"1","8","1","緩速"
"2","8","2","加速"
"3","8","3","麻痺"
"4","8","4","凍結"
"5","8","5","束縛"
"6","8","6","睡眠"
"7","8","7","暈眩"
"8","8","8","石化"
"9","8","9","拘留"
"10","9","0","拘留(傷害)"
"11","9","1","毒"
"12","9","2","火傷"
"13","9","3","詛咒"
"14","11","0","魅惑"
"15","12","-1","黑暗"
"16","13","-1","沉默"
"17","30","-1","即死"
"18","3","-1","擊退"
"19","11","1","混亂"
"20","9","4","猛毒"
"21","56","-1","千里眼"
"22","59","-1","妨礙恢復"
"23","61","-1","恐慌"
"24","60","-1","給予刻印"
"25","62","-1","畏懼"
"26","69","-1","馴鹿化"
"27","8","10","暈眩"
"28","9","5","詛咒"
"29","70","-1","HP變化"
"30","8","11","時間停止"
"31","76","-1","HP回復量減少"
"32","78","-1","虛弱個體受到的傷害上升"
"33","79","1","行動時毒傷"
"34","8","14","暈眩（另計）"
"35","9","7","毒（另計）"
"36","9","8","詛咒（另計）"
"37","11","2","混亂（另計）"
"38","8","13","結晶化"
"39","83","1","緩速(可加成)"
"40","83","2","加速(可加成)"
"41","49","3","消除增益"
"42","49","10","消除護盾"
"43","9","9","黑炎"
"44","99","2","加速領域"
"45","99","1","緩速領域"
"46","49","20","消除增益（指定）"
"47","101","5","擊打烙印（攻擊命中）"
"48","79","10","行動時界雷傷害"
"49","112","9","延長狀態異常時間"
"50","116","1","執著狀態"
"51","117","15","阿剌克涅拘束"
"52","11","3","操絲"
"53","9","11","絕怠靈度"
