6a7973451897e2b992200503a60d8b49ea8892ea4ba6cdf6ea55092dcb04571a,0c0830f6dbd9a326c2bd09d2ea67ce6cbb1b4301126909c2e299d62a623b2355,2f9487c2aa377791e1acf70675d041bfe296a4d0d981656321115db4ada80f22,51b16e7268bea78faa3695bd709acd8a2e97a30916ecf9741d727045b1590bf9,e59df2ba9f38642af6d2f3bc1d0262ad2c503b5582dfa16b62b52f5d8263ef90,93e7c9527ec086e22a60157023fddd84b497ee18c935d9411b24619135bea814,4cab55a6bc4edc99c99579b51bf566edbdfbb2278a4048b1096da32cd57907fa,96ee345bf5845f40d6eb0af9b3b8e1d6ae100f3bc893d141978d39d1643dc191,cbfea8bc4b0ec11f5c7c11d114ff71bcbdb2d2f94d533f68e719b0ef6eddc917,21963056378c7af6b5259a6506dde57269987278ede018db26c7bf35205906f5,f2d0630ace0ba3afb6dc3c3ec05a33c055e974619fc3cedba224b8da4cd6eba6,4a7ed5e4433b0e2eecfd27a465372a50c6e91418193aadc20b4360018ebb3e89,7a51972f5c18b29d668558e1b6e83b6a8918cf48d8dff317aefdca3d701fc811,0e97fda07344c3a4cf01acafcea20048d7b662c404a37c0edb85255948b03cb2,3ba25b5f53b4ee5e414fd1ecfec5f131cb0b8ea99ab813db5a8e014bee1633e4,2aea1b5d5a9b8d7b0b66ca266536cbde826b6196fd3333c6013817cf01c4af6a,20433812c2905477355522c62619df87d8df9899225f40fc251aadf567c85af1,bfb0cafb495560f1e367d8ca8a1c0c3e9162cbc355ef0a194884fb97e71053f0,aa7134663edc1b2ac93c472b8ce8d807bb2f0dc979517efc6d07c337a02f0537,82b0fabe15442eb411d9a9bc5aec7507a2612f328f0647893145454869698ff9
"0","2","1","3100104","5","0","0","1","1001201","20","1","0","0","0","2","0","20003","0","0","90006"
"0","2","2","3100103","4","0","0","2","1001201","15","3","0","0","0","2","0","20003","0","0","90006"
"0","2","4","3100102","3","0","0","3","1001201","10","10","0","0","0","2","0","20003","0","0","90006"
"0","2","11","3100101","1","0","0","4","1001201","5","30","0","0","0","2","0","20003","0","0","90006"
"0","2","1","3100104","5","0","0","5","1001202","20","1","0","0","0","2","0","20003","0","0","90006"
"0","2","2","3100103","4","0","0","6","1001202","15","3","0","0","0","2","0","20003","0","0","90006"
"0","2","4","3100102","3","0","0","7","1001202","10","10","0","0","0","2","0","20003","0","0","90006"
"0","2","11","3100101","1","0","0","8","1001202","5","30","0","0","0","2","0","20003","0","0","90006"
"0","2","1","3100104","5","0","0","9","1001203","20","1","0","0","0","2","0","20003","0","0","90006"
"0","2","2","3100103","4","0","0","10","1001203","15","3","0","0","0","2","0","20003","0","0","90006"
"0","2","4","3100102","3","0","0","11","1001203","10","10","0","0","0","2","0","20003","0","0","90006"
"0","2","11","3100101","1","0","0","12","1001203","5","30","0","0","0","2","0","20003","0","0","90006"
"0","2","1","3100104","5","0","0","13","1001204","20","1","0","0","0","2","0","20003","0","0","90006"
"0","2","2","3100103","4","0","0","14","1001204","15","3","0","0","0","2","0","20003","0","0","90006"
"0","2","4","3100102","3","0","0","15","1001204","10","10","0","0","0","2","0","20003","0","0","90006"
"0","2","11","3100101","1","0","0","16","1001204","5","30","0","0","0","2","0","20003","0","0","90006"
"0","2","1","3100104","10","0","0","17","1001205","40","1","0","0","0","2","0","20003","0","0","90006"
